target,scan,energy_keV,n_backing,n_backing_error,mean,mean_error,std,std_error,alpha,alpha_error,chi2
IMP_LFE#1,Scan 3,240,0.7993944153248471,0.020771255657765615,1.8400746336428808,0.07912966902279736,7.1742744386509045,0.14723485545616152,5.0,0.0,24.817832215683268
IMP_LFE#2,Scan 1,240,1.481367845262369,0.04626903137121971,0.7916534131397596,0.16846334269636778,8.69139067429135,0.268998206427853,5.0,0.0,18.116583734677327
IMP_LFE#2,Scan 2,240,1.422137928094166,0.042384480072891216,1.2645374557117188,0.12453823278945567,7.985126096890892,0.21976567494414045,5.0,0.0,18.13776247164846
IMP_LFE#2,Scan 3,240,1.3818838721720386,0.04960463216586299,1.4904132757789785,0.13370827688491846,7.788129696791119,0.2507743726169484,5.0,0.0,18.270646993756248
IMP_LFE#2,Scan 4,240,1.156983016287251,0.041355792125243145,1.6448362301088864,0.13984337846483816,6.816147141094025,0.20789136414076417,5.0,0.0,27.05625756438109
IMP_LFE#2,Scan 5,240,1.1294242136413692,0.05914441259968979,1.905793618999193,0.13986199491310608,6.448471792502478,0.27332357522064954,5.0,0.0,18.045202020893267
IMP_LFE#2,Scan 6,240,0.8004269422592121,0.045890527364957114,2.0070609829270394,0.1258082115329837,5.118014118631784,0.23332412337017375,5.0,0.0,19.051714927670883
IMP_LFE#2,Scan 7,240,0.7745189289148082,0.04245921242403434,2.129925535867217,0.11402653326223894,4.987144230739478,0.21305249633117024,5.0,0.0,21.053374450800863
IMP_LFE#2,Scan 9,240,0.9614271061742619,0.04497172325351966,2.148909912285248,0.13071338836353194,6.1334833468797365,0.23925936711079915,5.0,0.0,22.03106619825618
IMP_LFE#3,Scan 1,240,2.203686409456836,0.06514125890292845,1.6421750226215908,0.15351527410710725,8.357691623479836,0.28556921781063455,5.0,0.0,19.043859927946517
