n_backing,width
2.217368575963094,6.831057258828657
2.276074750542845,6.848311345702011
2.2400658731021212,6.755031853122783
2.131164412421851,6.838349759714279
2.2438148653933796,7.033873471448142
2.2482043956756397,6.944375393782488
2.3085234583516745,6.769519642616261
2.306994593786328,6.981346055308015
2.215582163866072,6.933151161027605
2.23349773328799,6.9409695268556835
2.3619300390231137,7.238109958200898
2.326434417924237,6.998340144440667
2.2016933757342843,6.948342788186464
2.4090570368191466,7.034955501693533
2.1983200726104046,6.800914537733874
2.279074717745434,6.811859640477116
2.2200064965174264,6.807208572242342
2.2612897921888773,6.851245715602719
2.26756766877306,6.856172212383478
2.2552038160045,6.979919683471959
2.2322503957329287,7.043093781863692
2.36405396965176,7.2287043829999345
2.2398238554166503,6.836626886993371
2.3027150924867614,6.985738187567629
2.2251819257662295,6.92416157319533
2.2334010538914852,6.948885035614819
2.3619300390231137,7.238109958200898
2.319451593529453,7.005674716427092
2.2002805755329957,6.938763396703945
2.351314066646928,7.055131022015107
2.23791987589177,6.879579171929717
2.2507425842061943,6.752393989097456
2.2177712336719204,6.797056771667295
2.239971822079799,6.743715167816522
2.302131420797701,6.888890669353161
2.2336439881249643,6.950775457592836
2.24634115498344,6.989715286795115
2.3716793128877134,7.25101682041802
2.2135206544322177,6.7986859951084515
2.3006827552271254,7.00284729961381
2.2683480846269073,6.989502115010809
2.2383623206159684,6.892653125528792
2.3581399204837297,7.169023902148929
2.2991607810493164,7.056564021396287
2.1851595142784577,6.9138782775800385
2.3892527849819167,7.10636811470186
2.2785531839595867,7.017321929679765
2.2272119357274316,6.809846350726554
2.1948763946359136,6.811762689180087
2.236767144244751,6.750611726661344
2.318606159478184,6.848794033417759
2.162018055104326,6.958354166027154
2.1853800329754387,6.956277833854568
2.285593870406068,7.037303418845109
2.2784960992930965,6.932493222061178
2.304781010956504,6.99070543579037
2.2168838141113114,6.800926979493512
2.2199954658205394,6.818032359814707
2.3062981081884373,7.061679794117432
2.233440643636468,6.955341707491671
2.292101866270794,7.027055164947903
2.276291618890251,6.988709499108186
2.2827864049818354,7.000875029706483
2.2140502251195,6.742331231721044
2.185878534070947,6.850597630114799
2.236767144244751,6.750611726661344
2.299213718517756,6.7639247979244255
2.2093196248360987,6.9579038845682915
2.2383505759952835,7.008368521794352
2.30539253989485,7.170235249941528
2.2354865517732634,6.963399075110783
2.2749880669122184,6.908876081752005
2.341216811354082,6.8789826728610315
2.232166057772587,6.769101679551356
2.257619799933914,6.9100593218035264
2.141943712431481,6.920673782323187
2.338990165223574,7.029427134768164
2.2088422237244734,6.825346180697432
2.2734254425495024,7.003731261349561
2.196174807833348,6.864978939410448
2.2050413412762495,6.914073055434888
2.2439975162154453,6.797471814073807
2.279270349415588,6.823372585660905
2.2112567008939585,6.9249846389479535
2.2585218851226014,6.939252684674093
2.3316178940304595,7.274905887476425
2.191971648473809,6.7170429376393574
2.204373095283274,6.787867711057701
2.285022851661521,6.9576537820672275
2.229448709489436,6.8416133118476585
2.3116333968768368,6.996695709367458
2.1401953949242083,6.958797911423528
2.2870816168013097,6.9984501299152315
2.2134564257133578,6.7572965794781075
2.188039182031902,6.894610242680717
2.2152292527878594,6.76981654930088
2.215976257424708,6.904010004506009
2.233257472959376,6.74733848922073
2.283807794574077,6.78228395991863
2.225265272286393,6.999339457852043
2.3056873012902486,6.897269505049374
2.3316178940304595,7.274905887476425
2.1252200984187772,6.774254379095451
2.147203074540932,6.77953900669136
2.2547972385105512,6.751856364103693
2.337529634708595,6.99996239418412
2.2607531190599146,6.882950567991935
2.234842056696631,7.047113405753368
2.3392491955298174,7.1879758580987705
2.2168512182898388,6.751510192840233
2.2428403671200026,6.892097910603928
2.210002319308201,6.868099315406784
2.248786284584361,6.962353137837738
2.2219456074303268,6.759390635332621
2.2818737859567793,6.876909561555116
2.2222898227037344,6.84380400931562
2.3088513597662383,6.852855484669842
2.274715166270864,7.2271606869161635
2.172763353741887,6.80831871636995
2.1779545284125494,6.690269790975176
2.206843861919749,6.764700304409539
2.2486164483806914,6.87311738991082
2.248031750166974,6.738674288258495
2.2438308211540745,7.042986038596293
2.3800639146127214,7.062191182152288
2.149838415077318,6.695505563750283
2.288368483380534,7.030814611153592
2.188869875404671,6.754471768807129
2.2115817784380702,6.953375207243785
2.2601414687587127,6.850756643771342
2.2977028808846773,6.807807683349536
2.2021029098017935,6.783940109185293
2.286149462917826,6.856103063938268
2.264472351645491,6.988342420299146
2.3341887867214846,6.978286985366532
2.174174743359792,6.683309800831689
2.2029378218586273,6.7452464849757865
2.283474679968458,6.901382982728528
2.262805311604693,6.739561242677032
2.25469218412451,7.045696809707922
2.3159661998379133,7.030875958022921
2.1745963908987216,6.717391487726824
2.2795129747504452,7.090733657444253
2.2392207579617556,6.885153109352758
2.206464565755036,6.966871087001437
2.241670519408129,6.87540106087266
2.2357444460015405,6.773140733387582
2.225629697298867,6.890762279999703
2.344356684347831,6.8689667976257445
2.2254814676080095,6.916722578082633
2.382758780349139,7.037831275982549
2.2254027158051604,6.826004319543157
2.1969441256970907,6.727477931312395
2.3125013759012614,7.058170453718882
2.2356162847084446,6.768374173773848
2.2379770799668814,6.882038494906789
2.295604159861148,7.021549073595292
2.169805950785383,6.712289757271092
2.2303082140800945,6.89137586172046
2.2451924328788073,6.913685671119244
2.227752543108903,6.863515912804145
2.2908043189478655,7.020058482598093
2.2165029547776673,6.757685207753066
2.204329682571324,6.866370711338682
2.3660155217118226,6.872214028475303
2.3073841344127586,7.015496264833242
2.4106707656452993,7.070685174572958
2.268605103934739,6.9162547654470385
2.219020129019155,6.806011249168719
2.3973940145819763,7.26166259109368
2.246199748706873,6.796823396783201
2.232750112140557,6.83488890459774
2.295910262702972,7.054219409903589
2.2087060584760057,6.8031953872657605
2.223811336278879,6.87512260299278
2.194493350739873,6.8444497356135665
2.2470550494405743,6.946862675879691
2.227874251799139,6.979553277401501
2.256049696481176,6.85262527664907
2.222508810620897,6.942180861951791
2.3585086204013965,7.008911330197752
2.367576889925499,7.238568148894215
2.4002403522312368,7.068352514384139
2.3125408414623196,6.951580765214147
2.203415351012528,6.8020699440308325
2.3697757366331977,7.25373289717483
2.2726021304512045,6.77193658946616
2.269754407992174,6.896199554804671
2.2826274926958106,6.912075312983012
2.224534466624373,6.774486178956946
2.2610295721709,6.952589394182375
2.1837099915645575,6.782199634019525
2.2071729698717744,6.82004974221754
2.193088751473759,6.8254400668881186
2.249525314831824,6.803671850457238
2.242649343647757,6.977486741736465
2.349419587647344,6.95395269101134
2.341551395993282,7.26048176255381
2.337429520591101,6.980161479117961
2.32926490573609,6.965616052210747
2.1758924486853894,6.750773212182796
2.3438407494933595,7.076293989030869
2.285280557204926,6.757927889719227
2.317248153249249,6.977113962090914
2.278493303092734,6.90829141811165
2.229568046326189,6.811963791706696
2.214976795601997,6.788917353874945
2.1836845414718464,6.757057240822634
2.2223763436119444,6.880545461776027
2.1889479030300922,6.813228260921902
2.243591986089243,6.848280164062644
2.2535332660430933,7.00668455594041
2.348074787532235,7.0315608735341515
2.281776352359646,6.957482445522325
2.286732782223244,6.932197614530475
2.325687280833487,7.03282391149995
2.2261389749437606,6.843417665019149
2.28953389592567,6.979666506120242
2.301849249753988,6.845049439618758
2.3458620144557956,7.237970217889262
2.2730979333028536,6.971613765606303
2.2192061276918564,6.828871738272538
2.255250193588541,6.960415079938276
2.2688034827421317,6.888379566105026
2.200353090796471,6.841782102686523
2.268616895458927,6.93011878978428
2.1983295444269713,6.8445001054689
2.219790659574563,6.935324326836483
2.3747555598103736,7.0558715857121586
2.3337037045856737,6.816757809098621
2.42109829892075,7.01485338147018
2.345260135979053,7.117597674201529
2.1703467681357553,6.737806067341537
2.2865670743273148,6.975478660780896
2.2995334429496204,6.838562248469834
2.3681164137302266,7.254457205502375
2.2599994415789526,7.002073336180189
2.2506951634799837,6.8768889290645605
2.3495142951332952,7.011533236720738
2.2601073036254236,6.931574711692903
2.166561436210181,6.756872279616928
2.2551319174699094,7.006012783046621
2.210986243022016,6.863287531849382
2.197196044409395,6.853570889390173
2.2854053883168275,6.934761010084832
2.3155630419951176,6.8740369781488555
2.3728563905963136,7.012283660211247
2.342917039654698,7.161811459133796
2.258275517375242,6.879201697460271
2.267294013293274,6.994373835433017
2.350668318985473,6.990030674303858
2.3428457930501505,7.189268634691381
2.308120975041335,7.187067682360039
2.2031257822941623,6.884542894360601
2.3505941238600636,7.044882856407942
2.1571942200396452,6.921951603222838
2.205308863222484,6.861979290309327
2.1793853793850984,6.790001297098323
2.295353049113636,6.776241634929601
2.268084305702391,6.978331305893176
2.3306640074856095,6.953462857263105
2.3341300526035975,6.847087431216449
2.3696159274620805,7.01060343150363
2.297005242449494,7.039604699119933
2.188355421458992,6.770131512303665
2.2096709060744906,6.868411237359667
2.3842930820327117,6.992365718739901
2.2666023265632886,7.042213826637867
2.333360640788263,7.264211337223751
2.300485635009249,6.962750125236879
2.3676659941478038,7.083280597899798
2.2066385428822466,6.900062820667768
2.2678205001116543,6.910498094845737
2.2037297480388576,6.804842049865896
2.2653083639918252,6.781369199531197
2.219256984732619,6.777798209725606
2.37879140620695,7.026899999213622
2.2910687832530385,6.768425310403961
2.3514658183504333,6.992754665303708
2.261210503885707,6.981128951291532
2.2004547804428243,6.788152779100657
2.2110942360045227,6.901148981227477
2.3134361217844686,6.972972511904293
2.242898432561692,6.991164719582572
2.307363162240181,7.203680740114338
2.271791516965635,6.717220516820061
2.4188152019196956,7.162176485743341
2.2025784129191304,6.8793095508166
2.235875100324401,6.741022105941146
2.1789733457229383,6.898161010161361
2.3160531543163283,6.890002146821758
2.224838808377875,6.866050175549711
2.2529951933029944,6.844255099858307
2.2672268629574877,6.756587995298719
2.293803273757994,6.976274877480316
2.243975297305204,6.773579697931929
2.2388912259365563,6.912102009139936
2.192228226966869,6.889017303899377
2.3477478928245956,7.022640807241203
2.278523929933746,6.98110771591298
2.300142648381356,7.171288033747
2.237384441527872,6.756895396581089
2.345722531139006,7.03575884927759
2.2716131965253514,6.959229409838455
2.2760077599530746,6.825365448918345
2.217405521221934,6.88087896498083
2.3204418499724215,6.981812965773345
2.195352331453486,6.885770189872998
2.2632060992491243,7.018789988562596
2.2843186649571847,6.829179308243261
2.314721809153575,6.92347870036439
2.2943666468331485,6.890239879093372
2.2147078870175143,6.933165777381351
2.1149060104091473,6.8214794314950025
2.301808657422885,6.919277818401833
2.32668739033844,6.908398772132723
2.357130606333278,7.2773092521753275
2.2154232256875392,6.743345427992689
2.3091529009741794,6.919797148317656
2.290586374381889,7.014823696894035
2.319043421209826,7.03611438455447
2.217574330528403,6.790637834011699
2.294357446808677,7.028750144488014
2.2565128021076575,6.974918374767977
2.263128171948758,6.996705513979047
2.238167158802927,6.73939261035966
2.3225804086683044,6.867479161204376
2.304033668051988,6.881852263581552
2.2246324864651035,6.987285810885636
2.214656622501903,6.935947117818116
2.283839013237796,6.863347707569628
2.304630509949279,6.894104323978967
2.35992263345368,7.272186192222915
2.18429812238993,6.70207713661166
2.3090479808634523,6.871889557821634
2.28665417104293,7.034209592282819
2.314662915044743,7.110255412265394
2.2145089664208273,6.844689093226641
2.3174164313501127,6.851790087789151
2.2130359467770373,6.867435379795917
2.247750853537546,7.012280456773231
2.255233572515385,6.756302717515721
2.319030833002197,6.90081405088328
2.2825525515365643,6.779966477004864
2.172836606363853,6.94809857223371
2.26171386743919,6.963159125048783
2.3003591300103956,6.9062810918032635
2.276479109622971,6.839670259028394
2.3631140623975266,7.284423513123301
2.1878587908842433,6.708596957498267
2.322588332299268,6.85065428255728
2.3671582121156196,7.166701028829575
2.333079012647105,6.978217811932164
2.2450431311502963,6.965447968556174
2.330951801726925,6.944666373541297
2.2701699044989114,7.018460743807029
2.2138788776164255,6.959209614916865
2.2820501880626107,6.793978062884698
2.2652313092616025,6.854156784016572
2.28005538928655,6.793918615996326
2.2357042707487302,6.970512491672133
2.23078193837542,7.041691745240293
2.304750433111364,6.920490625902511
2.259296426801403,6.862457129406899
2.3151575670027187,7.156898783487771
2.2213697037976057,6.780756638268566
2.278080586696204,6.9669582707818245
2.3736487354709017,7.099203336651026
2.2982726101934308,7.00124226655759
2.249488942145773,6.96938489708565
2.335396929837494,6.955678047666879
2.283544186516497,7.080999432329641
2.247032134235309,6.9924336689666164
2.292847438291707,6.771289995889982
2.246916091451804,6.8765843034743055
2.2626417683516116,6.894530160176849
2.2204004137770066,6.958627825030028
2.237500727580229,6.9879944440461825
2.2856740232710906,6.730604590901807
2.2108397275431537,6.7367425744818705
2.299792663795003,7.115158885003464
2.1873367004542117,6.70770263396685
2.309195100311081,6.939850576148157
2.404767318501086,7.013333490144033
2.30373231361949,6.948313404614294
2.2197243899985426,7.000890273777639
2.3736560511785503,6.987097741613987
2.2784623882905386,7.045605881184311
2.2529531883309772,6.99740289862941
2.2953678472719363,6.760192654209136
2.2433810232763736,6.884625768691526
2.225790921738857,6.8744852788424
2.178101810892138,6.965735121803768
2.2768187488079796,7.013866367070403
2.265945120582269,6.777926995643366
2.2103909768193186,6.736188105720169
2.3315321271450364,7.23089591625092
2.219958147699952,6.829761526399116
2.366006682853404,6.799479569997575
2.3406389292123317,7.026015927221888
2.2672358207336925,6.86008152304073
2.1743577700275822,6.947605629606144
2.4164694195347605,7.0877365342761225
2.1884453053091795,6.878160605941047
2.285228072520695,7.153593309360208
2.296253253718371,6.7453802085171235
2.1986878595190706,6.695220491935542
2.2525276667163787,6.881201910422458
2.205652999904028,6.94516744552916
2.2772091957275933,7.008882094923277
2.280013706951786,6.793829851905769
2.2206796885002666,6.807007543727797
2.316662790393595,7.084787003997907
2.218007032508568,6.89201810388197
2.3792727090063206,6.806785800439787
2.2795099042736604,6.934148086742723
2.233557183148816,6.8975858065274265
2.2217804809931736,7.035997138933921
2.4445646506068113,7.032480294461997
2.1650815921493924,6.859732881767798
2.258305656219195,7.261006922612856
2.276753643601356,6.7846204013815266
2.198697126063862,6.704823024387336
2.232404427716977,6.794008026332841
2.2725925803494214,6.938881337024437
2.27650072397279,7.018684818898731
2.207666277573835,6.8133627047145895
2.246659962042989,6.769966567008238
2.3201384290364055,7.063138823665455
2.258328937887064,6.79814882726419
2.37854975833545,6.82231305412669
2.3102710634072077,6.779370021073432
2.2644333984391314,7.034296503278928
2.269425325012882,6.9878431063844815
