n_backing,mean,std
4.002586723163856,1.372470395948399,6.685441797050166
4.057557541840795,1.6362101374934748,6.510367944199648
3.8362921620921755,1.6021022897780324,6.53558046260892
4.129431398388195,1.3520344301376797,6.888654494270296
4.234704468087098,1.2220228899403387,7.154460940454252
4.060704298548378,1.1885337258585371,6.685792679658537
4.267838965827106,1.3444835177883538,7.096340406608691
4.141321240550534,1.3736133059451512,7.058661397109135
4.041377821141537,1.3545779535478806,6.989627386845323
4.32501803097724,1.2668919503535507,7.3585232018737905
3.977308327591243,1.3992250624560023,6.83649467502579
4.003845067038015,1.2849236571520462,7.0640913267867464
4.028097672983054,1.231279521098814,6.616124162211308
4.15468859140648,1.3476536388641955,7.0440798039336805
4.371511985987439,1.002220458655783,7.472602109094175
4.2554380407390555,1.3798126537095692,7.151014857723475
4.129196638385258,1.2563184737470388,6.851460686050696
3.916930146801172,1.5952488682659254,6.331212757359778
3.9258448279119436,1.5083214281555406,6.624055949989899
4.210976891807586,1.4158083845069935,6.988278876722708
4.171025302181948,1.2854817528965101,7.069811698954297
4.041881476917436,1.094477981791841,6.611523773039834
4.113031118979732,1.4500055777845455,6.892257779124886
4.296823097856833,1.3463474016549268,7.3567559763485955
4.096757286680175,1.359549311012782,7.033130010103963
4.218879774649257,1.2928568631614166,7.074185395088559
4.0214381129266075,1.263638213774467,7.023324386956122
4.063199715652707,1.2769095903140786,6.906218670946907
4.090609000469231,1.3006514505496103,6.856051962321353
4.174993701571327,1.3587254789109031,7.0689827415968995
4.268621397714212,1.2239767615036732,7.258419233973317
4.270052153492956,1.3935185875987135,7.215149529538989
4.140069133547222,1.3074683605689965,6.718101517367293
3.9932740672327416,1.4799632193633836,6.598835039299831
3.9752312004727317,1.4657981239589957,6.640460741315632
4.181081192340905,1.3785072425487837,6.863896845924959
4.090939172337958,1.313318750016404,7.028572432359703
4.119593986191091,1.2922577814239768,6.788290261692849
3.9961649988095322,1.5171729073930864,6.596453130370064
4.232036466897344,1.3275178450362737,7.11782741913249
3.9927349308333775,1.3821984634287083,6.940411448609891
4.1881871700743964,1.3435889651705875,7.031748047788892
3.9964481627473414,1.2331642868031953,7.034651329299643
3.9964118867065666,1.2325289440652758,6.833822229201223
4.024579388215949,1.4226122026063153,6.587962247003792
4.185643709185622,1.2772750225487426,7.1091800834808785
4.258936898507736,0.8942121672091952,7.509393217212148
4.274126501729226,1.4453154047958598,7.148264361359351
4.140069133547222,1.3074683605689965,6.718101517367293
3.9682153138039253,1.5147723002082496,6.557939645557662
3.891062426560719,1.4565062295842115,6.5838883704466475
4.315784411893854,1.1110102496189287,7.276529748121603
4.106223600100024,1.4958806569193683,6.964686887085081
4.1144766329662605,1.3011611014119548,6.765108647497415
3.9875630846992696,1.3428782265402477,6.696873282987493
4.355238683266638,1.150561893495801,7.291814529260035
3.987070139289972,1.3344000478799154,6.891797224296122
4.282921914238805,1.3805879147827105,7.012115682310585
4.126802633322036,1.3084177104478294,7.091770671335101
4.0009221317170915,1.3053442361111443,6.781228262278599
4.006724002517249,1.3990120780443571,6.713572647064618
4.102268794939291,1.3915323410060778,7.075926516225773
4.139432152526154,1.0481762096500908,7.189479215876422
4.176169305086359,1.4032376384466823,7.075218405857895
4.236851667284535,1.24586615748428,6.768348248459496
3.9446074650911034,1.5412898295366106,6.510534983415938
3.884140187593685,1.4720718235411157,6.571409828052362
4.44028623652304,1.0406049833463469,7.457609468448036
4.161080057142324,1.5758085239087607,7.066363376841353
4.064272113486831,1.360209561592872,6.662911677050381
4.051801601607376,1.287503247640693,6.845881427753877
4.4050055783978435,0.9883898915747225,7.508522274503619
4.105629848525395,1.3549027240145286,6.955368723582547
4.2748520117395445,1.3480277926795006,7.041488527536704
4.069800551605247,1.6298585004475252,6.766788773572254
4.0886189430843665,1.3198006331065257,6.9590560644026045
4.014439454532758,1.440945700244502,6.698807569274372
4.184999311593149,1.2918891208740342,7.230482564366266
4.14727720546663,1.050971389999846,7.193351669999826
4.228207288433039,1.3987378973710525,7.1583669106893835
4.267422428974112,1.2460958724714353,6.849538104457408
3.953564435397582,1.5971035073909854,6.56853838180994
3.725215919083751,1.683489469053433,6.184711643906465
4.3960475110800985,0.9533222556368912,7.4607845959299635
4.119265426044579,1.5127761218578701,6.902207523535027
4.07603587851759,1.4752007566265752,6.741765060925211
4.074796961125275,1.2847895816461576,6.96272481477886
4.3733835396448475,1.0963397283137168,7.443665170038774
4.156145336886599,1.199028084653679,7.1568457939902235
4.190171398637085,1.3921346803852548,6.973101074356352
4.110511455104515,1.593454148204424,6.848404987585786
4.070505888330413,1.2522146624325896,7.015882186339811
