target,scan,energy_keV,n_backing,n_backing_error,mean,mean_error,std,std_error,alpha,alpha_error,chi2
IMP_LTA#1,Scan 1,340,2.298024915217196,0.026304990324107685,6.2469198960129475,0.04235539255161475,4.549364002279458,0.06955650431886427,0.0,0.0,18.818920927521503
IMP_LTA#1,Scan 2,340,2.538704589026955,0.03165629558791685,5.916100898727574,0.05072145107881943,4.3406251137205185,0.0809625631570763,0.0,0.0,19.794876136410107
IMP_LTA#1,Scan 3,340,2.8435121809941935,0.031179755648199595,5.793723904227268,0.05283786424198428,4.363204254842107,0.07615589612791177,0.0,0.0,14.809511897995044
IMP_LTA#2,Scan 1,340,2.5999044319352516,0.016699893779370617,6.536748133682343,0.02400479240678915,4.420559192324796,0.036334335744879466,0.0,0.0,19.729042317318868
IMP_LTA#2,Scan 2,340,2.7671046237618793,0.02041195979391732,6.607798156992133,0.026194115833310036,4.296541213864997,0.03987507164510117,0.0,0.0,20.804224162953084
IMP_LTA#2,Scan 7,340,4.400061579337885,0.10684992641890083,4.55172087479813,0.0761442230120359,3.173621083437945,0.1139297892686481,0.0,0.0,16.92199278123037
IMP_LTA#3,Scan 1,340,2.4437793680383804,0.04029239411850259,5.161839343376565,0.06583631519471705,3.8573264687402,0.09886022314955693,0.0,0.0,18.779042510786894
IMP_LTA#3,Scan 2,340,2.654297619756557,0.033453355030257356,4.963372312815511,0.052571856655204176,3.822576672964541,0.07698616105771837,0.0,0.0,18.745020616527814
IMP_LTA#3,Scan 3,340,3.006359710546281,0.05439633780532509,4.703487596026581,0.07627791493475637,3.7114428983515864,0.11202855501293718,0.0,0.0,18.8025691111811
IMP_LTA#3,Scan 4,340,3.040193166184941,0.04812093180822994,4.34389364749414,0.07454283436141233,3.6865269246331676,0.10417814335697573,0.0,0.0,18.71873171137942
IMP_LTA#3,Scan 5,340,3.5205797217375583,0.0546689141797726,3.9048496899264107,0.09918742097804828,3.842215154280047,0.12526596939789605,0.0,0.0,18.71196477644246
