n_backing,mean,std
1.200779928430304,1.6357905313964531,7.082431508073107
1.1928062036922922,1.58718384256475,6.851788362896749
1.1721787634025955,1.8103565260457148,6.822675498172979
1.1999651027606337,1.6533565809920878,7.015955212021438
1.136040452501929,1.7098375940170023,6.606111591549778
1.088400270234104,1.923684726590182,6.377810446676628
1.1958005095653215,1.6037505926504725,7.060330677094232
1.1511478333442302,1.6499391656996654,6.87118089383414
1.2065879679002633,1.5477018296695224,7.070277851604997
1.1779902979048997,1.5737208063944452,7.01512904796853
1.1432544483099953,1.6153123626142327,6.735116590868857
1.1278247022189625,1.7992931212986265,6.558093753389295
1.1706132753427456,1.7239574815634895,6.644817434798302
1.1742940551189796,1.7420983621563335,6.824124292086506
1.1607399216893073,1.5697564898259628,6.915087553676325
1.137866207814365,1.5724406340364374,6.9680641537569725
1.175388437099545,1.6694895118348883,7.045663331273152
1.172883084865896,1.5526317563983034,6.894057307279129
1.1585745540595151,1.8199363597613234,6.742570992756155
1.2066533782257927,1.6301053038253883,6.932528061909449
1.1622818779070223,1.7036960113854658,6.738324039119073
1.1341048853452855,1.809472522595161,6.530974835230486
1.2196559393265622,1.5511342570430662,7.228750248525813
1.124987950705696,1.6637562504737016,6.708496494898103
1.1830709793583216,1.4862796046155022,7.0571372601494
1.1987795082773973,1.4889089556441146,7.169222922226406
1.1462415224561031,1.5426606422671392,6.83201476572248
1.1124763144795553,1.9106899097683085,6.42517761694651
1.2123397638233013,1.6116945387059685,6.8739429238500005
1.1248677651900185,1.762966149614555,6.570753923890199
1.1163024134805013,1.6785127805739106,6.734750435927593
1.1652027649889858,1.5266417621267068,7.092134971273685
1.1664066606528645,1.7531967253096647,7.014524431755665
1.1805869100645614,1.5252581144241817,6.960934194555194
1.1600504292202591,1.7546297157761819,6.820406897267135
1.2545340852943794,1.450173732780376,7.25952033197503
1.1515020151781306,1.6873834547654243,6.7486307082549715
1.1392998539762604,1.6778774482344385,6.779005493039588
1.1766937495594973,1.5951537247863758,6.9878906621445145
1.123536959225232,1.704522122780629,6.700435610684147
1.2317109016268175,1.2685346212010558,7.388019920739053
1.1811018721828446,1.4544451070840794,7.03378695150216
1.1085650798686062,1.7462099119306738,6.544690791908874
1.1052180674148548,1.943444441688126,6.402865889073854
1.1539838902692219,1.649370076798929,6.738972356153416
1.1419558857588399,1.6610378825660344,6.689233162956128
1.0851164243609217,1.6539685505957722,6.691271611625326
1.1331642715021308,1.609938660092397,6.7879086216360776
1.1609384192581713,1.7594596848365447,6.983697136633419
1.1469302073535979,1.5168532768577947,6.822564314887652
1.2307455387159703,1.4406653691531515,7.325323823217266
1.1860659574686734,1.5839133670345933,6.97142622282316
1.1545433845077502,1.776248603063661,6.775241783610451
1.1722610714189297,1.675980775131424,6.989110559394298
1.16556812413404,1.6260057051248757,6.9370056335270815
1.1369185915204494,1.5562301157558296,6.904857596591954
1.1913112199473803,1.433197317858147,7.134935517715459
1.1464916313281988,1.5737637196801366,6.809243045563916
1.109811199157509,1.7011428159437452,6.530767424274584
1.104729897623029,1.8205249712420428,6.6097929233227575
1.1430624997621017,1.7644009157874463,6.688010279927522
1.1592163395429051,1.5548241481542837,6.728563775246784
1.1231774525887825,1.7024295651960888,6.725085061630198
1.136188046698147,1.5756012107040038,6.831609494626985
1.1487906311635645,1.715096285391888,6.828229489300125
1.1547256286402865,1.5369764908210475,6.852139774683577
1.18880513736537,1.5063701473077924,7.135145508332252
1.232807080208477,1.5283813155968524,7.147544158568235
1.0894998745639324,1.7913705506941484,6.5591347913828
1.2014489947528983,1.6294182487532909,7.1579265775501515
1.1360673618069992,1.7813058880443127,6.73005421524587
1.1345568374861275,1.5455670673424442,6.820625782031147
1.1559372745985013,1.5622004053472411,6.989349625622571
1.1588594041782885,1.523772551283929,6.69914602761997
1.1057558287158262,1.7565999348365855,6.397801911384516
1.1430744348211503,1.777289854339156,6.889676412968107
1.1619340386322203,1.7395422191950662,6.774240222577911
1.1041863852491232,1.5382441236130804,6.4899199638196965
1.125774639628496,1.7607188650775063,6.654300193212251
1.1357399207512884,1.6090422813666712,6.8885346618014305
1.1917625920137023,1.6451729423147587,7.035745290440834
1.160981506388022,1.5923716125240492,6.902546714641385
1.2164951284249141,1.4952132803887987,7.199434132185736
1.2169408037239697,1.572718896164039,7.178655014133787
1.1439233962733293,1.6343817756244419,6.749041013080742
1.142580284835646,1.6788776650738382,6.925723656166033
1.138132249528292,1.8351126666108568,6.741038635103772
1.121440617848996,1.644214897885212,6.628230821736704
1.1542761254007101,1.5735411093218818,6.907541371001398
1.1649150845008651,1.5121880415702271,6.650196150383594
1.097998584474512,1.783706241531457,6.32653379008195
1.1644884504049808,1.6438632797468244,7.067435311221854
1.1455907040943574,1.7867231816707068,6.506144459596417
1.104686956225377,1.6284985504619656,6.451971879588823
1.1315069591984286,1.7524637661937812,6.721138078833006
1.110307505839636,1.5771728101326663,6.5720884860652955
1.2016128354854554,1.676402673099323,7.022221499952297
1.1542350840791418,1.5504822940030458,6.956802695634115
1.1902169654654713,1.5660195752260355,7.010298408983471
1.1838464083358708,1.5852954205030128,6.936392292340724
1.1660955445083712,1.6920160337472854,6.8580791368278
1.1656009704991495,1.7595883716444267,7.013063419182339
1.1306020069916476,1.7949079177836484,6.665100112890497
1.1095124823752285,1.5829842285750215,6.602098036776434
1.1528415810368484,1.619915384250326,6.999871079327452
1.1477120802855367,1.5259465152074996,6.477661155175834
1.1037082939430556,1.7807338840796547,6.4021077504441255
1.1391173546703859,1.6275239076838954,6.827456951829731
1.143487881563752,1.7899368161742513,6.600862768148812
1.1043650857581726,1.679872986445774,6.372521324106725
1.1400854283570017,1.7217278205361763,6.732501313973104
1.1335148058857654,1.3994151434048268,6.766146038254078
1.183998075402317,1.7303177900243223,6.95029938338092
1.1682009757765317,1.5587684489448401,7.064017742105593
1.1704809057070178,1.6874141147309891,6.8853150596493915
1.236640612603891,1.53714850078351,7.19699151202633
1.169186271703513,1.7684544509663538,6.792477935192317
1.1856779814397553,1.684121054665169,7.029473419613846
1.1224130957839582,1.7782731168988233,6.9088376560066616
1.1190004354173428,1.6005597765141553,6.63969513151931
1.1644316169713627,1.5529430174428596,7.096073877466862
1.163845012197416,1.555351209714726,6.6176346213823125
1.1037082939430556,1.7807338840796547,6.4021077504441255
1.1469740115827374,1.5994257389209274,6.926558575213393
1.1553464430590206,1.7679107588916647,6.757742071607551
1.1141837554816356,1.6429043530854168,6.40909311104658
1.1374396310797281,1.6990250613346691,6.740425352711897
1.125558053094688,1.53774673636924,6.676407488131909
1.183998075402317,1.7303177900243223,6.95029938338092
1.1899346151760612,1.590303006764456,7.1073544729750555
1.1521413131547602,1.7048071694479547,6.74663733835978
1.22685069378739,1.4646252112226303,7.127606042001479
1.1805376057194468,1.7185498032776352,6.876227416069461
1.1693599485921664,1.682588578757259,7.032204402494795
1.1131695314504004,1.7477269288261075,6.775544003916439
1.1008956065610163,1.707166642281619,6.598552075808398
1.1593287561674805,1.618198715883651,6.946873313374498
1.1725817209535447,1.640403139897495,6.847191736354408
1.1117909387937772,1.7572516094622292,6.485086041065348
1.1495057804845146,1.5839944531353551,6.957160601001313
1.135558118259247,1.7494966317633027,6.638407146886397
1.1384112977426997,1.660641685044085,6.623667218346756
1.1447816231929755,1.70626112968513,6.770242381439622
1.144448979042717,1.5717036874643913,6.783898956425744
1.201489629997393,1.6663023356191466,7.039553320982144
1.1826035849359982,1.5843712836832822,7.092095808966205
1.1173347145857488,1.7437027200589155,6.637731367111877
1.2213004151921862,1.4851458011201237,7.099164491568989
1.1658715659546197,1.7192823328404903,6.853574721194793
1.1653701038844249,1.6781903780867105,7.106185688269417
1.1258348866006849,1.7316857413357898,6.853218933556594
1.1011562899199705,1.864197556632523,6.681348610543476
1.145344617649778,1.7177105469444132,6.681077489314604
1.1785534737139345,1.6431905623696563,6.880114353628345
1.0766640838285324,1.816943939860629,6.348133606148957
1.1322089355456533,1.478250269581782,6.836130326083834
1.1193881763731541,1.7209205712298337,6.681544039944016
1.1315589596090256,1.6744601385860607,6.590580466295585
1.1235250005778523,1.6791618123827874,6.655586960596576
1.222555394977615,1.5525499672200034,7.061648516919114
