Target,RunID,E,Y,Y_error
SUDF#4,728,329.1778663,344.22109971878,0.0142504251835004
SUDF#4,729,332.1041281,603.196225644286,0.020014286187337
SUDF#4,731,335.1187936,1144.98583556291,0.0235181537792427
SUDF#4,732,339.0592147,5060.57041621505,0.0468124847919334
SUDF#4,733,342.0619606,22749.2762704853,0.15749886229072
SUDF#4,734,345.0239812,25087.0898365251,0.187489696254128
SUDF#4,735,347.9969281,21451.4747171942,0.138259941814492
SUDF#4,736,342.5496709,24209.5116457687,0.158584382873989
SUDF#4,737,337.6129699,2488.3919587617,0.054061677738898
SUDF#4,738,341.0676673,17492.5436449088,0.14916206521216
SUDF#4,739,351.9582085,14842.7064118908,0.105393202820181
SUDF#4,740,354.9261889,10782.6653764241,0.117805462460801
SUDF#4,741,357.8951626,8105.11529263267,0.0907413558170337
SUDF#4,742,362.849743,5307.22483551406,0.0808659662245721
SUDF#4,743,370.7643574,3119.01337868768,0.0562899047442738
SUDF#4,744,378.6879115,2039.31657351813,0.0467527313718031
SUDF#4,745,388.5772063,1338.41398960528,0.0382444314165536
IMP_LFE#2,1743,333.0974281,674.844776019434,0.0430697806246266
IMP_LFE#2,1744,337.0795678,1872.99148124576,0.0941432237583166
IMP_LFE#2,1745,339.0661678,4123.95361867798,0.128943945528122
IMP_LFE#2,1746,340.0604611,7357.24880909986,0.181959360525849
IMP_LFE#2,1747,341.0607142,14489.0461937052,0.257103438441405
IMP_LFE#2,1749,343.0413544,27163.4588281989,0.372261767024953
IMP_LFE#2,1750,344.0445874,30352.6505506809,0.446841048560312
IMP_LFE#2,1751,345.0378874,32398.4097759504,0.455106557210869
IMP_LFE#2,1753,349.0170472,29693.6654535487,0.423381498566633
IMP_LFE#2,1754,346.0292008,33428.5535426216,0.504921502214911
IMP_LFE#2,1755,347.0294539,33206.3812695937,0.561547253287425
IMP_LFE#2,1756,351.0106003,24578.0107072532,0.432569527905274
IMP_LFE#2,1757,352.9981936,18719.7409955637,0.423190648441571
IMP_LFE#2,1758,354.9907534,13247.1499601412,0.325923390910898
IMP_LFE#2,1759,356.9773534,1310.44005016278,0.0445368883649858
IMP_LFE#2,1760,360.9604864,3131.39265874573,0.174982396753196
IMP_LFE#2,1761,364.935673,1529.22860184993,0.114805241905718
IMP_LFE#2,1762,259.6369333,2.75602186540595,0.0225307501289002
IMP_LFE#2,1763,256.6570333,2.80164935311674,0.0232237088689828
IMP_LFE#2,1764,252.6838333,3.5980662732168,0.0288417462590098
IMP_LFE#2,1765,248.6927539,5.39540127875195,0.0424552738223726
IMP_LFE#2,1766,246.7051606,7.08964038699814,0.0538124593522396
IMP_LFE#2,1767,244.7116075,9.22273490675735,0.0493204264404013
IMP_LFE#2,1768,242.7240142,12.1470436016737,0.0437661669153286
IMP_LFE#2,1769,240.7364209,15.995142876419,0.0581659948468019
IMP_LFE#2,1770,238.7428678,20.111914851563,0.0683955287255833
IMP_LFE#2,1771,236.7483214,24.0646171539824,0.0810064828056562
IMP_LFE#2,1772,234.7617214,29.4218759761298,0.0889696984575062
IMP_LFE#2,1773,232.767175,33.4617335763038,0.112155234956039
IMP_LFE#2,1774,230.7736219,35.3812662108491,0.125943504625425
IMP_LFE#2,1775,228.7721224,33.4045408953065,0.107985170416093
IMP_LFE#2,1776,226.7855224,27.4379087823221,0.0986033860845559
IMP_LFE#2,1777,225.7852693,21.3342738599012,0.0764900747335261
IMP_LFE#2,1778,224.790976,11.2379369126919,0.0583592023064519
IMP_LFE#2,1779,223.7907229,3.47099140549953,0.0254912594618943
IMP_LFE#2,1780,221.7971698,1.16793077868176,0.0171676751200926
IMP_LFE#2,1781,219.8026234,0.711371926175224,0.0121580791866001
IMP_LFE#2,1782,217.8150301,0.521814847085881,0.0101210668390536
IMP_LTA#2,1491,349.9984276,15811.4574017711,0.106052211742414
IMP_LTA#2,1492,352.0048936,12745.2269508408,0.0957134203491586
IMP_LTA#2,1493,354.0014266,9281.55725101712,0.0769704980720125
IMP_LTA#2,1494,355.9979596,6292.89308319509,0.0677831433126656
IMP_LTA#2,1495,358.0044256,4126.1272012435,0.0545125165543965
IMP_LTA#2,1496,360.0009586,2684.98095295196,0.044278876263254
IMP_LTA#2,1497,364.0039576,1210.01226603715,0.0297331123441228
IMP_LTA#2,1498,367.9970236,685.878189234425,0.0202181807985977
IMP_LTA#2,1500,348.0018946,17308.8908134383,0.111473194537466
IMP_LTA#2,1501,345.9954286,16745.3085916514,0.111253072359015
IMP_LTA#2,1502,345.0021286,15635.1115325854,0.102545252143667
IMP_LTA#2,1503,343.9988956,14027.4171277794,0.0995837436146746
IMP_LTA#2,1504,342.9956626,11823.2687266557,0.0905550906042229
IMP_LTA#2,1505,342.0023626,9215.96885458643,0.0838881388798878
IMP_LTA#2,1506,340.9991296,6144.00299991516,0.0655615150352948
IMP_LTA#2,1507,339.9958966,3358.95802241923,0.0480329871434133
IMP_LTA#2,1508,339.0025966,1926.09177460109,0.0364569237216575
IMP_LTA#2,1509,337.9993636,1228.1898347469,0.026879095372728
IMP_LTA#2,1510,336.9961306,781.722025690977,0.0210368725606789
IMP_LTA#2,1511,333.9963646,410.813761014028,0.0165063803924585
IMP_LTA#2,1512,331.9998316,235.261899639458,0.0120866018716138
IMP_LTA#2,1513,330.0032986,199.600753309283,0.0118562506598997
IMP_LTA#2,1514,336.0028306,638.133464898529,0.0203805590544163
