============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.8421E+02 -3.8427E+01 -8.0471E+01
0000002   5.0612E+02 -1.0252E+02  1.5230E+02
0000003   6.1335E+02  7.8726E+00 -2.0724E+02
0000004   3.1449E+02 -2.0048E+02 -1.2496E+01
0000005   3.2139E+02 -1.9548E+02 -1.9115E+02
0000006   3.2452E+02  1.7021E+02  9.0144E+01
0000007   3.3618E+02  2.3054E+01 -9.7726E+01
0000008   2.0283E+02  8.3466E+01 -2.8270E+01
0000009   4.4613E+02 -3.3662E+02 -1.7608E+02
0000010   2.9052E+02  1.3631E+02 -4.9039E+01
0000011   4.1126E+02 -3.2664E+01 -1.1267E+02
0000012   3.1743E+02  7.8370E+01 -1.0499E+02
0000013   2.2738E+02  1.9105E+01  1.4266E+02
0000014   3.5270E+02  1.3113E+01 -1.3330E+01
0000015   5.4793E+02 -5.1725E+01  9.6075E+00
0000016   3.8655E+02 -1.0261E+00 -1.1677E+02
0000017   3.8327E+02  1.1132E+02  8.0179E+01
0000018   4.9175E+02 -6.7318E+00 -1.7506E+01
0000019   1.3589E+02  6.7055E+01  3.0681E+01
0000020   2.9107E+02  5.3088E+01 -3.1345E+02
0000021   3.1307E+02 -2.0039E+02 -1.1843E+01
0000022   8.1347E+01 -1.6191E+01 -4.4215E+01
0000023   7.2152E+01  1.1787E+02  1.4936E+02
0000024   7.0958E+02  1.1154E+01  6.6382E+01
0000025   1.1333E+02 -3.3743E+01  1.5431E+02
0000026   1.0206E+02 -5.7742E+01  2.5055E+02
0000027   4.8929E+02  1.5695E+02  2.6978E+02
0000028   1.7797E+02 -1.4278E+02 -8.7222E+01
0000029   2.6104E+02 -5.2127E+01  3.0482E+01
0000030   4.1110E+02 -3.6299E+02 -5.7029E+01
0000033   5.1354E+02 -5.9609E+01  4.0128E+02
0000034   3.6719E+02  9.6692E+01 -4.0478E+02
0000035   3.9055E+02  6.4445E+01 -2.2203E+02
0000036   4.4874E+02  1.8655E+02  1.6173E+02
0000037   1.3566E+02  1.0881E+02 -9.4225E+01
0000038   1.7064E+02  1.0691E+02  1.9058E+02
0000039   2.6182E+02 -2.2816E+01 -1.1618E+02
0000040   2.2760E+02  1.2766E+02  1.1218E+02
0000041   5.1860E+02  1.8576E+01  1.9820E+02
0000042   4.2074E+02  4.9222E+01  8.6152E+01
0000043   3.0768E+02 -3.3997E+02 -1.3185E+01
0000044   2.5575E+02 -1.3904E+02 -7.4434E+01
0000045   3.7664E+02 -3.2585E+00  9.3269E+01
0000046   2.3272E+02  4.1253E+01 -1.0436E+02
0000047   5.7336E+02 -1.5566E+02 -1.4566E+02
0000048   5.6060E+01 -6.4683E+01 -4.0008E+01
0000049   4.1859E+02  2.3223E+01  5.6081E+01
0000050   3.0796E+02 -1.7594E+02 -2.2265E+02
0000051   1.7849E+02  3.3530E+01  2.7779E+02
0000053   2.8162E+02 -3.8091E+02 -1.1953E+02
0000054   5.5526E+02  8.5324E+01 -4.3345E+01
0000055   2.0257E+02 -1.3382E+01 -7.8031E+00
0000056   4.2119E+02  1.8191E+02 -6.2158E+01
0000057   2.4829E+02  1.3093E+02  4.7729E+01
0000058   4.4796E+02  6.5240E+01 -8.5050E+01
0000059   3.0387E+02 -7.3345E+01 -3.0606E+02
0000060   4.5053E+02 -6.9025E+01  1.3784E+02
0000061   3.0367E+02 -1.4651E+01 -3.5298E+02
0000062   1.9441E+02  2.1256E+02  2.9529E+02
0000064   5.3669E+02 -1.0470E+02  1.7598E+02
0000065   1.3132E+02  1.2574E+02  4.3068E+01
0000066   2.5919E+02 -1.4667E+02 -3.2365E+02
0000067   1.6416E+02  1.3042E+02 -1.9451E+01
0000068   1.6333E+02 -2.8576E+02  1.0018E+02
0000069   2.3395E+02 -2.8273E+02 -9.9543E+01
0000070   4.5459E+02  9.6636E+01  2.1550E+02
0000071   3.9638E+02 -1.3551E+02  2.0290E+02
0000072   2.1661E+02  1.1222E+02  1.3784E+01
0000073   2.5881E+02  1.2796E+02  1.2377E+02
0000074   5.3516E+02  6.9054E+01 -3.5295E+02
0000075   5.5222E+01  2.3683E+01  1.9096E+02
0000076   1.6963E+02  7.7866E+01  4.0920E+01
0000077   1.2602E+02  1.3181E+02 -1.3034E+02
0000078   5.5753E+02 -3.1537E+02  1.7541E+02
0000079   2.9411E+02 -9.6555E+01  6.1044E+01
0000080   9.9026E+01  8.0741E+01  8.5852E+00
0000081   2.5289E+02 -1.2787E+02  1.7617E+01
0000082   1.8761E+02  3.2005E+02  5.3177E+01
0000083   4.3592E+02 -3.8576E+01 -3.8250E+01
0000084   5.3046E+02  1.5267E+02  5.7019E+01
0000086   5.4667E+02  8.2428E+01  2.0286E+01
0000087   1.7773E+02  3.9728E+02 -3.6615E+01
0000088   3.2610E+02 -2.9771E+01 -3.6215E+02
0000089   4.2738E+02  8.6509E+01  5.8258E+01
0000091   4.2320E+02 -1.2024E+02 -2.0955E+02
0000092   1.7011E+02 -3.0610E+01  9.3967E+01
0000093   5.2407E+02 -1.6462E+02  9.1590E+01
0000094   2.6940E+02 -1.7986E+02  7.7605E+00
0000095   3.3839E+02 -6.0019E+01  1.8653E+02
0000096   1.5757E+02  2.3948E+01 -5.7667E+01
0000097   3.9879E+02  1.5775E+02  1.9582E+02
0000098   5.4738E+01  2.7167E+02  2.6505E+02
0000099   1.9798E+02  2.5499E+01  1.8404E+01
0000100   1.1300E+02 -1.5067E+02  1.5667E+02
0000101   5.8254E+02 -1.2080E+02 -7.1539E+01
0000102   2.8224E+02 -1.3449E+02  1.4434E+02
0000103   4.6707E+02 -7.3452E+01 -1.6633E+02
0000104   5.2512E+01  2.8315E+02 -8.3593E+00
0000105   2.9033E+02 -2.6831E+02  6.9245E+01
0000106   3.1829E+02 -3.0038E+02  1.4520E+01
0000107   5.6053E+02  2.1464E+02  1.1720E+02
0000108   3.0986E+02  1.4968E+02 -1.1455E+02
0000109   4.8058E+02 -2.3353E+01  4.6319E+01
0000110   5.9578E+02  1.1174E+02  3.0748E+01
0000111   1.2641E+01  9.8485E+01 -4.1532E+01
0000112   1.3138E+02  9.0818E+01  1.5658E+02
0000113   8.7352E+01 -3.6498E+01 -2.7624E+02
