============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.5700E+02  1.8221E+02 -1.8660E+01
0000002   4.5416E+01 -1.0730E+02 -6.8994E+01
0000004   3.8893E+02 -1.8417E+02 -3.2308E+01
0000005   4.1350E+02 -5.1974E+01 -9.3149E+00
0000006   4.1464E+02  2.1526E+02  3.6213E+01
0000007   7.8335E+01  6.9805E+01 -3.4017E+01
0000008   3.3519E+01  8.0762E+01 -8.3314E+00
0000009   3.1127E+02  6.9590E+01  1.4077E+02
0000010   2.6126E+02  2.4517E+02  8.3121E+00
0000011   9.1303E+01 -6.7703E+01 -2.7370E+01
0000012   4.2638E+01  2.2947E+02  1.4216E+02
0000013   2.0993E+02  1.5949E+02  3.7292E+02
0000014   3.1914E+02  8.7542E+01 -2.0170E+02
0000015   2.1386E+02  8.6012E+01 -2.9248E+02
0000016   6.3619E+02 -1.3635E+02 -1.0460E+02
0000017   4.9049E+01  4.1060E+01 -1.0229E+02
0000018   1.1049E+01 -3.1058E+02 -3.2414E+02
0000019   6.4218E+01 -1.4285E+02  2.4615E+02
0000020   5.6696E+02 -3.1659E+02  6.4170E+01
0000021   3.3943E+02  8.3326E+01 -1.4392E+02
0000022   2.9422E+02  2.1942E+02  6.9179E+01
0000023   8.2586E+01 -8.9345E+01  2.5878E+02
0000024   3.3456E+02 -1.3089E+02  3.1819E+02
0000025   2.6257E+02 -7.9852E+01  1.3229E+02
0000026   2.3828E+02  5.6945E+01  6.0978E+01
0000027   6.1539E+02  6.2178E+01  9.1743E+01
0000028   4.3755E+02 -2.3828E+02  2.4795E+02
0000029   4.1769E+02  1.0552E+02 -6.1356E+01
0000030   3.1097E+02  9.3932E+01 -1.0054E+02
0000031   9.5122E+01  3.5004E+02 -1.9277E+02
0000032   3.9930E+02 -2.3049E+02  2.0014E+02
0000033   2.9290E+02 -2.3122E+02 -4.7082E+01
0000034   3.0353E+02 -4.9060E+01 -1.8149E+02
0000035   3.0103E+02 -7.0816E+01  1.5548E+02
0000036   2.3251E+02  6.9060E+00  3.9786E+00
0000037   3.7209E+02  2.4642E+02  4.0597E+02
0000038   4.3875E+02 -1.0268E+02  7.2614E+01
0000039   5.3251E+02 -2.1453E+02  2.2581E+01
0000040   3.5234E+00  2.3104E+01 -5.8328E+01
0000041   2.2973E+02 -3.3895E+01 -5.7134E+00
0000042   3.1376E+02  9.6419E+01  1.5351E+02
0000043   2.6764E+02 -6.4447E+01 -3.7420E+01
0000044   1.6172E+02 -1.5403E+01  3.1857E+02
0000045   4.9427E+02  1.4094E+00 -1.2842E+02
0000046   3.2992E+02 -1.8927E+02  2.5183E+02
0000047   5.2142E+02 -1.3511E+02 -9.7196E+01
0000048   2.7026E+02  6.5998E+01 -1.1552E+02
0000049   1.6266E+02  6.4174E+00 -1.0152E+02
0000050   1.4832E+02 -2.6437E+02 -5.1406E+01
0000051   2.9657E+02  4.6231E+02  9.6770E+00
0000052   2.5707E+02 -1.0413E+01  1.3228E+02
0000053   2.3924E+02  1.5642E+02  2.1679E+02
0000054   3.8365E+02 -2.4008E+02 -2.4155E+02
0000055   1.3016E+02 -3.0639E+01  9.2625E+01
0000056   2.6125E+02 -2.2554E+02  3.7644E+01
0000057   1.9743E+02 -2.2434E+02 -2.1964E+01
0000058   3.8008E+02 -1.2422E+02 -9.5196E+01
0000059   1.2363E+02  9.1332E+00  3.6892E+01
0000060   2.5849E+02 -3.7281E+02 -9.5804E+01
0000061   1.5117E+02  5.2750E+02  1.6978E+01
0000062   2.8603E+02 -3.8131E+01 -1.1980E+01
0000063   1.8003E+02  2.8533E+02 -1.9494E+02
0000064   1.7333E+02  3.1406E+02  1.3115E+02
0000065   4.9542E+02 -3.1273E+01 -1.8549E+02
0000066   4.6329E+02  1.3410E+02  7.5787E+01
0000067   9.0691E+01  1.3708E+02 -7.5902E+01
0000068   2.7793E+02 -1.9017E+02  1.4811E+02
0000069   1.9780E+02 -7.1448E+00  7.4658E+01
0000070   1.9543E+02 -3.4059E+02 -1.6200E+02
0000071   1.4608E+02  1.3675E+02  1.0002E+02
0000072   4.4459E+01 -5.7987E+01 -9.7179E+01
0000073   4.0024E+02  2.3480E+02 -6.6336E+01
0000074   1.4189E+02  1.8859E+02 -2.0657E+02
0000075   6.0893E+02 -3.2450E+02  7.7775E+01
0000076   1.5847E+02  9.1895E+01  1.0856E+02
0000077   2.2155E+02  2.6150E+02 -1.9421E+02
0000079   3.7753E+02 -1.3497E+02 -2.3789E+02
0000080   1.7619E+02  2.6032E+01 -7.2495E+01
0000081   1.8033E+02 -4.2256E-01  1.8033E+02
0000082   1.7985E+02 -1.5091E+02  2.8876E+01
0000083   2.9037E+02  5.0719E+02 -1.3652E+02
0000084   1.5154E+02  1.8758E+02  9.2044E+01
0000085   1.4601E+02 -2.1112E+00  3.2895E+02
0000086   4.5514E+01 -9.4608E+01 -1.6175E+02
0000087   6.0247E+02 -2.4844E+01  1.1559E+02
0000088   1.3683E+02 -5.5517E+01  2.2847E+02
0000089   5.0310E+02 -2.6041E+02 -1.8946E+02
0000090   4.7018E+02 -1.8485E+02  1.4179E+02
0000091   2.0715E+02  7.9864E+01 -5.0370E+02
0000092   5.1295E+01 -1.4639E+02 -1.9666E+02
0000093   5.5058E+02  1.5383E+02  4.5668E+01
0000094   2.3450E+02  1.9853E+01  1.5126E+02
0000095   3.1723E+02  6.8424E+01  1.0631E+01
0000096   3.1905E+02  9.7084E+01  2.2029E+02
0000097   7.6130E+01 -2.8167E+02 -2.0252E+02
0000098   4.4623E+02  5.7558E+01 -7.8547E+01
0000099   9.3584E+01  8.2238E+01  2.4620E+02
0000100   7.3914E+01 -1.6821E+02 -7.1862E+01
0000101   3.1898E+02  1.9742E+02  2.2378E+02
0000102   2.7913E+02  1.5682E+02 -9.1851E+01
0000103   3.3160E+02 -2.9903E+01  1.3021E+02
0000104   2.4988E+02 -1.9471E+01  9.4608E+01
0000105   2.8875E+02 -1.4696E+02 -2.7927E+01
0000106   2.8286E+02  1.6213E+02  1.9908E+01
0000107   2.3415E+02  4.0145E+02 -5.4666E+01
0000108   2.9819E+02 -7.6349E+00 -1.1343E+02
