============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.1524E+02  2.9851E+01 -7.9268E+01
0000002   9.0401E+01 -9.1313E+01 -1.1242E+01
0000003   4.1556E+02  1.5286E+02  8.0894E+01
0000004   7.4624E+01 -2.5048E+02  1.4424E+02
0000005   2.8674E+02 -4.5588E+01 -2.9648E+01
0000006   1.7682E+02  2.5238E+02 -2.5056E+02
0000007   3.7814E+02  8.9559E+01  3.9973E+02
0000008   1.5503E+02 -2.3330E+02  2.2933E+02
0000009   2.9083E+02 -3.5476E+02  1.8085E+02
0000010   5.3307E+02  6.5329E+01 -5.5986E+01
0000011   1.4125E+02  2.6975E+02  8.1981E-01
0000012   4.8205E+01 -9.2005E+01 -9.9809E+01
0000013   1.7685E+02  1.7655E+02 -1.3630E+02
0000014   2.7792E+02  1.9744E+02 -2.2608E+02
0000015   1.1251E+02 -1.4187E+02  7.7955E+01
0000016   3.9198E+02 -2.1570E+02  1.7851E+02
0000018   2.3920E+02  1.9926E+02  8.8552E+01
0000019   2.8130E+02 -6.8548E+01 -1.5378E+02
0000020   6.4477E+02 -2.8045E+01  2.2648E+02
0000021   3.6214E+02  1.2856E+01  1.7364E+02
0000022   4.0098E+02  2.5895E+02 -5.0780E+02
0000024   1.4527E+02  1.4244E+02  3.0480E+01
0000025   8.5162E+01  1.6199E+02 -1.3100E+02
0000027   8.3055E+01 -6.2138E+01 -3.2879E+02
0000028   2.5181E+02  6.7758E+01  4.2942E+01
0000029   1.1159E+02  7.7441E+01  1.1174E+02
0000031   5.2477E+02 -4.1527E+02  7.4393E+01
0000032   6.3241E+02 -2.3100E+01  9.5862E+01
0000033   1.1164E+02  1.8776E+01 -7.3575E+01
0000034   1.1255E+02  8.7126E+01 -1.1767E+02
0000035   2.0571E+02 -1.0854E+02 -2.3745E+02
0000036   2.6424E+02  3.4337E+01  7.1188E+01
0000037   3.4055E+02 -3.1344E+02 -1.3732E+02
0000039   4.4406E+02 -2.7280E+02  1.0382E+02
0000040   2.6241E+02 -1.2201E+02  2.1248E+02
0000041   3.9810E+02  1.1948E+02 -8.7298E+01
0000042   1.0514E+02 -9.5623E+01 -1.5990E+02
0000043   3.3147E+02  5.0429E+01  5.4504E+01
0000044   3.1556E+02 -8.2318E+01 -1.6393E+02
0000045   3.2490E+02  2.2739E+02  1.6694E+02
0000046   4.0820E+02 -3.4271E+02 -1.0393E+02
0000047   1.1069E+02 -2.7375E+02  1.7971E+02
0000048   2.8349E+02  1.6756E+02  2.6748E+02
0000049   3.0566E+02  3.3499E+02 -3.8096E+01
0000050   2.5012E+02 -1.6255E+02  2.1945E+02
0000051   2.7871E+02 -3.7470E+01  2.5457E+02
0000052   2.7181E+02  1.0399E+02 -1.5019E+02
0000053   5.4260E+02  5.5974E+01  2.9278E+02
0000054   2.2004E+02 -2.0242E+02 -4.6508E+01
0000055   1.7604E+02  1.4720E+02 -2.3298E+02
0000056   1.4391E+02 -8.5548E+01 -6.1472E+01
0000057   3.7967E+02 -1.2228E+02  2.1324E+02
0000058   2.9310E+02  6.7249E+01 -4.1881E+01
0000059   2.0512E+02 -1.2233E+02 -9.0757E+01
0000060   1.5387E+02  2.6473E+02 -7.5599E+01
0000061   1.9315E+02  2.6512E+01  1.0877E+02
0000062   6.2388E+02  1.2695E+02  9.9328E+01
0000063   8.8430E+01  1.0482E+02 -4.5111E+02
0000064   3.0298E+02  1.7599E+01 -1.3963E+01
0000065   3.6802E+02 -1.8800E+02 -1.3455E+02
0000066   3.3928E+02 -4.2656E+01  4.7468E+00
0000067   6.0520E+01  1.1740E+02  2.5830E+01
0000068   4.2678E+02  1.8465E+02  4.0657E+02
0000069   2.3175E+02 -1.9184E+02 -4.5295E+01
0000070   5.2366E+02 -1.5628E+01 -4.2197E+01
0000071   4.4100E+02 -1.9219E+02 -1.5399E+02
0000072   3.0698E+02  4.1953E+02 -2.3710E+02
0000073   4.0333E+02  1.9536E+02  5.7803E+01
0000074   1.8496E+02 -1.5900E+02 -1.8647E+02
0000075   1.2707E+02  1.0431E+02 -1.0156E+02
0000076   4.0832E+02  2.3511E+02 -4.1500E+01
0000077   2.9478E+02 -3.2065E+02  4.5960E+02
0000078   1.1935E+02 -1.9378E+02  1.4372E+02
0000079   3.5053E+02 -5.8681E+01 -1.1965E+02
0000080   3.2964E+02  2.0780E+01  4.6553E+01
0000081   2.8624E+02  2.7443E+01  6.5167E+01
0000082   2.3561E+02 -3.3105E+01  2.0235E+02
0000083   6.3473E+01  1.3902E+02 -1.3120E+02
0000084   5.5125E+01  5.2900E+01 -2.2777E+01
0000085   5.9500E+02 -1.2701E+02  1.2591E+02
0000086   4.5372E+02  1.3106E+02  1.6759E+02
0000087   4.1267E+02  3.3484E+02  9.1579E+01
0000088   1.3994E+02  4.4641E+01  7.5217E+00
0000089   4.0702E+01 -6.4365E+01 -3.0209E+01
0000090   2.8709E+02  8.6595E+01 -1.7055E+02
0000091   1.3829E+02 -1.7142E+02  1.2602E+01
0000092   1.6363E+02  2.2662E+02  2.0801E+02
0000093   6.5540E+02  1.1799E+01  1.2171E+02
0000094   2.0354E+02 -1.0606E+02  3.6152E+02
0000095   4.0710E+02  1.6222E+02  1.2282E+02
0000096   1.2522E+02 -2.0769E+02  7.4504E+01
0000097   4.1147E+02  1.6614E+02 -2.1702E+02
0000099   4.8050E+02  4.6311E+00 -1.6755E+02
0000100   2.6559E+02 -2.0931E+02 -1.2086E+02
0000101   4.5723E+02  1.9090E+02  5.0516E+01
0000102   4.0874E+02 -2.2057E+02 -1.2554E+02
0000103   1.4666E+02  4.2289E+02  1.5808E+02
0000104   2.2328E+02 -3.8754E+01 -6.7838E+00
0000105   3.2566E+02 -1.6476E+02 -1.0347E+02
0000106   3.8426E+02 -6.8849E+01  2.5352E+02
0000107   1.1363E+02 -1.1367E+02 -3.8350E+00
0000108   2.3360E+02  2.8475E+02  2.6550E+02
0000109   3.1809E+02  1.4291E+01  1.5215E+02
0000110   1.3459E+02 -4.0457E+01  2.2928E+02
0000111   4.7621E+02 -1.3528E+02 -5.5510E+01
0000112   3.9962E+02  1.1697E+01  3.9637E+01
0000113   3.2061E+02  2.6009E+02 -3.0693E+02
