============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.4454E+02 -9.8460E+01  4.5584E+01
0000003   3.7486E+02 -1.3250E+02  2.1223E+02
0000005   1.3393E+02 -1.0128E+02  9.1036E+01
0000006   3.6003E+02 -1.2292E+02 -2.0617E+02
0000007   3.9523E+02 -8.8392E+01 -3.5542E+01
0000008   4.7507E+02 -4.5095E+01  1.5002E+02
0000009   3.7642E+02 -1.1564E+02  9.4119E+00
0000010   5.1487E+02  8.3782E+01  2.4209E+02
0000011   2.2782E+02  4.5131E+01  1.0402E+02
0000012   2.8336E+02  1.8832E+02  1.5681E+02
0000013   5.0412E+02  1.2753E+02  1.8482E+02
0000014   6.5938E+02  1.9344E+02 -1.2553E+02
0000015   3.2651E+02 -8.2319E+01 -2.6944E+02
0000016   2.1540E+02 -1.5050E+02  1.3184E+02
0000017   2.7908E+02  1.1192E+01  2.2819E+02
0000018   3.1443E+02 -3.0591E+01  4.9659E+01
0000019   2.4283E+02  7.4886E+01  6.0519E+00
0000020   1.0928E+02 -3.2724E+01  1.6254E+01
0000021   3.6130E+02  3.6107E+00  1.9154E+02
0000022   6.4195E+01  5.8314E+01  1.3570E+02
0000023   5.2603E+02 -1.4583E+02 -7.9788E+01
0000024   4.4860E+02 -2.5009E+02  4.5537E+02
0000025   2.8429E+02 -1.6384E+02 -1.3438E+02
0000026   2.7666E+02  3.6500E+01 -7.5889E-02
0000027   2.9651E+02  6.0061E+01  3.4403E+01
0000029   2.9686E+02 -4.5343E+01  2.2105E+02
0000030   3.6913E+02 -1.0258E+02 -2.8143E+02
0000031   4.5245E+02 -2.2305E+02  1.0756E+02
0000032   4.3774E+02  2.3185E+02 -2.0234E+02
0000033   4.2314E+02  6.5002E+01  2.6751E+02
0000034   1.7817E+02 -1.7325E+02 -1.5507E+02
0000035   5.5813E+02  2.3715E+02  1.6520E+01
0000036   3.6109E+02 -7.9335E+00 -4.9790E+02
0000037   2.5817E+02 -1.7422E+00 -2.6764E+02
0000038   4.6226E+02  7.7539E+01  2.0227E+02
0000039   4.8901E+02 -1.0432E+02  1.7919E+02
0000040   2.0504E+02 -3.6140E+02 -1.1531E+02
0000041   3.0447E+02  2.5845E+00 -9.8066E+01
0000042   3.6879E+02  6.0310E+01  6.6513E+01
0000043   5.0527E+02 -1.9267E+02 -6.6434E+01
0000044   4.0736E+02  1.6028E+02 -6.6649E+01
0000045   4.2779E+02  5.1010E+02  1.2844E+02
0000046   1.4751E+02  5.9936E+01  1.4045E+02
0000047   1.8279E+02  1.3568E+00 -2.7700E+01
0000048   1.6269E+02  9.6459E+00 -6.7261E+01
0000049   5.7404E+01  8.1741E+01  4.0865E+01
0000050   3.6567E+02  2.5933E+02 -1.2041E+02
0000051   2.5199E+02 -2.5156E+02 -1.0065E+02
0000052   2.6368E+02 -9.5162E+01  6.9040E+00
0000053   2.4639E+02 -7.2506E+00  1.0257E+02
0000054   2.7697E+02  5.3675E+02 -1.8563E+01
0000055   1.1967E+02 -1.3127E+02  6.3935E+01
0000056   1.7827E+02  1.6628E+02 -2.5332E+01
0000057   3.8464E+02 -2.0500E+02 -8.7632E+01
0000058   1.6917E+02 -1.4430E+02  1.3417E+01
0000059   3.3149E+02 -1.1026E+02  1.3776E+02
0000060   1.6778E+02  1.8253E+02  1.8563E+02
0000061   5.2667E+02  8.7166E+01 -1.7122E+02
0000063   2.2509E+02 -1.1775E+02 -1.0991E+02
0000064   1.0673E+02 -6.1089E+01 -1.3010E+02
0000065   3.1301E+02 -2.4196E+02  5.3646E+01
0000066   2.2234E+02 -1.6829E+02 -4.6390E+01
0000067   1.7855E+02  1.3940E+02 -5.1042E+01
0000068   3.7927E+02  8.8903E+01  2.0691E+02
0000069   2.6640E+02 -1.5799E+02  8.5392E+01
0000070   3.7263E+02  1.2159E+02 -1.6964E+01
0000071   3.8788E+02 -2.3615E+02 -1.7814E+02
0000072   4.0810E+02 -1.4907E+01 -1.0980E+02
0000073   8.6680E+01 -2.2148E+02  1.5866E+02
0000074   4.9474E+02  1.3753E+02 -7.3906E+01
0000075   7.8896E+01  2.8896E+00 -2.1355E+01
0000077   4.7098E+02 -1.3778E+02  6.2228E+01
0000078   2.9040E+02 -1.9334E+02  2.7281E+02
0000079   5.1784E+02 -6.8380E+01  3.1126E+02
0000080   2.9341E+02  5.5948E+01  2.1249E+02
0000081   3.0576E+02  1.9778E+02  6.2499E+01
0000082   2.5152E+02  2.7681E+02  1.0671E+02
0000083   2.7422E+02  2.9094E+02  1.6686E+02
0000084   3.4249E+01 -1.1402E+02 -1.0588E+01
0000085   4.1786E+02  2.2434E+02 -2.9877E+02
0000086   4.7975E+02 -2.4671E+02  3.4727E+02
0000087   4.0705E+02 -8.5875E+01 -1.8759E+02
0000088   2.5681E+02 -2.5067E+02 -1.9931E+02
0000089   3.2719E+02 -7.1122E+01  1.1352E+02
0000090   1.6439E+02  2.0370E+02 -2.7116E+02
0000091   3.0007E+02  9.8121E+01 -3.4649E+02
0000092   5.5857E+02 -9.8082E+01  4.0666E+01
0000093   4.3463E+02  1.0877E+02 -2.1247E+02
0000094   2.2561E+02  1.5807E+02 -3.2489E+02
0000095   4.1939E+02  1.1696E+02 -5.7170E+01
0000096   4.4110E+02 -1.4803E+02  6.0358E+01
0000097   3.5306E+02  5.7102E+01  5.6881E+01
0000098   5.0653E+02  4.0044E+01 -1.0332E+02
0000099   3.5062E+02  2.2304E+02 -1.5345E+02
0000100   2.9825E+02  1.5959E+02 -2.1980E+02
0000101   3.7392E+02 -1.2248E+02 -3.0348E+02
0000102   9.6085E+00  2.6449E+02  1.1242E+02
0000103   1.9278E+02  7.3690E+01 -1.1211E+02
0000104   4.2221E+02  1.1721E+02  6.3683E+01
0000105   5.7728E+02  1.7207E+02 -5.2939E+01
0000106   3.2077E+02 -1.2609E+02  2.9370E+02
0000107   2.8676E+02 -9.8355E+01  9.6994E+01
0000108   2.8396E+02  2.3109E+02  8.6520E+01
0000109   4.0216E+02 -6.7486E+00  3.5746E+01
0000110   1.7533E+02  1.6933E+02 -2.0815E+01
0000111   9.7829E+01  6.8436E+01 -3.5380E+02
0000112   3.5646E+02  5.0014E+01  1.0814E+02
