============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.7187E+02  8.6113E+01 -1.1703E+02
0000002   5.1027E+02  5.0396E+01  8.0969E+01
0000003   2.0967E+02  2.2360E+02  1.2430E+02
0000004   1.3156E+02 -4.7097E+02 -2.5601E+02
0000005   3.8105E+02  1.1010E+02 -9.5561E+01
0000006   3.2672E+02 -1.6992E+02  4.0255E+01
0000007   4.7711E+02  1.8718E+02 -8.5633E+01
0000008   3.6909E+02  2.5500E+00 -2.5425E+02
0000009   2.2597E+02 -6.1089E+01  1.2237E+02
0000010   3.8726E+02  7.3746E+01 -1.6731E+02
0000011   1.8209E+02 -1.1231E+02 -2.3566E+01
0000012   3.2620E+02  2.1690E+02  2.9522E+02
0000013   1.7850E+02 -5.0543E-01  2.9283E+01
0000014   2.9187E+02  2.3942E+01  9.8214E+01
0000015   1.3148E+02  7.8610E+01 -2.1725E+01
0000016   4.3706E+02 -2.9285E+02  4.9468E+00
0000017   2.1358E+02 -6.4865E+01 -4.1966E+02
0000018   3.1280E+02  1.3491E+02 -3.6010E+02
0000020   2.9903E+02  2.4365E+02 -3.6430E+01
0000021   7.5727E+01  3.2900E+02 -3.8671E+00
0000022   3.3488E+02  4.4607E+00 -2.1335E+02
0000023   5.7790E+01  4.3032E+01 -4.5898E-01
0000024   1.5325E+02 -1.9168E+02 -2.7939E+02
0000025   5.2083E+02  7.2138E+01  5.9107E+01
0000026   4.2087E+02 -2.0055E+02  8.0954E+01
0000027   1.6535E+02 -2.6301E+02 -2.7266E+01
0000028   6.0339E+02  8.0186E+01  3.6724E+01
0000029   1.4819E+02  1.6705E+02 -2.1731E+02
0000030   1.7736E+02  1.1407E+02 -7.9501E+01
0000031   5.5359E+02 -1.3906E+02  2.6870E+01
0000032   1.1568E+02  1.6850E+01  5.8718E-01
0000033   3.0626E+02 -1.9678E+02 -2.5860E+01
0000034   3.4901E+02 -2.2630E+02 -7.6338E+01
0000035   3.4741E+02 -3.0672E+02 -6.0369E+01
0000036   9.5577E+01  2.5773E+02 -2.3548E+02
0000037   4.2079E+02  1.1733E+02  9.4632E+01
0000038   2.1708E+02 -2.2305E+02  2.7605E+02
0000039   1.6273E+02  1.8924E+01  4.7467E+01
0000041   7.5221E+02 -2.2471E+02  4.0690E+01
0000042   5.2711E+02 -4.4306E+02 -2.2822E+01
0000043   2.4038E+02 -2.8552E+01 -9.5686E+01
0000044   3.3193E+02  1.2565E+02  5.2507E+01
0000046   1.9807E+02 -1.6108E+02  1.5045E+02
0000047   3.3133E+02 -5.1237E+01  5.6867E+01
0000048   3.8688E+02  1.2774E+02  1.2917E+02
0000049   2.7306E+02 -1.8476E+02 -1.0076E+02
0000050   4.6315E+02  1.9533E+02 -1.8025E+02
0000051   6.7062E+01 -3.8515E+02  1.0661E+02
0000052   4.6423E+02 -2.1957E+02  1.0227E+02
0000053   3.6996E+02 -2.8654E+02 -1.7104E+02
0000054   2.3756E+02 -1.2514E+02 -2.8403E+02
0000055   2.8082E+02  2.0416E+02  7.6976E+01
0000056   3.7930E+02 -4.5465E+02  1.8995E+02
0000057   3.1933E+02 -5.1568E+01  1.1938E+02
0000058   3.9221E+02  1.9821E+01 -6.7539E+00
0000059   1.9272E+02 -2.4829E+02  4.6065E+01
0000060   1.3406E+02  1.2511E+02  2.9464E+01
0000061   5.8032E+02  1.5080E+02 -8.9134E+01
0000062   4.3019E+01  1.7091E+02  4.0930E+01
0000063   1.8847E+02 -8.3454E+01 -1.6196E+02
0000064   3.7951E+02  1.1774E+02  5.0097E+01
0000065   4.6753E+02  5.6541E+01  3.8450E+02
0000066   4.0180E+02  1.2210E+02  2.9061E+01
0000067   1.1689E+02 -2.6731E+02  1.4743E+02
0000068   2.9909E+02 -7.7284E+00 -2.0763E+00
0000069   4.0021E+02 -2.3273E+01 -1.9164E+01
0000070   3.1530E+02  1.0933E+02 -5.9931E+01
0000071   4.3040E+01 -2.0827E+02  2.5130E+02
0000072   2.3057E+02  1.1628E+02 -1.0910E+02
0000073   2.5955E+02 -3.0791E+02  8.6628E+01
0000074   4.8933E+02 -1.0324E+02  1.4121E+02
0000075   4.1435E+02 -1.9930E+02  1.3833E+02
0000076   2.2294E+02 -8.4248E+01 -9.4435E+01
0000077   5.0166E+02 -7.5582E+01  1.3840E+02
0000078   4.4047E+02  6.3646E+01 -3.6597E+02
0000079   1.5019E+02 -3.5288E+02  3.2955E+00
0000080   2.7135E+02  3.8463E+02 -1.8761E+02
0000081   3.9000E+02  3.0953E+02  1.3021E+02
0000082   2.5058E+02 -6.1295E+01 -3.3837E+01
0000083   4.8921E+02  1.7513E+02 -3.8035E+02
0000084   6.1997E+02  1.4967E+02 -4.1034E+01
0000085   7.1570E+00  3.7885E+02 -1.8849E+02
0000086   8.9996E+01  6.0731E+01 -2.8909E+02
0000087   4.3175E+02 -1.6953E+02  1.3539E+02
0000088   1.3859E+02 -2.6889E+01 -1.5944E+02
0000089   2.7920E+02 -3.1145E+01  2.3119E+02
0000090   3.6996E+02  2.8186E+01  7.0044E+01
0000091   2.8260E+02  1.8524E+02  5.2793E+01
0000092   9.1366E+01  3.0420E+02  9.6061E+01
0000093   3.9790E+02 -1.3109E+02 -1.0232E+02
0000094   5.6452E+02  1.4987E+02 -9.9990E+01
0000095   4.0292E+02 -7.5438E+01 -1.9090E+02
0000096   3.2021E+02 -1.4648E+02  2.4248E+02
0000097   3.1262E+02 -4.7945E+02  1.0128E+01
0000099   3.5319E+02 -2.4016E+02 -3.2913E+02
0000100   3.7491E+02  5.7690E+01  1.1148E+02
0000101   2.0085E+02  8.3080E+01 -9.5580E+00
0000102   2.5523E+02  1.7659E+01 -4.9513E+01
0000103   2.1042E+02 -8.0964E+01 -2.8327E+02
0000104   1.9999E+02  1.0480E+02 -1.6227E+01
0000105   4.4919E+02 -1.4752E+02  4.9315E+01
0000106   3.3663E+02  2.0207E+02  1.9569E+02
0000108   4.2745E+02  4.6824E+00 -1.2059E+02
0000109   5.8625E+02 -1.8919E+01  5.6715E+01
0000110   5.7455E+02  2.8520E+02  6.4010E+01
0000111   6.0906E+02 -8.1873E+01 -2.4553E+02
