============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.0265E+02  1.8807E+02  5.0225E+01
0000002   3.4743E+02  1.4595E+02 -4.1966E+01
0000003   8.5515E+01 -2.0402E+02  2.5303E+02
0000004   2.1705E+02  2.1849E+02  1.0692E+01
0000005   4.1586E+02  6.4031E+01  3.4655E+01
0000006   4.1824E+02  1.2813E+02  3.5392E+02
0000007   1.9799E+02 -7.1720E+01 -1.3854E+02
0000008   9.4824E+01  1.8530E+02 -2.7411E+02
0000009   4.8474E+02 -3.4563E+02  1.7464E+02
0000010   4.5667E+02  1.9300E+02 -1.8716E+02
0000011   7.8324E+01 -2.9796E+02 -2.9501E+01
0000012   3.7993E+02 -5.5373E+01  2.4328E+02
0000013   1.6318E+02  2.2489E+02 -1.2331E+02
0000014   3.6932E+02  4.5570E+02 -1.9972E+02
0000015   3.4459E+02 -1.6213E+02 -1.2775E+02
0000016   4.0137E+02 -1.0243E+02 -1.8489E+02
0000017   3.4217E+02  2.5202E+02  2.9885E+02
0000019   1.2303E+02  8.4940E+01 -1.6376E+01
0000020   4.5520E+02 -3.6226E+02 -1.0981E+02
0000021   1.8972E+02  7.0666E+01 -1.3316E+02
0000022   3.1257E+02  7.9319E+00  2.9926E+02
0000023   3.2975E+02  1.3487E+02 -2.6968E+02
0000024   1.2272E+02 -1.9926E+02  3.1665E+02
0000025   1.9368E+02  8.3640E+00  6.8383E+01
0000026   2.9768E+02 -3.4716E+01 -2.8756E+02
0000027   3.5624E+02  4.3515E+01  3.0509E+02
0000028   1.1680E+02  5.2880E+01  1.7917E+02
0000029   2.5596E+02 -1.3106E+02 -2.0469E+02
0000030   1.1643E+02 -1.2196E+02  5.5291E+01
0000031   2.4365E+02 -1.5044E+02  6.0873E+01
0000032   1.2952E+02  5.6422E+01 -3.6634E+01
0000033   1.8942E+02 -4.4157E+01  2.5226E+02
0000034   3.2580E+02  4.9016E+00  5.5581E+01
0000035   3.8755E+02  1.0828E+01 -9.5552E+00
0000036   4.4013E+02 -2.5193E+02 -3.1395E+01
0000037   4.5630E+02  7.6890E+01 -1.6959E+01
0000038   4.1831E+02 -2.1925E+00  6.5746E+01
0000039   4.8009E+02  1.2926E+02 -3.3012E+02
0000040   5.0982E+02  4.1067E+01 -7.9977E+01
0000041   4.2842E+02  7.3095E+01 -2.9154E+02
0000042   4.2124E+01  1.0487E+02  4.0646E+01
0000043   1.9082E+02 -2.9211E+01  4.6105E+01
0000044   2.1997E+02  6.0986E+01 -5.5240E+01
0000045   1.1204E+02  4.9582E+01  6.2831E+01
0000046   2.6093E+02 -1.4280E+02  1.5757E+02
0000047   5.0432E+02  2.0439E+02 -5.3335E+01
0000048   3.4413E+02  1.0848E+02 -2.5103E+01
0000049   1.8416E+02 -1.9500E+02  2.1940E+02
0000050   7.1161E+01  1.7732E+02  6.1827E+01
0000051   3.1581E+02  8.7631E+01 -2.6425E+02
0000052   3.7594E+02  2.4256E+02 -1.5589E+02
0000053   2.4058E+02 -2.9734E+02 -5.0955E+01
0000054   2.5991E+02  7.5840E+01  3.8515E+02
0000055   5.0646E+02  1.7316E+01 -9.4936E+01
0000056   4.2184E+02 -2.6450E+02  5.0752E+01
0000057   3.1538E+02 -1.6428E+01 -7.6015E+01
0000059   1.6974E+02  8.5898E+01  3.8787E+02
0000060   2.1125E+02  2.8772E+01 -8.9640E+01
0000061   3.6103E+02  8.6285E+01 -1.1628E+02
0000062   3.3116E+02  1.1708E+02  7.5852E+01
0000063   6.2555E+02 -1.3823E+02  2.5272E+02
0000064   1.5061E+02 -1.1698E+01 -5.5939E+00
0000065   4.8153E+02  6.9345E+01 -1.2589E+02
0000066   1.8876E+02 -1.8768E+02 -1.5567E+02
0000067   3.8646E+02 -4.5470E+01 -4.2627E+02
0000068   5.8602E+02  7.5589E+01 -2.3682E+01
0000070   3.6471E+02 -3.3167E+01 -1.1448E+02
0000071   5.2990E+02 -1.5566E+02  1.8732E+02
0000072   5.0332E+02  5.4155E+01 -3.7548E+02
0000073   3.9198E+02  1.8993E+01 -8.4936E+01
0000074   4.8577E+02 -1.0176E+02  3.5845E+01
0000075   5.6523E+02  7.4645E+01 -1.4888E+02
0000076   1.2772E+02  8.6005E+01 -2.9257E+02
0000077   3.5371E+02 -4.9858E+01 -2.7728E+01
0000078   5.8527E+02 -9.2303E+01  1.4121E+01
0000079   2.7082E+02  5.7286E+01 -6.6767E+01
0000080   3.9162E+02 -1.8895E+00  2.0606E+02
0000081   3.3416E+01 -4.0011E+02  8.3158E-01
0000082   4.1846E+02  1.0545E+02 -3.7864E+01
0000083   1.1160E+02 -1.9656E+02  1.5968E+02
0000084   9.6072E+01  1.3699E+02 -1.6696E+02
0000085   6.6521E+01 -1.8796E+02  1.5287E+02
0000086   5.4035E+02  2.0074E+02 -1.0586E+01
0000087   9.2728E+01  1.6865E+02  1.0658E+01
0000088   2.0128E+02 -1.0834E+02 -2.0115E+02
0000089   1.9677E+02  1.6742E+02 -1.0916E+02
0000090   6.8081E+01 -1.3194E+02  1.1360E+02
0000091   4.5506E+02 -3.6062E+01 -5.8425E+00
0000092   1.7082E+02  8.3355E+00 -6.2182E+00
0000093   3.3790E+01  1.5843E+02 -2.9780E+02
0000094   4.3231E+02  3.2421E+02  3.0628E+02
0000095   1.9643E+02  2.1396E+02  3.2906E+02
0000096   2.0587E+02 -6.2661E+01 -1.0799E+02
0000097   3.6701E+02 -3.9218E+01  2.2184E+02
0000098   2.7322E+02  2.3550E+01  1.1411E+02
0000099   6.4563E+00  5.0289E+01  7.4131E+01
0000100   1.6333E+02 -4.6074E+01 -1.2835E+01
0000101   4.8335E+02  3.5812E+02  2.9397E+02
0000102   3.0852E+02  1.0050E+02 -8.7839E+01
0000103   3.6405E+02  2.2273E+02 -2.2560E+02
0000104   3.1899E+02 -2.8146E+01  4.3980E+01
0000105   2.6285E+02 -1.8705E+02 -7.0598E+01
0000106   2.0634E+02  7.6618E+01 -3.4009E+02
0000107   2.7828E+02 -3.8406E+01 -5.7521E+01
0000109   1.1828E+02 -1.9007E+02  3.5785E+02
0000110   2.9242E+02  1.9050E+02  2.8534E+02
