============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.8766E+02  6.0420E+01 -4.3414E+01
0000002   3.9405E+02  1.4031E+02 -1.4348E+02
0000003   2.5886E+02 -3.5851E+02 -1.9852E+02
0000004   5.4820E+02 -2.5750E+02 -3.3485E+00
0000005   2.9150E+02 -1.1656E+01 -3.0590E+02
0000006   4.5717E+02 -2.5019E+02 -1.2477E+02
0000007   1.4991E+02  1.2929E+02  5.8472E+01
0000008   3.2634E+02  3.2907E+02  1.8475E+02
0000009   2.2693E+02  2.0282E+01  9.5544E+01
0000010   3.0360E+02 -3.2237E+01  2.5133E+00
0000011   1.5803E+02  5.3796E+01 -3.9580E+01
0000012   5.7287E+02 -1.4037E+02 -1.9035E+01
0000013   4.0405E+02  1.4922E+02  3.2852E+01
0000014   1.4346E+02 -5.4144E+01 -1.5408E+02
0000015   1.5687E+02 -1.9250E+01  2.4503E+01
0000016   4.5796E+02  1.2233E+02  1.4396E+01
0000018   5.3672E+02  6.5392E+01  3.0088E+02
0000019   4.3452E+02  9.4255E+01  1.3856E+02
0000020   2.9814E+02  1.3542E+02  1.7608E+02
0000021   3.5473E+02  1.3115E+01  2.8777E+02
0000022   3.7222E+02  5.6032E+01  1.0468E+01
0000023   1.8855E+02  3.8513E+00 -1.4001E+02
0000024   3.2148E+02  2.6642E+01  4.7643E+01
0000025   2.1033E+02  1.8482E+02 -2.6364E-02
0000026   1.2426E+02 -4.3209E+00  1.8236E+02
0000027   5.9710E+02 -1.4972E+01  8.3917E+00
0000028   2.5401E+02 -2.6538E+02  2.6421E+02
0000029   1.5202E+02 -4.5165E+02 -3.5801E+01
0000030   3.9381E+02  9.3254E+01 -6.1639E+00
0000031   1.6876E+02 -2.9509E+02 -2.7269E+02
0000032   3.0703E+02  5.7226E+01  1.9739E+02
0000033   6.8665E+01  1.5596E+01  7.9103E+01
0000034   3.2461E+01  1.2413E+02  6.0783E+01
0000035   3.9255E+02 -2.2488E+02  3.7787E+02
0000036   2.7374E+02  3.6168E+01 -2.8774E+02
0000037   6.7243E+01  1.0351E+02  1.0294E+02
0000038   2.9725E+02  9.2196E+01 -1.5845E+02
0000039   3.4530E+02  1.2266E+02  1.8799E+01
0000040   1.4407E+02 -6.2197E+01  7.5787E+01
0000041   4.2284E+02  4.2388E+01  1.3093E+02
0000042   5.7484E+02  4.6260E+01  7.9395E+01
0000043   5.6812E+02 -5.0638E+01 -8.5698E+01
0000044   2.3894E+02 -1.5669E+02  1.2055E+02
0000045   3.0911E+02  1.2129E+02 -9.9937E+00
0000046   3.6261E+02 -8.7575E+01 -4.1657E+02
0000047   2.1458E+02  2.0386E+01  1.3056E+02
0000048   2.1090E+02  1.5726E+02 -1.3639E+02
0000049   2.0955E+02  1.2808E+02 -6.3755E+01
0000050   2.0467E+02  2.6865E+02 -3.8584E+00
0000051   4.9083E+02 -2.1932E+02 -5.2887E+01
0000052   2.4735E+02  2.1496E+02  8.4550E+01
0000053   4.4082E+02  2.8405E+01 -1.7615E+02
0000054   1.2923E+02  9.9987E+01 -1.4453E+02
0000055   5.4465E+02 -1.9346E+01  2.2405E+01
0000056   2.4219E+01 -9.2214E+00 -1.4015E+01
0000057   1.9026E+02  2.8169E+02 -1.1213E+02
0000058   5.7663E+02  3.3603E+02 -7.1015E+01
0000059   2.6323E+02 -1.1424E+01 -2.6733E+02
0000060   5.5884E+02  1.6354E+02 -1.7060E+02
0000061   2.4258E+02 -2.8571E+02 -2.5791E+02
0000062   4.6736E+02 -5.1363E+01 -4.4066E+02
0000063   1.5057E+02 -1.4903E+02  4.7821E+01
0000064   1.0316E+02 -1.2649E+02  1.3030E+02
0000065   2.5671E+02 -2.2247E+02 -1.6935E+02
0000066   1.4821E+02 -2.3880E+02  1.0146E+02
0000067   5.4274E+02 -1.4349E+02  2.0700E+02
0000068   2.9436E+02  7.0381E+01 -6.2368E+01
0000069   2.7811E+02  5.2977E+02 -6.0479E+01
0000070   2.0757E+02  1.8972E+02  1.1063E+02
0000072   1.9474E+02 -7.2539E+01 -2.6731E+01
0000073   2.3301E+02  2.3392E+02 -3.8696E+01
0000075   3.3928E+02 -1.4518E+02 -1.7886E+02
0000076   3.6242E+02 -3.5684E+02 -3.1541E+02
0000077   3.7264E+02  1.4189E+02 -1.3185E+02
0000078   9.1523E+01 -8.9877E+00  1.5026E+02
0000079   2.5604E+02  1.6174E+02  5.2615E+01
0000080   4.1593E+02 -3.6355E+01 -1.4173E+02
0000081   6.1350E+01  3.1759E+02 -8.2749E+01
0000082   2.7314E+02  7.3193E+01  2.1548E+02
0000083   2.4919E+02  1.9977E+02 -8.4794E+01
0000084   3.9853E+02 -7.2334E+01 -7.6340E+01
0000085   2.2487E+02  2.2144E+01 -4.7854E+02
0000086   2.5896E+01 -9.3201E+01  7.3796E+01
0000087   2.2589E+02 -1.9222E+02 -2.9222E+01
0000088   1.1363E+02  1.1623E+02 -3.3280E+02
0000089   4.8432E+02 -2.8568E+02 -2.5850E+02
0000090   2.7481E+02 -1.7927E+02  5.6137E+01
0000091   5.6611E+02 -8.9735E+01 -8.6425E+01
0000092   3.5527E+02  6.8082E+01 -2.1477E+01
0000093   2.8283E+02 -1.5619E+01 -7.5348E+01
0000094   2.6652E+02 -1.2549E+02  3.6057E+02
0000095   2.1276E+02  4.4193E+01  9.2538E+01
0000096   1.9096E+02  1.7401E+02  4.6311E+01
0000097   1.6847E+02  2.4031E+01 -1.3989E+02
0000098   8.4365E+01  2.0408E+02  3.0394E+02
0000099   3.7771E+02 -1.1455E+02 -1.3299E+02
0000100   2.9820E+02 -3.8072E+01 -2.1951E+01
0000101   1.8610E+02  2.4322E+02 -2.0086E+02
0000102   5.6356E+02  2.1964E+02  3.2659E+01
0000103   6.9060E+01 -4.4643E+01 -1.8543E+02
0000104   3.2374E+02  1.4973E+02  4.3047E+00
0000105   5.5591E+02  1.6948E+01 -1.7819E+02
0000106   4.1342E+02 -1.7406E+02  1.0418E+02
0000107   4.2491E+02  4.8261E+01 -1.5777E+02
0000108   2.5160E+02 -1.2937E+02 -8.3500E+00
0000109   3.1719E+02 -1.1639E+02  9.9177E+01
