============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.6411E+02 -1.6637E+02 -9.5101E+01
0000002   1.1349E+02 -1.3593E+02  2.5853E+01
0000003   3.0356E+02 -2.5582E+02 -4.7616E+01
0000004   5.3627E+01  1.1434E+02  1.5674E+02
0000005   4.2993E+02 -2.1049E+02 -7.8704E+01
0000006   1.7675E+02  4.7897E+01 -2.7164E+01
0000007   2.6174E+02  5.3836E+01 -2.9267E+01
0000008   2.5583E+02  2.5974E+02  2.3081E+02
0000009   3.3008E+02 -2.4951E+02 -7.3363E+01
0000010   3.5385E+02 -4.2933E+01  1.3729E+02
0000011   4.2281E+02  2.9919E+02  1.2039E+02
0000012   4.8180E+02 -5.1915E+01  3.3974E+00
0000013   9.5652E+01 -9.6985E+01 -8.9801E+01
0000014   4.6396E+02  1.0153E+01  4.5302E+02
0000015   3.1938E+02  6.9160E+01 -3.9704E+00
0000016   5.3079E+02  1.6611E+02  4.0792E+01
0000017   4.0707E+02  1.2374E+02  1.9470E+02
0000018   1.9836E+02  4.4601E+01  1.2912E+02
0000019   2.9573E+02  7.4314E+01  9.2112E+01
0000020   2.5129E+02 -2.2090E+01 -1.4055E+02
0000021   2.3477E+02 -1.3059E+01 -4.6040E+01
0000022   1.4319E+02 -4.1664E+01  1.1515E+02
0000023   1.9347E+01  1.0111E+02  2.3977E+01
0000024   1.9253E+02  5.9304E+01 -1.1857E+02
0000025   8.7375E+01  1.8460E+02 -2.7385E+02
0000026   9.8222E+01  6.0193E+01 -1.6521E+02
0000027   1.6712E+02 -2.9331E-01 -4.6514E+01
0000028   4.4329E+02  5.4374E+01  2.2294E+02
0000029   2.9014E+02  2.1009E+02 -3.4587E+01
0000030   3.6213E+01 -6.9613E+00 -2.9095E+02
0000031   1.3636E+02  7.1847E+01 -1.0166E+02
0000032   1.6065E+02  1.5728E+02 -1.0679E+02
0000033   1.6289E+02 -1.4727E+02 -1.2780E+02
0000034   4.3803E+02  1.1183E+02  2.2686E+02
0000035   4.9439E+02  1.9041E+02  1.0420E+02
0000036   5.9338E+02 -6.6517E+01 -2.5319E+02
0000037   8.2126E+01 -1.1714E+02  1.2496E+02
0000038   2.7092E+02 -3.9360E+01  1.7255E+02
0000039   2.9763E+02  1.1965E+02  9.0237E+01
0000040   4.1700E+02 -1.7064E+02 -1.8081E+02
0000041   1.0339E+02 -8.6589E+01 -2.0249E+01
0000042   4.3692E+02  1.8622E+02  8.6109E+01
0000043   6.2228E+02 -1.7705E+02  1.3708E+02
0000044   3.3492E+02  2.6860E+02 -2.1531E+02
0000045   5.7336E+02 -1.3189E+02  2.1765E+01
0000046   4.4056E+02  1.8448E+02  3.0514E+02
0000047   3.1220E+02 -1.1336E+02  1.7797E+02
0000048   5.8059E+02  1.9407E+02 -1.7531E+01
0000049   4.0000E+02  9.8045E+01 -3.7639E+02
0000050   2.0023E+02 -1.2667E+02 -1.1396E+02
0000051   2.4863E+02  1.3990E+02 -2.0411E+01
0000052   4.4135E+02 -8.8401E+01 -1.9711E+01
0000053   5.7057E+02 -2.0786E+02  2.6650E+02
0000055   2.0194E+02  1.7417E+02 -4.6970E+01
0000056   2.5718E+02 -6.6930E+01 -1.2377E+01
0000057   2.4395E+02  3.2100E+02  5.7445E+01
0000058   4.3427E+02  1.2093E+02 -2.3658E+02
0000059   5.1227E+02 -1.2763E+02 -1.3254E+02
0000060   1.5232E+02 -3.4056E+02  2.7138E+02
0000061   1.8441E+02  2.3939E+01  8.6532E+01
0000062   3.2014E+02  4.5059E+01 -8.3485E+01
0000063   3.7878E+02 -1.4754E+02 -2.1064E+02
0000064   4.6594E+02  7.9163E+01  8.9324E+01
0000065   9.9727E+01  4.0583E+01 -2.6302E+02
0000066   1.2027E+01 -2.7670E+02 -2.0259E+02
0000067   2.7533E+02 -1.4331E+02  8.6572E+01
0000068   3.9321E+02 -5.5208E+01 -1.5398E+02
0000069   4.6341E+02  7.6493E+01  7.6077E+01
0000070   2.7244E+02 -7.9687E+01  9.7229E+00
0000071   4.0612E+02  1.1657E+02  2.0768E+01
0000072   1.6265E+02 -2.4267E+02 -8.0883E+01
0000073   3.2777E+02 -9.3351E+01 -2.3640E+01
0000074   4.6838E+02  7.8308E+01 -3.8001E+02
0000075   2.3454E+02 -2.1418E+02 -6.7896E+01
0000076   3.9546E+02 -1.2941E+02 -6.9063E+01
0000077   5.0640E+02 -1.2584E+02  1.5057E+02
0000078   4.2676E+02 -6.8711E+01 -1.8496E+02
0000079   2.7534E+02  6.5387E+01  2.5608E+02
0000080   2.2275E+02 -2.1194E+01 -1.6283E+01
0000081   5.8009E+02  2.2750E+01  4.0313E+02
0000082   4.0659E+02 -1.2971E+02 -1.2815E+02
0000083   4.0824E+02  1.4521E+02 -2.8291E+01
0000084   6.6258E+02  1.7237E+02  4.5496E+01
0000085   4.7289E+02 -1.8129E+02  9.3428E+01
0000086   1.6771E+02  4.1779E+01 -1.2530E+02
0000087   4.0784E+02  3.3430E+01 -2.4542E+02
0000089   4.2927E+02  4.5179E+01 -7.0889E+01
0000090   1.8394E+02  6.6118E+01  4.1030E+02
0000091   2.9387E+02 -2.9218E+01 -4.5635E+02
0000092   3.2621E+02  1.4024E+02  3.7825E+01
0000093   2.4194E+02  2.6268E+02 -2.4376E+02
0000094   1.9526E+02  1.9099E+02  1.3708E+02
0000095   4.2349E+02  1.2537E+02 -2.5830E+02
0000096   3.8014E+02 -2.2417E+02 -2.2831E+02
0000097   1.6918E+02  6.1929E+01 -8.0371E+01
0000098   3.7184E+02  2.6896E+02 -8.4009E+01
0000099   6.0582E+02  1.4154E+01  3.7741E+01
0000100   2.5538E+01  9.5239E+01  5.3144E+01
0000101   2.5916E+02 -4.8689E+01  1.0004E+02
0000102   3.1217E+02  2.1224E+02 -1.2309E+02
0000103   2.4363E+02 -2.1182E+02  5.9143E+01
0000104   1.7644E+02 -2.4435E+01  5.2607E+01
0000105   2.6317E+02  7.5312E+00 -5.1101E+01
0000106   3.0036E+02 -2.6810E+00 -1.3085E+02
0000108   1.4123E+01  7.8714E+00  1.7531E+01
0000109   1.9390E+02 -1.4110E+02  3.4235E+01
