============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.3138E+02 -3.6460E+02 -1.4898E+02
0000002   3.0314E+02  1.7361E+01  8.2274E+01
0000003   4.8209E+02 -2.6070E+02  1.3956E+02
0000004   2.1244E+02  3.5254E+01  9.4283E+01
0000005   1.0711E+02 -4.4022E+01  2.9061E+02
0000006   4.0625E+02  1.0412E+00  1.6281E+02
0000007   2.6254E+02 -8.3250E+01 -3.9357E+01
0000008   2.6342E+02  2.7444E+01  9.6059E+01
0000009   1.7516E+02 -9.7242E+01  3.7228E+02
0000010   4.6594E+02  2.0146E+02  1.2591E+02
0000011   2.4842E+02 -3.1777E+02  5.7095E+00
0000012   1.7401E+02  5.9444E+01  1.3102E+02
0000013   4.1398E+02  1.3625E+02 -3.3894E+00
0000014   3.5010E+02 -6.5040E+00 -1.1189E+01
0000015   5.1663E+02 -1.2346E+02 -8.2227E+01
0000016   4.7951E+02  1.0300E+02 -6.6112E+01
0000017   2.9289E+02 -7.9060E+01 -1.1193E+02
0000018   2.1754E+02  1.1990E+02 -2.3468E+02
0000019   3.6525E+02 -1.3629E+01  1.1858E+02
0000020   2.0147E+02 -1.0346E+02  1.1703E+02
0000021   2.4153E+02  1.3608E+02 -1.1480E+02
0000022   1.9941E+02  3.1208E+01 -5.5656E+01
0000023   7.3432E+01 -5.0667E+01 -1.5888E+02
0000024   2.1185E+02  6.5417E+01  2.7242E+02
0000025   2.5704E+02 -3.4318E+02  1.5703E+02
0000026   4.4424E+02  2.1311E+02 -1.0478E+02
0000027   3.6866E+02 -2.1959E+02  1.7815E+02
0000028   2.0237E+02 -2.2432E+02  1.7703E+02
0000029   1.8949E+02  1.3442E+00  2.9480E+02
0000030   1.3459E+02  1.1537E+02 -2.2948E+02
0000031   3.5552E+02  3.7471E+02  1.0679E+02
0000032   9.1852E+00  1.1161E+02  2.9198E+01
0000033   7.2233E+02  1.9387E+01  2.5399E+02
0000034   2.3597E+02  1.1069E+02 -1.7269E+02
0000035   1.8500E+02 -1.4546E+02 -2.5328E+02
0000036   2.7327E+02  6.9221E+01 -6.7763E+00
0000037   2.0083E+02 -8.8922E+01  2.5338E+02
0000038   9.5344E+01 -1.1715E+02  4.3790E+02
0000040   3.5597E+02 -2.8187E+02  2.1032E+02
0000041   1.3062E+02  1.3024E+02  6.3774E+01
0000042   5.6976E+02  5.8152E+00 -1.6653E+02
0000043   5.3932E+02  1.2251E+01  1.6638E+02
0000044   6.9455E+02  8.6057E+01 -2.4812E+02
0000045   2.2762E+02 -6.9466E+01  3.1034E+02
0000046   3.4959E+02 -3.4374E+01 -1.7843E+02
0000047   3.1480E+02 -8.7472E+01 -1.8115E+02
0000048   5.3836E+02 -8.2682E+00 -2.5703E+02
0000049   1.3612E+02 -1.7090E+02 -3.4286E+01
0000050   2.5088E+02 -1.1166E+02  1.4328E+02
0000051   4.7840E+02  1.8929E+02  1.2247E+02
0000052   2.2983E+02 -1.3013E+02 -1.5141E+02
0000053   1.7510E+02  7.3971E+01 -1.8592E+00
0000054   1.6429E+02 -7.4870E+01 -1.3567E+02
0000055   4.6644E+00 -9.0476E+00 -4.2502E+00
0000056   4.3325E+02  1.3275E+02  1.2789E+02
0000057   2.4475E+02 -8.8791E+01  2.4359E+02
0000058   2.7614E+02  5.4779E+01  3.5809E+01
0000059   2.7346E+02 -2.4923E+02  1.8243E+01
0000060   2.3442E+02  2.1567E+02 -1.1071E+02
0000061   2.8650E+02  4.6626E+01 -1.1422E+02
0000062   2.8732E+02 -1.5519E+02 -3.1396E+02
0000063   4.5914E+02  1.5413E+02  7.3566E+00
0000064   1.4384E+02 -8.2854E+01  2.0590E+02
0000065   3.5781E+02 -4.8328E+02 -3.2870E+02
0000066   2.3770E+02 -6.0835E+01 -9.6503E+01
0000067   4.2979E+02  2.1674E+02  2.7052E+02
0000068   4.4122E+02 -2.0747E+02 -1.5798E+02
0000069   2.9646E+02  2.0099E+02  6.6365E+01
0000071   4.9574E+02 -2.7475E+02  7.1782E+01
0000072   3.9919E+02 -3.8838E+01 -1.0325E+02
0000073   3.9371E+02 -1.4201E+02  2.3493E+02
0000074   1.4466E+02  6.3773E+01  9.4944E-01
0000075   2.8305E+02  7.0819E+01 -3.9444E+02
0000076   3.5245E+02  2.5013E+02  8.2840E+01
0000077   4.4039E+02  1.0974E+02  6.7160E+01
0000078   3.0321E+01 -1.2221E+01  1.3419E+02
0000079   4.0690E+02 -3.9663E+01  1.1503E+02
0000080   5.3332E+02 -5.0336E+02 -3.0228E+02
0000081   1.1858E+02 -2.5811E+00 -1.8528E+02
0000082   2.0072E+02 -4.5362E+01  1.7273E+02
0000083   1.2248E+02  2.0008E+01 -8.1568E+01
0000084   3.8691E+01  9.4099E+01 -8.2596E+01
0000086   2.7752E+02 -5.3422E-01 -2.3899E+02
0000087   5.0559E+02  1.3325E+02  3.5695E+01
0000088   1.3916E+02 -8.5629E+01  1.2583E+02
0000089   5.2362E+02  9.6689E+01  3.5186E+02
0000090   2.6377E+02  7.2240E+01 -3.0402E+02
0000091   4.8812E+02  1.2179E+02  1.1602E+02
0000093   3.2805E+02  1.3996E+02 -3.6491E+02
0000094   4.9202E+02  4.2444E+01 -9.1888E+00
0000095   2.5113E+02 -1.2843E+02 -6.7145E+00
0000097   3.3063E+02  2.6935E+02 -2.3477E+02
0000098   3.9634E+02  3.4537E+02  2.2335E+01
0000099   3.9937E+02  1.1299E+02  1.0957E+02
0000100   4.1436E+02  9.4175E+01 -1.3614E+02
0000101   3.7482E+02  1.1417E+02 -5.4867E+01
0000102   1.0350E+02  1.5992E+02  2.3380E+02
0000103   2.8118E+02  1.4153E+02  1.1439E+02
0000104   3.4089E+02  1.3388E+02 -1.2394E+01
0000105   1.6207E+02  3.3858E+01  2.0768E+02
0000106   2.2973E+02  2.0030E+01  1.3834E+02
0000108   1.4307E+01 -2.7085E+01 -6.0953E+01
0000109   4.1536E+02 -1.7827E+01 -1.3829E+02
0000110   3.0652E+02 -1.3182E+02 -2.1072E+02
0000111   2.4461E+02  3.0068E+02  1.4163E+02
0000112   2.6375E+01  1.1399E+02 -1.0004E+02
0000113   1.6948E+02 -1.2505E+02 -1.2526E+02
