============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.5385E+02  7.3604E+01 -6.5085E+01
0000002   2.5161E+02  1.4191E+02  9.2289E+01
0000003   2.0660E+02 -1.7298E+02 -6.0244E+01
0000004   1.6540E+02  2.8537E+02  2.5290E+02
0000005   1.1874E+02 -1.1505E+02 -7.0791E+01
0000006   2.2856E+02  3.5822E+02 -1.8608E+02
0000007   3.4526E+02  8.9701E+01 -1.3964E+02
0000008   2.0910E+02  4.3974E+02  1.9060E+02
0000009   2.0451E+02  1.9388E+02 -1.3249E+02
0000010   1.9971E+02 -4.2878E+01 -2.7047E+01
0000011   1.8473E+02 -3.4967E+01 -2.7172E+02
0000012   4.9855E+02 -3.9340E+00  8.8074E+01
0000013   1.1313E+02 -3.3564E+02  1.0431E+02
0000014   5.3261E+02 -1.5230E+01  3.6105E+02
0000015   1.6176E+02  9.5145E+01  2.3269E+02
0000016   1.8544E+02 -1.9530E+02 -2.3411E+01
0000017   4.6478E+02  1.7945E+02  6.8702E+01
0000018   1.5478E+02  8.4822E+01 -8.1240E+01
0000019   1.9947E+02 -2.2565E+02 -2.7437E+01
0000020   6.7432E+02  9.3024E+01 -3.4212E+00
0000021   2.7080E+02 -1.5669E+02  8.6039E+01
0000022   4.2235E+02  6.3942E+01 -1.6495E+02
0000023   2.5368E+02 -5.9074E+01  1.8028E+02
0000024   4.1958E+02  9.0851E+01  1.3571E+02
0000025   4.0552E+02  1.1865E+02 -5.5367E+00
0000026   1.4640E+02  1.8151E+02 -2.9276E+01
0000027   4.6238E+02 -1.5275E+02  1.3800E+02
0000028   4.8616E+02  2.0838E+02 -1.1314E+02
0000029   2.1811E+02 -1.3875E+02  1.1723E+02
0000030   2.5356E+02  1.9155E+02 -9.6164E+01
0000031   1.7047E+02 -7.6243E+01  1.7445E+02
0000032   4.3908E+02 -1.4903E+02  1.5085E+02
0000034   1.9763E+02 -7.4983E+01  3.7554E+02
0000035   2.9248E+02 -1.0995E+02  1.5298E+02
0000036   1.3888E+02  2.5955E+02 -1.2732E+02
0000038   3.0982E+02 -3.9972E+02  6.8550E+01
0000039   3.0598E+02 -1.9876E+02  2.4358E+02
0000040   3.2829E+02  8.4213E+01 -8.2722E+01
0000041   2.5659E+02 -1.5870E+02 -3.1912E+01
0000042   1.2270E+02 -1.1600E+02  1.9277E+01
0000043   4.0599E+02 -7.6931E+01  1.4912E+02
0000044   2.8924E+02  4.3325E+02 -1.3021E+02
0000045   4.6519E+02  3.6639E+02 -3.1390E+02
0000046   3.8286E+02 -2.2715E+02 -3.6795E+01
0000047   2.7335E+02 -1.1976E+02 -9.1528E+01
0000048   5.4632E+02 -1.7898E+02 -1.4501E+02
0000049   2.0986E+02 -2.6164E+02 -1.3279E+02
0000050   3.2109E+02  9.8986E+01 -1.3935E+02
0000051   3.5497E+02 -1.7407E+02  1.4954E+02
0000052   5.5530E+02 -2.2006E+02 -5.0031E+02
0000054   3.0909E+02 -8.6775E-01  1.4351E+02
0000055   1.6508E+02 -1.6608E+01  3.4959E+02
0000056   6.1007E+02 -2.3802E+02 -1.2112E+02
0000057   2.2889E+02 -2.1341E+02  5.5291E+01
0000059   2.5109E+02  1.4276E+02  1.9390E+02
0000060   2.9695E+02  1.0584E+01 -1.6128E+02
0000061   3.7154E+02  7.7474E+01  2.1951E+02
0000062   1.7250E+02  2.2761E+02 -3.9155E+02
0000063   1.7700E+02 -4.1387E+02  1.7889E+02
0000064   1.3718E+02 -1.1105E+01 -5.6522E+01
0000065   4.3159E+02  1.5152E+02 -4.2350E+01
0000066   3.6603E+02  2.6684E+01  1.3421E+02
0000067   5.6896E+02  2.5200E+01  5.4434E+01
0000068   4.4011E+01 -1.1315E+02 -4.6083E+01
0000069   6.6654E+02 -4.9915E+01 -2.2297E+02
0000070   5.1746E+02 -8.0869E+01  2.2078E+02
0000071   2.8780E+02  1.4425E+02  2.8137E+02
0000072   3.8419E+02 -2.1122E+02 -5.7081E+01
0000073   5.1545E+02  1.6139E+02  1.5685E+02
0000074   2.0587E+02  1.4036E+02  1.1372E+02
0000075   7.0040E+02 -8.1441E+01 -2.5371E+02
0000076   6.2407E+01 -3.2512E+01  1.0031E+02
0000077   1.9631E+02 -2.5864E+02  3.6185E+01
0000078   4.7507E+02  9.3122E+01 -1.1343E+02
0000079   7.9336E+01 -4.0349E+01  3.4362E+02
0000080   1.2642E+02 -1.0910E+01  4.6830E+01
0000081   2.8349E+02  3.9121E+01 -2.9018E+02
0000082   2.8818E+02  1.3332E+01 -5.4321E+01
0000083   1.7296E+02 -5.1226E+01  4.8348E+01
0000084   6.7853E+01  1.2811E+01 -9.9883E+01
0000085   2.6285E+02 -7.1638E+01  8.2939E+01
0000086   2.9775E+02  5.6147E+01 -1.5637E+02
0000087   4.2330E+02  1.4227E+02 -2.4664E+02
0000088   1.4531E+02  2.8063E+01 -4.4562E+01
0000089   1.5546E+02  3.4191E+01  3.4842E+01
0000090   2.4606E+02 -1.5568E+02  5.2229E+01
0000091   2.2381E+02  4.7814E+01 -3.3286E+02
0000092   4.1009E+02  7.3375E+01  2.2034E+01
0000093   3.2490E+02 -1.3313E+02 -1.2173E+02
0000094   1.8880E+02 -2.1934E+02  9.5691E+00
0000095   3.0791E+02  1.5780E+02  1.7904E+02
0000096   6.3038E+02  1.7954E+02 -9.2157E-01
0000097   8.6259E+00 -2.8069E+02  2.3519E+02
0000098   1.4818E+02  2.9354E+01 -6.6834E+01
0000099   1.3978E+02 -1.4545E+01 -2.0172E+02
0000100   5.3809E+02 -1.5629E+02 -4.8014E+01
0000101   5.4590E+02  3.5917E+02 -1.5857E+02
0000102   3.3722E+02  2.0847E+02 -1.9322E+01
0000103   3.8747E+02  8.1099E+00  2.1284E+02
0000104   4.3644E+02  6.7442E+01 -1.1874E+02
0000105   1.8863E+02 -1.7470E+02 -1.3057E+02
0000106   5.2328E+02 -1.7252E+02  1.4393E+02
0000107   3.6355E+02 -2.3522E+02  3.4265E+01
0000108   1.8982E+02 -1.5832E+02  7.5223E+01
0000109   2.5527E+02 -6.9098E+01  2.6057E+01
0000110   3.6079E+02  1.4519E+02 -3.0098E+01
