============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.1363E+02  2.1330E+02 -1.0347E+02
0000002   2.1921E+02  2.2487E+02  1.6814E+02
0000003   1.3867E+02  6.4722E+01 -7.3844E+00
0000004   2.0049E+02  7.8778E+01  2.7201E+01
0000005   1.3691E+02 -7.6716E+01  2.3864E+02
0000006   3.6104E+02  6.0050E+01  8.3870E+01
0000007   3.3552E+02  2.0660E+02 -4.9261E+02
0000008   4.7336E+02  7.6594E+00  2.2088E+02
0000009   6.4178E+01  1.0729E+02 -9.5833E+01
0000010   1.4360E+02 -3.9185E+01 -4.9078E+01
0000012   1.1565E+02 -3.4337E+02 -8.8202E+01
0000013   2.2615E+02 -5.2501E+01  1.6892E+01
0000014   3.9218E+02 -8.2510E+01  2.2549E+02
0000015   3.6230E+02  6.5777E+01 -2.5081E+02
0000016   2.8269E+02  2.2675E+01  2.4377E+02
0000017   3.7846E+02  2.7660E+02  1.6390E+02
0000018   4.8041E+02  1.6487E+02  3.0412E+01
0000019   3.4592E+02  9.6466E+01  7.1378E+01
0000020   3.3013E+02 -1.1473E+01  1.2583E+02
0000022   8.2956E+01 -2.0378E+02 -8.9098E+01
0000023   1.7898E+02 -2.8970E+01  2.3783E+02
0000024   1.5021E+02 -1.6988E+02  2.0762E+02
0000026   1.6800E+02 -4.8637E+01  1.7154E+02
0000027   1.0352E+02  1.3794E+02 -6.7088E+01
0000028   1.9747E+02 -1.8253E+02  2.9963E+02
0000029   3.3204E+01  3.0825E+01 -6.6416E+01
0000030   7.7344E+01  8.9915E+00  7.9701E+01
0000031   3.7595E+02 -3.8419E+02 -6.0808E+01
0000032   4.2188E+02  1.5235E+02 -4.8138E+02
0000033   2.0043E+02 -8.8426E+01 -3.8720E+01
0000034   3.4570E+02  7.6867E+01  2.5916E+02
0000035   2.8320E+02  2.5262E+01 -3.3575E+02
0000036   3.6424E+02  2.8092E+02 -1.2148E+02
0000037   4.1444E+02 -1.3806E+02  2.2972E+01
0000038   4.7996E+02  4.7984E+01 -1.6692E+00
0000039   1.9108E+02  2.4765E+02  8.2416E-01
0000040   3.2618E+02  6.7086E+01  7.2719E+01
0000041   4.2530E+02 -8.4817E+01 -9.0334E+00
0000042   3.0977E+02  1.2753E+02  3.5356E+02
0000043   4.1849E+02  2.3437E+02  1.5168E+00
0000044   4.0742E+02 -9.0749E+00 -3.1115E+02
0000045   2.8060E+02 -3.0118E+02  2.6920E+01
0000047   4.4726E+02  4.1207E+01 -9.4646E+01
0000048   1.3685E+02 -1.3772E+02  2.6626E+02
0000049   2.0848E+02  4.4696E+02 -7.0903E+01
0000050   2.5527E+02  2.0356E+02 -1.6464E+02
0000051   5.4330E+02 -2.0802E+02 -3.1731E+01
0000052   1.2379E+02 -1.8869E+02 -5.3815E+01
0000053   3.4843E+02  6.4704E+01 -4.2618E+02
0000054   3.0240E+02 -3.5606E+01 -2.0723E+01
0000055   5.3875E+02 -8.9814E+01 -8.2055E+01
0000056   1.1580E+02 -3.7017E+01 -2.1219E+02
0000057   2.5425E+02 -8.6836E+01 -1.8390E+02
0000058   1.7098E+02  3.5142E+01  3.2797E+01
0000059   3.7105E+01  1.9814E+02  6.1404E+01
0000060   5.2068E+02  2.7337E+02 -1.5388E+02
0000061   2.2149E+02  4.3434E+01  4.3924E+01
0000062   3.2070E+02  9.9571E+01  1.4314E+02
0000063   4.0344E+02  1.1631E+02 -5.3804E+01
0000064   4.9550E+02 -1.4464E+02  1.6650E+02
0000065   3.1620E+02 -1.8637E+02 -1.3749E+02
0000066   3.4655E+02  1.4382E+01  6.4939E+01
0000067   2.9136E+02 -3.3769E+01  3.4082E+01
0000068   4.9884E+02  2.5148E+02 -7.2582E+01
0000069   6.6354E+01  1.4568E+02 -3.5107E+02
0000070   2.7956E+02  1.4748E+02  3.1588E+01
0000071   6.8190E+01 -1.3118E+02 -1.5381E+02
0000072   2.7626E+02 -1.2029E+02  1.2651E+02
0000073   4.6285E+02 -2.1869E+02  1.7547E+02
0000074   1.2681E+02 -5.3938E+01 -1.1036E+02
0000075   2.2960E+02 -2.3399E+02 -6.0826E+01
0000076   3.0153E+02 -1.5686E+02 -2.4575E+02
0000077   3.0872E+02 -6.6964E+01  6.2656E+01
0000078   2.9434E+02  2.4654E+02  2.9783E+00
0000079   2.5574E+02  2.2457E+01 -2.2878E+01
0000080   1.9312E+02  7.3723E+01 -1.3516E+02
0000081   2.6826E+02 -1.4792E+02  3.8656E+02
0000082   9.4593E+01  2.2057E+01  9.4120E+01
0000083   2.4806E+02  3.3804E-02 -1.4100E+02
0000085   2.9653E+02  1.7384E+02 -1.4717E+02
0000086   4.7164E+02  1.9138E+02  2.9522E+02
0000087   3.7789E+02 -4.4844E+01 -2.4307E+02
0000088   2.6046E+02 -2.7259E+01 -2.4277E+02
0000089   4.3363E+02  1.3969E+02  1.2760E+02
0000090   2.9610E+02  1.5661E+02 -1.2351E+02
0000091   2.8008E+02 -5.9695E+01 -4.1916E+01
0000092   3.2250E+02 -3.1472E+01  1.3609E+02
0000093   2.4497E+02  6.9699E+01 -1.5013E+02
0000094   3.0719E+02  1.5851E+02  3.6309E+02
0000095   1.7363E+02  7.3099E+01  1.2789E+01
0000096   1.5843E+02  4.7520E+01 -1.7002E+02
0000097   2.4336E+02 -1.2578E+02  3.9040E+02
0000098   2.3719E+02 -1.2315E+01  5.5989E+01
0000099   2.0327E+01 -5.5063E+01 -9.4691E+01
0000100   2.7179E+02  1.0797E+02 -2.9329E+01
0000101   3.1125E+02  3.1628E+01 -4.6228E+01
0000102   2.6109E+02  5.5148E+01 -2.2091E+02
0000103   2.6506E+02  1.2861E+02  2.3942E+02
0000104   2.1560E+02 -1.6708E+02 -1.9948E+02
0000105   1.3306E+02 -2.8178E+01  2.1649E+01
0000106   4.7467E+02 -1.5518E+02 -1.2509E+02
0000107   1.1191E+02  1.1125E+02  1.5328E+01
0000108   5.1631E+02  3.2872E+02  1.9267E+02
0000110   1.9970E+02 -7.9582E+01  1.3737E+02
0000111   3.4395E+02  2.0450E+02 -1.4013E+02
0000112   5.8935E+02 -1.8350E+02 -5.7322E+01
0000113   3.0935E+02 -1.9265E+01 -3.4913E+01
