============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.2609E+02  7.4274E+01 -1.1002E+02
0000002   6.8650E+00  6.3603E+00  9.0994E+01
0000003   1.0471E+02  1.0627E+01 -4.3462E+01
0000005   1.8113E+02  2.8943E+02  3.2704E+01
0000006   2.3821E+02 -1.7728E+02 -1.6116E+02
0000007   4.3687E+02 -8.8522E+01 -7.3230E+01
0000008   1.6864E+02  4.1408E+02  1.7478E+02
0000009   2.8679E+02  4.8243E+01  1.3273E+02
0000011   1.6095E+02 -4.8631E+01 -6.4239E+01
0000012   7.9278E+00  1.3500E+02  6.0366E+01
0000013   2.1625E+02  6.9837E+01  2.6205E+02
0000014   3.2963E+01 -2.8713E+02  3.1894E+01
0000015   3.6957E+02 -2.6643E+02  3.2648E+02
0000016   2.9059E+02  2.3319E+02  2.5462E+02
0000017   3.6834E+02 -3.6358E+02  4.0749E+02
0000018   3.0793E+02 -1.7475E+02 -2.0198E+02
0000019   2.5641E+02 -1.6481E+02  2.6295E+01
0000020   5.0012E+02  1.7940E+01 -1.0018E+01
0000021   1.9010E+02 -1.0030E+02 -7.5985E+01
0000022   1.4890E+02  8.4761E+01 -2.0592E+01
0000023   4.8122E+01 -2.7374E+00 -7.9203E+01
0000024   2.8400E+02 -2.9806E+02  6.5154E+01
0000025   2.7237E+02 -1.7240E+02  7.1202E+01
0000026   4.4323E+02 -1.5849E+01  6.0002E+01
0000027   2.9972E+02  6.1579E+01  8.5105E+01
0000028   4.8108E+02 -5.2540E+01  2.9384E+02
0000029   5.5623E+02  3.8255E+01  4.9283E+00
0000030   2.5991E+02  1.5340E+02 -1.0756E+02
0000031   1.2129E+02  2.6968E+02 -6.4202E+01
0000032   3.1397E+02 -1.8575E+01  3.2792E+02
0000033   3.1540E+02  1.7813E+02 -8.3961E+01
0000034   5.3784E+02  1.8703E+02 -1.2897E+01
0000035   2.9717E+02  4.3231E+01  3.8459E+01
0000036   2.5723E+02 -2.3677E+02 -2.3940E+02
0000037   5.2277E+02  2.0152E+02 -4.4276E+02
0000038   3.0666E+02  5.4149E+01  3.8519E+01
0000039   5.9243E+01  1.0160E+02  6.4045E+01
0000040   2.5681E+02 -6.9202E+01 -2.6046E+02
0000041   4.5112E+02  2.2385E+02 -4.9195E-01
0000042   4.2941E+02  2.7263E+01 -1.4091E+02
0000043   7.4856E+01 -7.0605E+01 -4.9141E+00
0000044   2.5055E+02 -2.7515E+02 -3.1396E+01
0000045   2.9446E+02 -1.6113E+02  7.5122E+01
0000047   6.0900E+02 -9.8320E+01  4.5536E+01
0000048   4.0287E+02  3.2111E+02 -4.0178E+02
0000050   3.5333E+02  5.5713E+02 -6.7550E+01
0000051   3.5929E+02 -5.5569E+01  1.6177E+02
0000052   1.3587E+02  1.1404E+02  1.0475E+02
0000053   2.6595E+02 -1.8385E+02 -3.1299E+02
0000054   4.0121E+02 -8.9907E-01  1.3504E+02
0000055   2.9312E+02 -1.2058E+01  1.1055E+02
0000056   8.3912E+01 -1.6502E+02 -4.1507E+01
0000057   3.5925E+02  3.2845E+01 -1.8832E+02
0000058   3.6449E+02  1.2895E+02 -8.5536E+01
0000059   4.5921E+02 -2.0813E+02  9.1543E+01
0000060   4.1017E+02  1.7806E+00  2.0001E+02
0000062   1.9652E+02 -2.1106E+02  1.3218E+02
0000063   2.6078E+02  1.2760E+02  1.2037E+02
0000064   3.5102E+02 -5.0187E+01 -4.1798E+00
0000065   5.1122E+02 -1.2280E+02 -5.9831E+01
0000066   2.0424E+02 -1.4188E+01 -4.2193E+01
0000067   5.3972E+02  2.3845E+02 -1.4528E+02
0000068   3.8099E+02 -4.2342E+02  3.5270E+02
0000069   4.8068E+02  8.6430E+01  9.8714E+01
0000070   6.8500E+02  2.4950E+01 -9.9225E+01
0000071   3.3459E+02  7.7229E+01 -4.4330E+02
0000072   3.8096E+02  1.9753E+02  4.1194E+02
0000073   6.3803E+02  2.7783E+02  8.9033E+01
0000074   4.2526E+02 -8.0035E+01 -1.9371E+00
0000075   3.4028E+02  3.3624E+02  2.4029E+01
0000076   3.9457E+02  2.2386E+02  1.9765E+02
0000077   3.1754E+01  2.1579E+02  1.5178E+02
0000078   4.4543E+02 -3.1976E+02  1.5859E+02
0000079   1.1420E+02 -2.9980E+01  4.4309E+01
0000080   3.8728E+02 -2.7738E+02  2.5984E+02
0000081   3.1789E+02 -1.4984E+01 -1.4453E+02
0000082   4.2532E+02 -4.1789E+00  3.0340E+01
0000083   4.7040E+02 -2.3988E+02  1.1893E+02
0000084   4.4511E+02  9.0142E+00  2.2554E+02
0000085   4.9991E+02  1.9269E+02 -3.5815E+02
0000086   2.7678E+02 -6.7367E+01  3.2081E+02
0000087   3.2221E+02  1.2547E+02  1.7516E+02
0000088   2.9142E+02 -1.8107E+02 -1.2789E+02
0000089   2.1670E+02  2.1550E+01 -6.4471E+01
0000090   2.8702E+02 -1.3284E+02 -1.3045E+02
0000091   4.5174E+02  7.2082E+01  2.2340E+02
0000092   1.2612E+01  1.4042E+02  1.6504E+02
0000093   2.6265E+02 -1.1671E+01  2.1000E+02
0000094   2.2997E+01 -2.6302E+01 -2.5872E+02
0000095   2.5169E+02  9.4328E+01 -1.4676E+01
0000096   4.0441E+02 -1.4239E+02  4.2087E+02
0000097   2.7098E+02 -2.7675E+01 -2.3875E+02
0000098   4.4488E+02  3.6639E+02  1.4265E+02
0000099   4.9458E+02  2.5648E+01  8.3872E+01
0000100   5.7939E+02  2.4259E+02 -1.3494E+02
0000101   2.7293E+02 -3.1791E+02 -5.0148E+01
0000102   1.2947E+02 -2.8598E+02  2.8718E+02
0000103   3.1077E+02 -3.8405E+01  2.5455E+02
0000104   6.0908E+02 -3.0900E+02 -3.3717E+02
0000105   2.7719E+02 -1.3705E+02  2.4537E+00
0000106   4.2713E+02 -6.4615E+01  5.7021E+01
0000107   5.5250E+02  3.7375E+02  2.8195E+02
0000109   2.1060E+02  3.7462E+01  2.5667E+02
0000110   2.2265E+02 -1.0423E+02  2.4611E+02
0000111   1.8199E+02 -2.4136E+02 -1.7830E+01
0000112   3.3438E+02 -6.0202E+01  1.6306E+02
0000113   2.4455E+02 -2.0551E+02 -1.6453E+02
