============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   6.5844E+02 -6.8706E+01 -1.4255E+02
0000002   2.0682E+02 -7.4983E+01  2.0521E+02
0000003   8.3338E+01  1.4652E+02 -3.6830E+02
0000004   3.6784E+02 -3.4845E+02 -7.0103E+00
0000005   2.4407E+02 -3.9951E+02  3.2482E+02
0000006   5.8547E+02  2.4272E+02 -1.5844E+02
0000007   1.2539E+02  4.7399E+02 -1.1593E+02
0000008   8.9594E+01 -1.2699E+02 -2.2660E+02
0000009   4.7658E+02 -1.5987E+02 -4.2107E+01
0000010   4.5621E+02 -1.5613E+02 -1.5967E+02
0000011   2.9860E+02 -1.1642E+02 -1.3872E+02
0000012   2.8196E+02  2.9998E+02  1.1941E+02
0000013   2.7052E+02 -2.1695E+02 -2.5909E+02
0000014   3.4367E+02  4.6426E+00 -2.2582E+02
0000015   3.3340E+02 -1.0640E+02 -2.0109E+02
0000017   1.4212E+02 -6.3971E+01  2.1408E+02
0000018   1.2993E+02  8.3028E-01 -3.6932E+01
0000019   1.0032E+02  7.6915E+01 -1.7068E+02
0000020   3.6965E+02 -1.0970E+02 -1.7229E+02
0000021   9.2664E+01 -1.1142E+01  7.4550E+01
0000023   2.8033E+02 -3.1113E+01 -2.8516E+02
0000025   2.0274E+02  3.3501E+02 -1.3102E+02
0000026   3.5235E+02 -2.7357E+02  2.5402E+02
0000027   3.4906E+02  3.1137E+02 -3.6789E+01
0000028   3.6844E+02 -7.8923E+01 -1.1219E+02
0000029   3.5310E+02  1.3280E+02 -2.4666E+02
0000030   3.7781E+02  2.0515E+02 -3.0396E+02
0000032   1.2823E+02 -1.5009E+02  6.7881E+01
0000033   2.4524E+02  5.6361E+01  1.9626E+02
0000034   5.2505E+01 -3.3471E+00  2.0557E+02
0000035   1.6929E+02  8.2097E+01  1.0939E+02
0000036   1.8680E+02 -9.1811E+01 -4.5734E+01
0000037   2.7245E+02 -1.2810E+02  3.3969E+01
0000038   1.9947E+02 -6.5815E+01  2.3967E+02
0000039   5.3809E+02  7.8465E+01  1.5845E+02
0000040   6.1368E+02 -9.4914E+01 -2.8055E+01
0000041   2.6914E+02  5.2630E+02  1.1262E+02
0000042   2.1016E+02 -5.6634E+00 -6.7951E+01
0000043   6.0179E+01  6.2751E+01 -2.7054E+02
0000044   5.6682E+02 -3.2218E+02 -3.8812E+01
0000045   4.0683E+02 -2.0102E+02  1.9198E+02
0000046   1.9637E+02 -2.0503E+02 -2.3088E+02
0000047   4.2669E+02 -4.9033E+01 -6.2829E+00
0000048   6.2419E+02 -2.5193E+02 -2.9711E+02
0000049   3.8535E+02 -1.2550E+02 -1.7541E+02
0000050   2.4458E+02  8.9621E+01 -2.2633E+02
0000051   1.0385E+02  1.0406E+02  2.5969E+01
0000052   3.4699E+02 -5.3738E+01  1.9008E+02
0000053   3.4970E+02 -2.9747E+02  2.0308E+01
0000054   6.0093E+02 -2.9667E+02 -1.7825E+01
0000055   4.2421E+02  7.1541E+01 -1.2694E+02
0000056   2.8826E+02  1.8453E+02 -2.3294E+01
0000057   2.4724E+02  7.7375E+01  2.6387E+02
0000058   4.8153E+02 -3.7032E+01  4.4679E+01
0000059   2.8423E+02 -1.8513E+02  8.1873E+01
0000060   3.4941E+02 -8.4628E+01 -1.7657E+02
0000061   9.2413E+01  1.4377E+02 -1.5383E+01
0000062   3.3898E+02  4.2371E+01 -6.1480E+01
0000063   3.9131E+02  8.5932E+01 -1.7299E+02
0000064   2.1296E+02  2.2320E+02  1.3865E+02
0000065   2.4970E+02  6.0392E+00 -1.6533E+02
0000066   2.6865E+02  3.1165E+02  2.4494E+02
0000067   5.1798E+01  2.4152E+02 -1.4206E+02
0000068   3.8621E+02 -1.1514E+02  2.0500E+02
0000069   1.9745E+02 -4.9515E+01 -6.7777E+01
0000070   7.1817E+02  9.3218E+01 -2.0535E+02
0000071   5.9454E+02 -3.5059E+01 -1.2712E+02
0000072   1.4401E+02  4.8898E+01 -2.2840E+01
0000073   1.8110E+02  1.7315E+02  2.1682E+02
0000074   3.7865E+02 -2.5404E+01  6.5764E+01
0000075   1.3432E+02 -3.4358E+01  1.5072E+02
0000076   4.2085E+02 -2.0369E+02  2.1957E+02
0000077   6.1503E+02  5.7357E+01 -2.1799E+01
0000078   7.9037E+01 -1.7561E+02  2.3133E+02
0000079   3.4672E+02 -6.2102E+01  1.4902E+02
0000080   4.3559E+02 -1.3457E+02 -5.1236E+01
0000081   1.1122E+02 -1.4752E+01  2.9401E+01
0000082   3.0163E+02 -3.9997E+02  4.0685E+02
0000083   1.4329E+02 -7.2120E+01 -4.8292E+01
0000084   4.0849E+02  3.4096E+01 -2.6232E+02
0000086   3.0701E+02  2.6170E+02 -2.7660E+02
0000087   1.3991E+02 -8.8128E+01 -1.9170E+02
0000088   3.1413E+02  3.1037E+02 -9.6594E+01
0000089   2.7541E+02  2.1999E+02  1.9267E+02
0000090   3.2745E+02 -3.5583E+02  3.5635E+01
0000091   1.5553E+02  2.9061E+01  2.2395E+02
0000092   3.3119E+02  1.3668E+02  2.2287E+02
0000093   1.9679E+02  8.3346E+01 -5.9443E+01
0000094   3.5945E+02 -1.4905E+00  3.1891E+02
0000095   2.0750E+02  2.4540E+02 -7.9689E+01
0000096   2.8825E+02 -1.3833E+01 -1.4990E+02
0000098   1.4098E+02  2.1736E+02 -1.8746E+02
0000099   3.4375E+02  2.4639E+02  1.0022E+02
0000101   1.6700E+02  2.1696E+02  1.5927E+02
0000103   4.8420E+02 -3.3545E+01  3.2386E+01
0000104   2.8294E+02 -8.1512E+01 -1.9543E+02
0000105   4.7425E+02  1.2329E+02 -8.2534E+01
0000106   3.3208E+02 -4.2452E+01 -2.9623E+01
0000107   4.5506E+02 -5.7438E+01  2.4450E+02
0000108   3.5735E+02  2.9334E+02 -7.2955E+00
0000109   3.9263E+02  6.6793E+01 -2.6213E+02
0000110   2.0651E+01  4.4689E+01 -1.2227E+02
0000111   1.0417E+02  4.7792E+01  1.7661E+02
0000112   5.1928E+02  7.9127E+01 -3.1584E+01
0000114   2.6296E+02 -1.5499E+01  1.2659E+02
0000115   2.0852E+02  6.1852E+01 -4.7665E+01
