============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.5385E+02 -2.8308E+02 -1.2683E+02
0000002   4.2292E+02 -1.4191E+02 -8.8489E+01
0000003   5.2235E+02  3.4936E+01  1.8245E+02
0000004   3.0007E+02 -1.7217E+02  2.7032E+02
0000006   3.6555E+02  2.1909E+02  3.0135E+02
0000007   2.2062E+02  3.9310E+00 -1.8413E+02
0000008   5.2535E+02  2.8143E+02  2.4380E+02
0000009   3.8278E+02  1.0264E+02 -4.2959E+02
0000010   2.7326E+02  1.6804E+02  2.2485E+02
0000011   4.0879E+02  1.3121E+01  4.0045E+01
0000012   2.1185E+02 -1.3079E+01  2.0620E+00
0000013   3.6140E+02  4.9083E+01  1.7082E+02
0000015   3.7808E+02  8.3781E+01 -7.8334E+01
0000016   9.9355E+01 -6.5909E+01 -4.1461E+01
0000017   4.1140E+02 -2.8781E+02  1.6019E+02
0000018   1.8306E+02 -1.0174E+02 -7.2727E+00
0000019   4.2111E+01  1.8825E+02 -9.5897E+00
0000020   5.1191E+02  1.2688E+02 -2.5998E+02
0000021   2.4685E+02 -5.5199E+01  6.8676E+01
0000022   1.2955E+02  1.0044E+02 -1.7617E+02
0000023   3.1081E+02 -1.6726E+02  7.9824E+01
0000024   1.0118E+02 -2.9182E+01 -6.6505E+01
0000025   4.1616E+02 -1.0970E+01  1.4244E+01
0000026   3.3964E+02 -4.0703E+01  5.8227E+01
0000027   8.2643E+00 -1.8482E+01  2.2606E+02
0000028   1.5185E+02  4.8827E-01 -5.3476E+01
0000029   2.3310E+02  2.2851E+02  5.5380E+01
0000030   4.6048E+02 -2.4348E+02 -2.2676E+01
0000031   2.4609E+02 -8.8755E+01 -1.8172E+02
0000032   5.8312E+02 -3.6223E+02  7.8748E+01
0000033   2.6551E+02  2.5285E+01 -1.0615E+02
0000034   3.2423E+02  4.5463E+01 -3.3547E+01
0000035   3.1754E+02 -9.0288E+01  9.1288E+01
0000036   1.4398E+02  2.5817E+02  6.3047E+00
0000038   1.9377E+02 -9.5379E+01 -2.1787E+02
0000039   4.4182E+02  3.1924E+02  1.6588E+02
0000040   2.0380E+02  4.0255E+01 -2.3944E+02
0000041   2.8609E+02 -1.2313E+02  1.7181E+02
0000042   1.5680E+01  2.3658E+02 -1.8338E+02
0000043   5.6715E+02  3.9929E+01  6.0561E+01
0000044   2.5527E+02  1.4440E+01 -3.8607E+01
0000045   1.9294E+02  9.8140E+00 -1.4579E+02
0000046   5.5315E+02  3.0065E+02  2.2330E+02
0000047   4.5122E+02 -1.3409E+02  1.6814E+02
0000048   5.0333E+02  2.3637E+02  8.1842E+01
0000049   4.5305E+02  5.3887E+01  7.9594E+01
0000050   1.5588E+02  9.6396E+01  1.2657E+02
0000051   5.6741E+02  2.9353E+02  1.2712E+02
0000053   6.9236E+01 -2.7730E+02  2.6614E+01
0000054   2.6480E+02  3.2569E+02 -3.2019E+01
0000055   6.5112E+02  2.7496E+02  1.7682E+02
0000056   1.9195E+02 -1.4770E+02 -1.0677E+02
0000057   2.7060E+02  4.3309E+01  8.3440E+01
0000058   2.9818E+02  1.0765E+02 -1.8166E+02
0000059   3.6530E+02 -1.2001E+02  1.7432E+02
0000060   5.9628E+01 -1.9371E+01  1.3349E-01
0000061   1.8151E+02 -5.1782E+01  5.2372E+01
0000062   9.9784E+01 -1.0123E+02 -2.2880E+02
0000063   3.4862E+02 -4.4779E+01  4.6405E+01
0000064   3.0742E+02  2.7534E+02  9.5651E+01
0000065   4.0404E+02 -6.5140E+01 -4.1167E+02
0000066   3.5498E+01  1.0423E+02 -7.3519E+01
0000067   1.5819E+02  6.3886E+01  1.5042E+02
0000068   3.8861E+02  8.8818E+01 -8.4106E+01
0000069   1.6486E+02  1.8082E+02  2.0211E+02
0000070   3.3499E+02  9.2937E+01  3.1533E+01
0000071   3.0766E+02 -1.5122E+02 -5.0905E+01
0000072   4.3421E+02 -2.4672E+02  3.5992E+01
0000073   5.6560E+01  9.9064E+01 -2.0281E+02
0000074   1.0820E+02  1.3675E+01  9.1104E+01
0000075   1.0606E+02 -8.7382E+00  1.0691E+02
0000076   3.4481E+02  2.6117E+02 -4.0189E+02
0000077   3.6424E+02 -4.3731E+01  7.4430E+01
0000078   1.7341E+02  2.3912E+00  5.7857E+01
0000079   3.1784E+02  1.8704E+02  1.7634E+01
0000080   1.3402E+02 -9.1018E+01  2.0127E+02
0000081   3.7462E+02  1.5724E+02 -9.7952E+01
0000082   4.4828E+02 -9.5726E+01  7.7479E+01
0000083   2.3406E+02 -1.3434E+02  2.9599E+01
0000084   2.9635E+02 -7.2364E+01 -1.5537E+02
0000085   3.2476E+02  3.3574E+01  1.7996E+02
0000086   2.3503E+02  1.6552E+02  2.1492E+01
0000087   3.7679E+02 -3.7287E+02 -7.1825E+01
0000088   3.3021E+02  1.8995E+01  5.8518E+00
0000089   1.9892E+02  2.2174E+01 -9.5726E+01
0000090   6.2798E+02 -1.4912E+02  1.2184E+02
0000091   2.4348E+02  1.9063E+01 -1.1175E+02
0000092   1.3205E+02  8.8916E+01  2.4187E+02
0000093   2.5153E+02  1.9718E+02  1.2035E+02
0000094   9.8091E+01  5.3333E-01  2.9789E+02
0000095   3.2984E+02  1.7681E+02 -6.2831E+01
0000096   4.7260E+02  4.8681E+01  1.8588E+02
0000097   3.0807E+02  1.5173E+02 -5.1986E+02
0000098   2.9905E+02  1.2942E+01  4.1224E+01
0000099   2.3038E+02  2.0221E+02 -1.5809E+02
0000100   6.3946E+02 -8.7888E+00  7.4434E+00
0000101   1.7997E+02 -8.4841E+01  5.3057E+02
0000102   4.2353E+02 -2.8296E+02 -2.2286E+01
0000103   2.3428E+02 -2.1170E+01  6.8559E+01
0000104   2.6382E+02  1.6026E+01  1.4980E+02
0000105   4.6481E+02 -8.0234E+00 -1.1132E+02
0000106   1.9830E+02 -3.5964E+02 -6.6878E+01
0000107   3.0463E+02 -1.9081E+02  1.8659E+02
0000109   2.7833E+02 -3.7188E+02 -2.8437E+02
0000110   2.8796E+02 -1.2347E+02 -4.6958E+02
0000111   4.9552E+02  4.5060E+01 -1.1292E+02
0000112   1.7226E+02  3.2993E+01 -4.7924E+01
