============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.0824E+02  1.4386E+02 -1.3131E+02
0000002   6.3836E+02  6.8724E+01 -4.8977E+01
0000003   4.4088E+02  3.4619E+02 -1.4760E+02
0000004   1.3212E+02 -1.0242E+01 -7.5974E+01
0000005   1.7363E+02 -1.9133E+01 -3.3562E+01
0000006   2.4211E+02 -4.8229E+01  1.5462E+02
0000007   1.9003E+02  8.3635E+01  1.3878E+02
0000009   3.6556E+02  1.5124E+02 -1.5244E+02
0000010   1.7890E+02 -1.9901E+02  7.6014E+01
0000011   4.7166E+02  1.2249E+02 -2.4016E+02
0000012   1.4806E+02  6.6402E+01 -1.5630E+02
0000013   1.6663E+02  2.6693E+02 -3.7382E+02
0000014   1.4876E+02  4.1199E+01 -9.6692E+01
0000015   3.7375E+02  1.5954E+01 -3.4380E+02
0000016   5.2166E+02 -5.7015E+01  4.4331E+01
0000017   3.5759E+02  3.5017E+02 -1.3169E+01
0000018   2.5228E+02  1.2453E+02 -4.9153E+01
0000019   2.7679E+02  2.3442E+02 -8.6093E+01
0000020   2.0946E+02  1.4077E+02  3.6712E+02
0000021   2.2764E+02 -1.8231E+02  1.6701E+01
0000022   2.6710E+01 -1.8149E+02 -2.5955E+02
0000023   3.3782E+02 -1.1931E+02 -7.3522E+01
0000024   3.8081E+02 -1.2197E+02  1.3602E+02
0000025   3.3881E+02  2.1902E+02  6.2997E+01
0000026   1.3917E+02  5.0612E+01  2.5941E+02
0000027   5.3844E+02  1.1276E+02  2.6089E+02
0000028   2.1225E+02  1.9393E+02 -8.2098E+01
0000029   3.5699E+02 -4.7442E+00  8.3121E+01
0000030   2.1684E+02  1.2944E+02 -1.0131E+02
0000031   1.7134E+02 -4.3294E+01 -1.3718E+02
0000032   3.2563E+02 -1.5268E+02 -2.7046E+02
0000033   1.2631E+02 -1.8411E+02  1.3689E+02
0000034   3.5106E+02  2.1869E+02  2.4683E+02
0000035   1.4440E+02  3.1074E+02 -7.0783E+01
0000036   1.7262E+02 -1.6633E+01  4.7372E+01
0000037   5.5561E+02  6.7728E+01 -1.3548E+02
0000038   2.5067E+02 -1.3321E+01  1.6401E+02
0000039   4.9413E+02 -1.9089E+02  3.9843E+01
0000040   4.2613E+02 -1.4076E+02 -3.8029E+01
0000041   8.2249E+01  2.2173E+02  1.0288E+02
0000042   4.9246E+02 -1.7213E+01  2.1039E+02
0000043   2.8277E+02  6.4365E+01  2.3427E+02
0000044   2.5621E+02 -3.4919E+02 -4.3356E+02
0000045   5.0733E+02 -8.6505E+01 -1.4374E+02
0000046   5.5533E+02  1.9141E+02  2.8187E+01
0000047   4.9111E+02 -1.2315E+02 -1.7516E+02
0000048   1.8522E+02 -2.2223E+02 -2.2276E+02
0000049   3.5498E+02 -8.7700E+01  1.4692E+02
0000050   3.5778E+02 -1.5372E+00  2.5994E+02
0000051   4.6279E+02  8.9259E+01 -6.0498E+00
0000052   4.0838E+02 -1.2198E+02 -1.7728E+02
0000053   2.9011E+02  4.3398E+02 -1.0509E+02
0000054   3.0064E+02 -1.4562E+02 -2.3380E+02
0000055   3.5542E+02  1.5365E+02  3.1493E+02
0000056   1.4197E+02 -1.7845E+02  2.5901E+02
0000057   4.6462E+02  1.7554E+02 -2.5552E+01
0000058   1.6176E+02  2.0209E+02  8.6218E+01
0000059   4.7719E+02 -5.5124E+01  6.7165E+01
0000060   6.0843E+02  9.9758E+00 -1.9043E+02
0000061   2.7999E+02  5.6273E+01 -2.5521E+02
0000062   5.9367E+02 -2.4844E+01 -1.2914E+02
0000063   2.9768E+02  2.9122E+02  3.7412E+01
0000064   2.7667E+02  2.1299E+01 -1.3427E+02
0000065   1.9389E+02  9.3221E+01  1.7042E+02
0000066   1.9691E+02  2.2172E+02 -9.5756E+01
0000067   3.5760E+02 -1.7784E+02 -2.3100E+02
0000068   7.6247E+01 -2.3295E+00 -6.6230E+01
0000069   1.6528E+02  1.3678E+02  3.3321E+02
0000070   2.3453E+02  1.8021E+02 -1.4823E+02
0000071   7.3880E+01  1.3595E+02  1.6170E+02
0000072   3.3992E+02  1.8096E+02  1.7093E+01
0000073   4.1253E+02  3.7200E+02  5.6226E+01
0000074   5.0711E+02  2.5810E+02  1.2698E+02
0000075   2.4797E+02 -3.2191E+02  1.6292E+02
0000076   3.7476E+02 -2.5242E+02 -6.8123E+01
0000077   3.4431E+02  1.5312E+02 -9.8986E+00
0000078   3.8164E+02  1.9042E+02  5.7509E+01
0000079   1.7759E+02  7.1440E+01  2.6841E+00
0000080   2.2929E+02  1.6612E+02 -1.5372E+02
0000081   5.7370E+02 -1.1282E+02 -1.3970E+02
0000082   4.6540E+02 -1.7041E+02 -2.9929E+02
0000083   5.6532E+02 -1.5251E+02 -1.4302E+02
0000084   1.7333E+02 -4.6160E+02 -1.0905E+02
0000085   3.1369E+02 -1.3606E+02 -2.2535E+02
0000086   2.9196E+02  3.8354E+01 -1.2020E+02
0000087   4.3906E+02 -6.6244E+01 -3.0557E+02
0000088   1.9992E+02  6.2121E+01  5.1614E+01
0000089   1.3258E+02 -1.6578E+02  5.0528E+01
0000090   2.2320E+02 -3.5177E+02 -2.2966E+02
0000091   1.4106E+02 -1.9293E+01  1.4861E+02
0000092   3.0592E+02  1.1901E+02  1.3719E+02
0000093   4.2279E+02  2.3518E+02 -1.6819E+02
0000094   3.2596E+02 -2.2503E+02  1.1575E+02
0000095   2.0624E+02  2.2414E+02  3.3360E+02
0000096   3.4217E+02  4.7959E+01 -2.0576E+02
0000097   4.2553E+02  1.9461E+02  2.7447E+02
0000098   2.8962E+02  1.1029E+01  7.9272E+00
0000099   3.8538E+02 -7.4926E+01 -5.0588E+02
0000100   2.8033E+02 -3.6576E+02  4.5876E+02
0000101   4.9920E+02 -1.9431E+02 -2.6593E+01
0000102   4.4230E+02 -3.1413E+02 -2.3723E+02
0000103   5.2542E+01  2.6624E+01 -8.6595E+00
0000104   3.5969E+02  1.6926E+02 -1.6534E+02
0000105   3.5508E+02 -6.2713E+01 -3.7630E+01
0000106   1.6969E+02 -3.5122E+01  1.9567E+02
0000107   4.6004E+02  3.1435E+02 -3.7042E+01
