============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000002   2.6688E+02  2.4588E+02 -1.5136E+02
0000003   7.6757E+01 -2.2110E+02  2.0732E+02
0000004   5.7595E+02  2.1245E+02  2.8527E+02
0000005   2.6278E+02 -2.8641E+02  1.5752E+02
0000006   4.6554E+02  1.6126E+01 -2.0598E+02
0000007   8.6928E+01  4.3922E+02 -9.9722E+01
0000008   5.1572E+02  3.4366E+02 -1.0668E+02
0000009   4.7417E+02 -1.3252E+02 -3.1895E+01
0000010   5.3563E+02 -1.2623E+01 -6.5496E+01
0000011   4.2399E+02 -1.1064E+02  2.0698E+01
0000012   3.3561E+02  1.7265E+02 -5.2410E+01
0000013   3.3178E+02 -1.3228E+02  9.1985E+01
0000014   4.3690E+02 -1.6192E+02  1.0491E+02
0000015   4.5954E+02 -3.7266E+00 -4.3576E+01
0000016   3.2741E+02 -3.0308E+02 -7.3854E+01
0000017   3.3684E+02  1.3438E+02 -3.4328E+01
0000018   2.3407E+02  1.9252E+01 -2.4652E+02
0000019   4.7052E+02  4.8063E+01  4.6993E+01
0000020   1.7152E+02 -1.0420E+02  2.0892E+02
0000021   1.6784E+02  2.7912E+02 -1.0132E+02
0000022   9.1757E+01  1.8770E+02 -9.7122E+01
0000023   4.6633E+02  8.7885E+01  3.4626E+00
0000024   3.0169E+02  1.6005E+02 -1.0472E+02
0000025   2.6062E+02  2.2602E+01 -5.4899E+01
0000027   4.8408E+02  4.6253E+01 -2.3031E+02
0000028   2.2712E+02 -7.9794E+00  2.0239E+01
0000029   6.3612E+01  5.1481E+01 -3.8314E+02
0000030   5.2681E+02  9.9996E+01 -1.0334E+02
0000031   2.3513E+02 -1.5954E+02 -6.9802E+01
0000033   1.8873E+02 -1.6809E+02  6.0043E+01
0000034   1.7872E+02 -9.4863E+00 -4.2088E+02
0000035   1.9353E+02 -1.3288E+02  2.0564E+02
0000036   1.9069E+02 -1.4134E+01 -5.5487E+01
0000037   2.6962E+02 -1.6748E+02 -4.0431E+00
0000038   5.9300E+02  9.2069E+01 -3.9105E+01
0000039   4.2907E+02  3.1935E+02  1.4383E+02
0000040   4.8129E+02 -1.0653E+02  2.6885E+02
0000041   1.0471E+02  1.9449E+01  1.4320E+02
0000042   2.8977E+02 -5.5879E+01 -1.3602E+02
0000043   1.7447E+02  3.6529E+01 -1.2327E+02
0000044   1.4055E+02 -9.3363E+00 -1.6422E+02
0000045   2.9131E+02 -9.0302E+00  2.4376E+02
0000046   3.4698E+02  2.0539E+02  6.7949E+01
0000047   4.5768E+02 -1.3675E+02 -7.2738E+01
0000048   2.5870E+02  8.1958E+01 -1.3319E+02
0000049   4.8882E+02  8.7471E+01 -2.6441E+02
0000050   2.2908E+02  9.7932E+01  2.0663E+02
0000051   6.0788E+02 -8.3624E+01  5.6584E+01
0000052   3.9851E+02  9.3845E+01  8.6559E+01
0000053   3.4341E+01  1.0657E+02  7.1744E+01
0000054   4.1475E+02 -7.8358E+01  4.0741E+02
0000056   2.4525E+02 -3.9818E+01 -4.1260E+02
0000057   1.1547E+02  1.3057E+02  2.2251E+01
0000058   2.7960E+02  1.2303E+02  1.2828E+02
0000059   1.3612E+02  2.2027E+01 -2.6236E+02
0000060   8.3415E+01  3.0316E+01  1.3717E+02
0000061   6.5479E+02 -1.2811E+02  1.0040E+02
0000063   1.9549E+02  4.2625E+02 -1.8187E+02
0000064   2.6259E+02  2.0338E+02  1.6160E+02
0000065   6.3200E+01  6.3843E+01  1.7887E+02
0000066   1.0214E+02  3.6582E+02 -8.0943E+01
0000067   1.5163E+02  2.3066E+02 -4.5962E+01
0000068   5.9174E+02 -2.4789E+02 -1.2106E+02
0000069   3.8221E+02  2.1080E+01  2.6839E+02
0000070   2.3600E+02  1.7223E+02 -2.0737E+02
0000071   1.0936E+02 -1.7963E+02  1.9603E+02
0000072   4.4052E+02  3.7387E+01  4.5863E+01
0000073   5.1528E+02  1.9334E+02 -1.6443E+02
0000074   3.7409E+02  1.6344E+02  2.5345E+01
0000075   4.6672E+02  2.5247E+02  2.1822E+02
0000076   2.6526E+02 -3.1450E+02  8.8146E+01
0000077   4.9428E+02  2.9746E+01  1.0021E+02
0000078   1.9026E+02  3.1814E+01  2.3696E+02
0000079   3.6484E+02  1.2919E+02  1.8740E+01
0000080   4.3149E+02  5.2083E+01 -1.3227E+02
0000081   4.0142E+02  8.6955E+01  2.0475E+02
0000082   3.0871E+02  1.5652E+02 -4.1158E+01
0000083   1.1992E+02 -5.2419E+02  7.7540E+01
0000084   1.7621E+02  1.5814E+02 -7.6819E+01
0000085   3.0871E+02 -1.0213E+02  1.4499E+02
0000086   2.9711E+02 -6.7723E+01 -9.2097E+01
0000087   4.3656E+02 -6.5963E+01 -1.3029E+02
0000089   9.3582E+01 -6.4469E+01  4.1619E+01
0000090   4.1223E+02  7.1037E+01  1.9974E+02
0000091   4.4331E+02 -8.0481E+01  3.3958E-01
0000092   4.1837E+02  1.4020E+02  1.0535E+02
0000094   5.6129E+02 -2.6272E+00 -3.4071E+02
0000095   2.4462E+01  7.4043E+01 -1.3564E+02
0000096   2.4467E+02  1.8023E+02  3.9712E+01
0000097   6.0384E+02  2.9570E+01  2.5132E+02
0000098   1.7179E+02  4.2427E+01  1.6814E+01
0000099   6.3556E+02 -1.0577E+02  1.3564E+01
0000100   2.6716E+02  7.5650E+01  5.4389E+01
0000101   3.1991E+02  5.8762E+01 -2.1685E+00
0000102   2.7571E+01  1.9094E+01  2.1207E+02
0000103   4.3443E+02  2.5607E+02  8.7810E+00
0000104   1.0460E+02 -2.3825E+00 -7.9153E+01
0000105   1.7022E+02 -1.0902E+02  2.4811E+02
0000106   3.0767E+02 -2.7529E+02 -2.6709E+01
0000107   1.5328E+02  1.1009E+01 -3.8181E+01
0000108   4.8086E+02 -2.6287E+02 -2.3048E+02
0000109   2.2867E+02  1.3049E+02 -2.5251E+02
0000110   3.2203E+02 -5.4638E+01  2.3107E+02
0000111   1.3846E+02 -1.4247E+02  1.6626E+01
0000112   4.0513E+02 -2.4598E+02  4.7865E+01
0000113   1.4889E+02 -2.9138E+01  3.9904E+02
0000114   3.8394E+02 -2.7211E+02  1.6548E+02
