============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.4430E+02 -1.0460E+01  1.5403E+02
0000002   2.1093E+02 -5.1299E+01 -1.2220E+02
0000003   2.7435E+02  1.0123E+02 -8.0184E+01
0000004   5.8342E+02  8.0190E+01 -3.4303E+02
0000005   4.0847E+02  6.6941E+01 -2.6755E+02
0000006   5.1216E+02 -1.0760E+01  6.5873E+01
0000007   1.0657E+02 -1.2845E+01 -5.5757E+01
0000008   2.7654E+02  1.8991E+01 -1.0923E+02
0000009   1.8030E+02 -2.2354E+01 -7.3054E+01
0000010   4.5045E+02 -2.1197E+02 -2.5513E+02
0000011   1.9793E+01  1.3437E+02  1.9415E+02
0000012   3.5508E+02  1.4110E+02  2.1591E+02
0000013   3.0114E+02  6.9988E+00 -6.8472E+01
0000014   3.0161E+02 -8.3401E+01 -1.3371E+02
0000015   1.2289E+02 -8.4392E+01  5.2933E+01
0000016   5.5025E+02  2.5610E+02 -7.0590E+01
0000017   6.2479E+02  2.1937E+02 -2.1783E+02
0000019   2.9297E+02  1.6286E+02 -8.1352E+01
0000020   9.0429E+01  2.8491E+02 -3.6342E+02
0000022   2.8111E+02 -1.0251E+02  7.9847E+00
0000023   5.7624E+02  3.3995E+01  3.2034E+02
0000024   1.3643E+02 -6.9698E+01 -3.6031E+01
0000025   3.6720E+02 -3.9636E+02  9.2543E+01
0000026   6.2176E+02 -1.2687E+02  2.1006E+02
0000027   3.1370E+02  2.4819E+01  9.5675E+01
0000028   1.2324E+02 -7.2088E+00 -1.4647E+02
0000030   4.2344E+02  1.0815E+02 -3.3956E+02
0000031   3.5419E+02 -1.2629E+02 -2.3057E+02
0000032   2.7727E+02  7.2151E+01 -4.0234E+01
0000033   3.3974E+02  1.4455E+02  1.2162E+02
0000034   4.5984E+02  1.2619E-01  3.9498E+00
0000035   4.2991E+02 -3.3008E+01 -7.2665E+01
0000036   2.7779E+02 -4.7089E+01  1.8525E+01
0000037   4.0776E+02  1.4420E+02  3.3141E+02
0000038   6.5422E+01  1.5051E+01 -1.3007E+01
0000039   1.6559E+02  1.0550E+02  4.8924E+00
0000040   3.6460E+02  8.3766E+01 -8.5121E+00
0000041   1.7321E+02  3.0717E+01 -2.9342E+02
0000042   1.3990E+02 -3.7050E+01 -1.6969E+02
0000043   4.4344E+02 -1.4008E+02 -1.0259E+02
0000044   3.3787E+02 -7.0652E+01  3.4631E+02
0000045   1.7793E+02  1.0020E+01 -2.5806E+01
0000046   4.9694E+02 -2.6095E+02  1.7022E+01
0000047   2.0826E+02  1.3784E+01  2.2951E+01
0000048   3.3054E+02  2.1656E+02  1.5842E+02
0000049   6.0045E+02 -1.2730E+02  1.4637E+02
0000050   4.4147E+02 -1.3306E+01  7.6474E+01
0000051   4.6156E+02  2.1499E+02 -5.5139E+01
0000052   2.7299E+02 -2.1483E+02  3.1604E+02
0000053   1.8335E+02  8.2921E+01  1.5451E+01
0000054   2.4427E+02  1.8360E+02 -1.4333E+02
0000055   5.2555E+02  3.0816E+02  7.8243E+00
0000056   7.0279E+02  2.5266E+02 -2.0491E+02
0000057   1.6650E+02  9.7295E+01  7.8758E+01
0000058   2.0237E+02 -3.0743E+01 -1.7103E+02
0000059   9.5288E+01 -1.5337E+02  1.2529E+02
0000060   9.7873E+01  4.2863E+02 -1.7044E+02
0000061   3.4838E+02 -1.3081E+02  2.3597E+02
0000062   3.3794E+02  1.8185E+01 -2.9989E+02
0000063   3.9786E+02 -1.0717E+02  2.4864E+02
0000064   5.9589E+01 -1.2729E+02 -1.3257E+01
0000065   6.1672E+02 -1.5998E+01  1.7134E+02
0000066   3.5484E+02 -1.8000E+02 -1.1129E+02
0000067   4.4628E+02 -4.3643E+01 -1.2861E+02
0000068   2.2231E+02 -1.2691E+02 -5.0912E+01
0000069   2.2543E+02  8.5082E+01  4.3739E+01
0000070   5.8212E+02  2.4536E+02 -2.3362E+01
0000071   1.0910E+02  1.3463E+00  1.7902E+02
0000072   3.5936E+02 -4.8262E+01  3.6447E+01
0000073   2.3623E+02  2.2962E+01  2.3056E+02
0000074   4.7659E+01 -2.1825E+02  9.1034E+01
0000075   1.0291E+02 -1.4902E+02  5.0364E+01
0000077   3.4497E+02 -3.8639E+02 -1.5880E+01
0000078   3.7547E+02  1.9436E+02 -2.2064E+02
0000079   1.9456E+02 -1.1177E+02 -5.7355E+01
0000080   1.2034E+02  7.3336E+01  1.0096E+02
0000081   2.2426E+02 -2.7673E+02 -7.8384E+01
0000082   2.4566E+02 -3.8344E+01  1.2644E+02
0000083   8.6379E+01  3.6773E+00  8.0464E+01
0000084   3.7647E+02  2.8046E+01 -3.0628E+01
0000085   4.5137E+02  1.7266E+02  1.0275E+02
0000086   2.8162E+02  8.6425E+01 -3.0100E+02
0000087   3.3141E+02  2.2167E+01  2.1207E+02
0000088   1.8721E+02  1.2769E+02 -1.8854E+01
0000089   2.2632E+02 -2.6567E-01  7.2233E+00
0000090   8.1239E+01 -1.2661E+02  2.2229E+02
0000091   1.0328E+02  3.6428E+02  7.9558E+01
0000092   1.0938E+02  4.8821E+01  4.9758E+01
0000093   3.0340E+02  6.1544E+01 -6.4643E+01
0000094   4.4897E+02  1.1072E+02  2.6380E+02
0000095   3.5506E+02 -1.1670E+01  1.4053E+01
0000096   3.9856E+02  3.1754E+02  4.5620E+01
0000097   1.4389E+02 -3.4539E+02 -6.4048E+01
0000098   1.2264E+02 -7.4039E+01 -1.3955E+02
0000099   4.8044E+02 -1.9087E+02 -1.7947E+02
0000100   6.2557E+02 -7.9176E+01 -3.3191E+01
0000101   3.8646E+02 -2.6660E+02 -9.7027E+00
0000102   4.2013E+02  4.0611E+01  9.3111E+01
0000103   4.9609E+02 -1.5051E+02 -1.5897E+02
0000104   5.2365E+02  7.4037E+01  3.4085E+02
0000105   7.0038E+02 -2.8827E+01  1.8426E+02
0000106   6.7750E+01  1.2265E+02  2.1376E+02
0000107   4.8601E+02  9.0323E+01 -8.1338E+01
0000108   2.4804E+02 -2.5181E+02 -1.9836E+02
0000109   3.7275E+02  6.4553E+01 -2.6107E+02
0000110   3.4311E+02 -6.6564E+01 -4.2716E+02
