============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.6512E+02  1.2901E+01  1.2384E+02
0000003   2.3500E+02  1.5164E+02  4.7752E+02
0000004   2.7664E+02  5.4904E+00 -9.2842E+01
0000005   4.8539E+02  3.8916E+01 -2.8453E+02
0000006   1.4440E+02 -7.5458E+01  1.3080E+01
0000007   3.7452E+02  4.1947E+01  2.4660E+02
0000008   7.3379E+01 -1.6894E+01 -4.7409E+01
0000009   2.7776E+02 -1.1568E+02  6.1287E+01
0000010   1.3043E+01  1.4145E+02 -3.8388E+01
0000011   1.6476E+02  1.0970E+02 -1.4562E+02
0000012   3.0749E+02  1.3497E+02  1.6983E+02
0000013   3.9751E+02  2.8171E+02 -3.1672E+01
0000014   1.9737E+02  2.6863E+02  6.7418E+00
0000015   2.8432E+02 -1.7248E+02 -3.0570E+01
0000016   2.5014E+02 -2.3439E+01  1.7546E+02
0000017   3.4107E+02  5.3376E+01 -1.9074E+02
0000018   2.3915E+02 -5.0677E+01  1.8802E+02
0000019   5.8134E+02  2.6724E+01 -9.6124E+01
0000021   3.4047E+02  2.3978E+02 -1.4963E+02
0000022   2.6964E+02  1.1724E+02  1.2543E+02
0000023   1.4968E+02 -8.9740E+00  7.3158E+01
0000024   1.6222E+02  3.9504E+02  1.7434E+02
0000025   1.6313E+02  1.5991E+02  9.3032E+01
0000026   3.1075E+02  4.0552E+02  2.2606E+02
0000027   3.4719E+02  5.9631E+01 -2.9148E+01
0000028   5.9437E+02  6.1598E+01  2.6693E+01
0000029   4.0937E+02 -2.6050E+02 -7.4493E+01
0000030   4.1832E+02 -4.0678E+01 -2.9164E+02
0000031   2.2097E+02 -1.6968E+02 -2.2892E+02
0000032   2.4374E+02  5.2284E+01 -4.6961E+01
0000034   3.3589E+02 -6.6730E+01 -5.8056E+01
0000035   2.2972E+02  2.1857E+02  2.6158E+00
0000036   6.0062E+02 -1.7018E+02  8.9875E+01
0000037   3.0429E+02 -2.0629E+02  1.3647E+02
0000038   1.3865E+02 -8.3841E+00 -1.4721E+02
0000039   1.0523E+02  8.6829E+01 -9.6661E+01
0000040   1.8859E+02  2.2303E+02 -2.2048E+02
0000041   6.7123E+01  1.6362E+02 -1.0874E+02
0000042   4.4915E+01 -1.2508E+02  1.3067E+01
0000043   3.5296E+02  2.5137E+02 -2.2105E+02
0000044   1.0890E+02 -9.6722E+01 -7.1345E+00
0000045   1.5371E+02 -2.0896E+01  1.1065E+02
0000046   5.0594E+02 -6.4035E+01  1.9589E+02
0000047   1.6465E+02 -9.4929E+01  1.1844E+02
0000048   2.6252E+02  1.5127E+02  2.1392E+02
0000049   1.0649E+02  2.2034E+02  8.4960E+01
0000050   2.8436E+02  3.1566E+02 -4.4385E+02
0000051   2.7086E+02  4.5208E+01  1.7924E+02
0000052   4.5485E+02 -1.9201E+02  1.9988E+02
0000053   3.5366E+02 -7.6871E+00  5.2760E+01
0000054   1.0987E+02  1.1262E+02  2.8809E+02
0000055   3.2760E+02 -1.8089E+02 -1.7304E+02
0000056   4.3511E+02 -3.2204E+01 -3.0563E+02
0000057   4.2595E+02  1.5848E+02 -1.9200E+02
0000058   4.5810E+02 -1.2596E+02 -1.1950E+02
0000059   4.0921E+02  5.4726E+01  3.0518E+02
0000060   3.9619E+02  1.8328E+01  5.1216E+01
0000061   3.1191E+02  5.5572E+01 -1.6263E-01
0000062   3.9430E+01  2.3803E+01 -8.7461E+01
0000063   2.2258E+02  1.4254E+02 -1.5708E+01
0000064   1.8397E+02  3.1129E+02 -2.6881E+01
0000066   1.5789E+02  3.8173E+02 -2.5272E+02
0000067   3.2002E+02  1.4168E+02  1.5776E+02
0000069   2.1996E+02  6.5583E+01  1.4494E+02
0000070   1.2551E+02 -2.6436E+02 -1.5530E+02
0000071   3.4523E+02  1.1367E+01  8.9111E+01
0000073   2.6895E+02  3.1078E+02  1.9245E+02
0000074   1.0680E+02  8.3050E+01  1.5182E+02
0000075   3.7285E+02  9.5658E+01 -5.5797E+01
0000076   1.5716E+02  1.4136E+02 -7.5041E+01
0000077   2.7549E+02  2.0108E+02 -3.0438E+02
0000078   2.8349E+02 -1.2127E+02 -1.1999E+02
0000079   3.0653E+02  2.7715E+02  1.9180E+01
0000080   1.9617E+02  1.3200E+02  8.2808E+01
0000081   4.4257E+02  6.7607E+01  9.4377E+01
0000082   2.7935E+02  2.0989E+01  3.6781E+02
0000083   1.1414E+02 -1.0467E+02  2.0953E+02
0000084   6.4801E+01  1.4124E+01 -4.0151E+02
0000085   4.3354E+02  2.2155E+02 -1.0063E+02
0000086   3.0036E+02  4.1608E+01  1.3166E+02
0000087   5.6975E+02 -3.4412E+02  2.4931E+02
0000088   4.1523E+02 -1.0211E+02 -1.8520E+02
0000089   8.6149E+02  7.8323E+01  8.3549E+01
0000090   4.7983E+02  2.0865E+02  6.0973E+01
0000091   3.7229E+02 -3.4358E+01 -1.4996E+01
0000092   4.4131E+02  1.0245E+01 -1.2666E+02
0000093   4.2435E+02 -9.9878E+01 -4.2778E+02
0000094   4.8161E+02 -3.0592E+02 -2.9335E+01
0000095   4.8342E+02  5.5602E+01  1.2476E+02
0000096   2.3734E+02  1.5059E+02 -3.3751E+02
0000097   5.8129E+02  2.8677E+01  7.0125E+01
0000098   3.7574E+02  2.7942E+01 -2.6592E+02
0000099   6.0045E+02 -3.0006E+02 -1.7313E+01
0000100   5.4173E+02  1.0959E+01  1.9815E+02
0000101   3.4245E+02  1.2642E+02  1.1082E+02
0000102   5.9890E+02  1.7396E+02 -7.3753E+01
0000103   2.4283E+02 -4.6418E+01  3.2726E+02
0000104   4.8426E+02 -4.3894E+01  7.8447E+01
0000105   3.9504E+02 -1.4101E+00 -1.1024E+02
0000106   4.5023E+01 -2.4173E+01  6.2991E+01
0000107   1.8060E+02 -7.5022E+01  1.7571E+02
0000108   2.3011E+02 -2.9578E+02 -9.1585E+01
0000109   1.2858E+02 -6.6194E+01 -9.7185E+01
0000110   6.3129E+02 -8.5364E+00 -1.6433E+02
0000112   1.0091E+02 -1.2493E+02 -2.2288E+02
0000113   1.7468E+02  3.1578E+02  1.4254E+01
0000114   3.7047E+02  1.6770E+02  5.2496E+01
