============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.5789E+02  1.4590E+02  1.8204E+02
0000002   3.0694E+02  9.9505E+00 -5.5724E+01
0000003   2.2627E+02  1.2901E+02 -4.7910E+01
0000004   2.5459E+02 -1.4052E+02 -1.1347E+02
0000005   3.5294E+02  1.8757E+02  2.6428E+01
0000006   1.9963E+02 -3.5889E+02 -1.0157E+02
0000007   1.6411E+02 -8.1846E+01 -9.8969E+01
0000008   3.3137E+02 -5.4860E+01  1.0887E+02
0000009   1.8623E+02  1.3057E+02  4.9704E+01
0000011   4.9165E+02  1.2404E+02 -1.8630E+00
0000012   3.1914E+02 -4.1538E+01  2.5664E+01
0000013   2.2423E+02 -1.0872E+02  3.0927E+02
0000014   4.0493E+02  1.6493E+02 -1.7972E+02
0000015   2.9439E+02 -2.7955E+02  7.3444E+01
0000016   2.2062E+02 -6.1762E+01 -9.0828E+01
0000017   6.4774E+02 -4.9684E+01 -4.9346E+01
0000018   1.5371E+02  6.0420E+01 -5.4941E+01
0000019   1.5679E+02 -8.0758E+01  3.0466E+02
0000020   3.4123E+02 -5.6797E+01  2.2578E+02
0000023   3.6972E+02  2.5845E+02  2.2826E+02
0000024   3.1562E+02  2.5581E+02  1.8248E+02
0000025   6.2405E+02 -1.4301E+02  2.1712E+02
0000026   3.9616E+02 -3.2319E+01 -5.2318E+01
0000027   3.3701E+02 -5.8982E+01  2.7207E+01
0000028   3.3948E+02 -1.6302E+02 -7.3190E+01
0000029   9.8267E+01 -8.9011E+01 -3.6913E+01
0000030   1.5150E+02 -2.9768E+02 -3.9964E+01
0000031   1.4842E+02  1.3756E+01 -5.3988E+00
0000032   1.5811E+02 -1.0126E+02  6.9155E+01
0000033   3.9475E+02  8.4579E+01 -8.1946E+01
0000034   5.6349E+02  9.0139E+01  1.3652E+02
0000035   3.5477E+02 -3.9288E+01 -1.2085E+02
0000036   2.0394E+02 -1.4746E+02 -4.0692E+01
0000037   2.0092E+02 -8.7651E+01  2.3951E+02
0000038   6.8701E+01  6.2198E+01 -1.7963E+02
0000039   4.2995E+02 -1.5850E+02  1.4179E+02
0000040   4.1542E+02 -3.1185E+02 -3.9865E+01
0000041   2.6809E+02 -9.2026E+01  2.9486E+01
0000042   3.0501E+02  2.5897E+02 -1.3298E+02
0000043   6.3978E+02 -2.8709E+02 -6.5932E+01
0000044   5.0342E+01  1.0391E+02  4.0806E+01
0000045   1.1052E+02  3.8782E+02 -4.5694E+01
0000046   2.9994E+02  1.8981E+02  6.6267E+01
0000047   5.2270E+02  7.7770E+01  1.3905E+02
0000049   2.2632E+02 -3.5462E+00 -4.2896E+01
0000050   3.4262E+02  7.2822E+01  4.2185E+02
0000051   2.9832E+02 -2.2305E+02  1.0941E+02
0000052   4.5419E+02 -2.0934E+02  2.3157E+02
0000053   1.1337E+01 -9.5294E+01 -5.4907E+01
0000054   6.1885E+02 -1.9260E+02  1.6691E+01
0000055   1.3379E+02 -6.8788E+01  2.3321E+02
0000057   1.3604E+02  5.1777E+01 -1.4490E+02
0000058   3.0969E+02 -1.9753E+02 -3.2275E+01
0000059   5.5076E+02  2.6418E+02 -5.0846E+01
0000060   2.6893E+02 -4.9469E+01 -1.3866E+02
0000061   4.1065E+02  2.2810E+02  8.5441E+00
0000062   2.7279E+02 -5.2288E+00  9.6122E+01
0000063   1.7190E+01 -3.3313E+01 -2.1240E+02
0000064   2.6358E+02  2.5828E+01 -1.7470E+02
0000065   1.6888E+02 -1.4818E+01 -2.1853E+02
0000066   3.8839E+02 -2.2474E-01  9.0145E+01
0000067   2.5721E+02 -1.7199E+02 -2.8803E+02
0000068   1.9179E+02 -9.7064E+01 -5.1874E+01
0000069   2.7655E+01 -9.1013E+01 -1.2650E+02
0000070   4.5538E+02 -2.9620E+02 -4.2893E+01
0000071   2.9756E+02 -1.1123E+00 -1.4996E+02
0000072   5.1291E+02  2.0307E+02  3.3824E+00
0000073   3.8301E+02 -2.4272E+00 -9.9712E+01
0000074   5.5945E+02  2.0774E+01  3.2626E+02
0000075   4.1917E+02 -1.6022E+02 -2.4362E+01
0000076   4.8238E+02  2.0712E+01  4.4224E+02
0000077   1.7246E+02 -2.3102E+02  2.6301E+02
0000078   2.9641E+02 -1.2547E+02  6.6036E+01
0000079   1.7314E+02 -5.2355E+01  1.4716E+01
0000080   3.5956E+02 -4.6379E+01  3.5654E+00
0000081   2.3503E+02  3.0872E+02 -1.1451E+02
0000082   2.4449E+02 -1.4534E+01 -3.3078E+02
0000083   2.2002E+02 -7.1986E+01 -5.8404E+01
0000084   4.0804E+02  1.8658E+01 -7.4458E+01
0000085   5.3731E+02  2.8254E+02 -1.6608E+02
0000086   3.7367E+02  1.8562E+02 -1.9569E+01
0000088   3.6946E+02  4.0896E+01  1.1338E+02
0000089   8.1298E+01 -1.7650E+02  9.8579E+01
0000090   3.4376E+02 -9.5064E+01  1.2020E+02
0000092   1.0001E+02  2.8163E+00 -1.7797E+02
0000093   3.3096E+02 -8.0539E+01  2.8518E+02
0000094   5.1457E+02 -2.9876E+01 -1.1945E+02
0000095   3.4581E+02  2.2952E+02 -1.9161E+02
0000096   5.2478E+02 -3.2653E+02  2.1616E+01
0000097   3.1363E+02 -1.4328E+02  9.5590E+00
0000098   3.4196E+02  3.4277E+01 -6.6863E+01
0000099   2.5558E+02 -1.6656E+02 -4.2434E+01
0000100   3.5267E+02 -4.0216E+02  7.1139E+01
0000101   2.1894E+02  9.9136E+01 -2.3699E+02
0000102   3.0248E+02 -6.4103E+01  4.9454E+01
0000103   3.1793E+02 -8.9693E+01  6.8911E+01
0000104   2.4988E+02  1.7476E+02 -2.2107E+01
0000105   1.1988E+02 -9.6864E+01  1.8865E+02
0000106   3.3526E+02 -4.3620E+01 -7.5364E+01
0000107   4.1737E+02 -1.9693E+02  3.1772E+02
0000108   2.9124E+02 -1.5192E+02  2.4225E+02
0000109   4.7797E+02 -3.7952E+02  3.0450E+02
0000110   3.8762E+02  1.2686E+02  1.5210E+02
0000111   1.9503E+02  6.7600E+01 -7.3204E+01
0000112   2.4400E+02 -8.9814E+01 -8.0841E+01
0000113   6.5987E+02 -1.0580E+01  5.3487E+01
