============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.5279E+02  2.5854E+02  5.5348E+01
0000002   4.8189E+02  3.9563E+02  7.4976E+01
0000003   5.9164E+02 -2.2019E+02  5.5165E+01
0000005   6.3061E+01 -3.8205E+01  3.6000E+01
0000006   1.1964E+02 -1.4157E+02  1.0011E+02
0000007   2.7337E+02  5.1487E+01  1.2396E+02
0000008   2.3587E+02 -1.6422E+02  1.3623E+02
0000009   3.7653E+02 -3.0311E+01 -3.3091E+01
0000010   1.4680E+02  1.3158E+01 -1.6671E+01
0000011   4.0803E+02 -3.9446E+02 -1.8083E+02
0000012   6.3725E+02 -7.4703E+01  2.9043E+02
0000013   4.3421E+02 -3.1208E+02  1.4247E+02
0000014   4.7411E+02  4.1044E+01  2.3778E+02
0000015   3.2868E+02  1.1161E+02  4.7699E+01
0000016   4.9130E+02 -1.7116E+02 -3.1464E+01
0000017   2.0875E+02 -2.8124E+02  5.4737E+01
0000018   2.6649E+02 -1.1521E+01 -1.1716E+02
0000019   1.9444E+02 -2.8324E+01 -1.2576E+02
0000020   4.3102E+02 -6.4546E+01 -1.3475E+02
0000021   3.5288E+02  7.8307E+01 -1.0634E+02
0000022   4.4773E+02 -1.4226E+02  1.2861E+02
0000023   7.5925E+01 -1.3058E+02  8.1179E+01
0000024   5.3900E+02  2.8941E+01  2.7091E+02
0000025   1.5077E+02  5.0170E+01  1.5809E+02
0000026   4.0404E+02  1.1071E+02  1.9992E+02
0000027   4.6796E+02 -2.2399E+02 -6.0824E+01
0000028   3.5954E+02  1.2014E+02 -9.0202E+01
0000029   4.6227E+02  2.0235E+02  2.7825E+02
0000030   3.5922E+02  5.3952E+01  1.1678E+02
0000031   2.6917E+02 -5.2244E+01 -2.6956E+02
0000033   8.5028E+01  1.9197E+01 -2.7248E+01
0000034   3.0861E+02 -7.2013E+01  3.6700E+02
0000035   8.1792E+02  1.1850E+02 -2.5710E+02
0000037   8.8402E+01  3.9102E+02  1.1991E+01
0000038   3.7549E+02 -3.3220E+02  1.3661E+02
0000039   2.6825E+02  4.4933E+01  1.4148E+02
0000040   4.0455E+02  2.9586E+01  1.1640E+02
0000041   2.6824E+02  1.7406E+02 -1.1405E+01
0000042   2.0231E+01  1.7816E+01  8.2108E+01
0000043   4.4736E+02 -3.8197E+02 -1.2418E+02
0000044   5.1089E+02  4.2251E+02 -3.1967E+01
0000045   4.4884E+02 -4.7462E+00 -3.1037E+01
0000046   1.9461E+02 -1.9324E+02 -1.9407E+02
0000047   2.4235E+02  1.1781E+02  3.1705E+02
0000048   2.0470E+02  1.5726E+02 -1.1882E+02
0000049   3.9397E+02 -1.4486E+02 -2.4382E+02
0000050   1.3761E+02 -3.0246E+01  9.3818E+01
0000051   3.5845E+02  1.6135E+02  1.2051E+02
0000052   2.5033E+02  2.0332E+02  1.1796E+02
0000053   3.1576E+02 -1.5865E+02  1.7637E+02
0000054   1.5572E+02 -1.8200E+02  2.0118E+02
0000055   4.6383E+02  1.4637E+02  1.2394E+02
0000056   2.1095E+02  8.6568E+01 -2.0753E+02
0000057   1.7597E+02 -1.0625E+02  2.5273E+02
0000058   2.6801E+02 -1.2417E+02  1.5659E+01
0000059   3.6519E+02 -1.3254E+02 -1.8365E+02
0000060   1.7910E+02  1.4957E+02 -2.7137E+02
0000061   6.5613E+02  3.7087E+02  9.5834E+01
0000063   5.3700E+02  9.0107E+01 -3.5109E+02
0000064   4.1169E+02 -1.7812E+02 -1.7007E+02
0000065   2.1571E+02  2.0847E+02 -3.0647E+02
0000066   5.4567E+02 -2.1975E+02 -5.0509E+01
0000067   5.0448E+02 -4.3006E+01  1.1657E+01
0000068   2.3257E+02  1.4176E+02 -2.6389E+02
0000069   4.7943E+02 -1.7227E+02 -2.8884E+02
0000070   3.3820E+02 -7.5013E+01 -1.9198E+02
0000071   2.0519E+02 -3.5350E+02 -3.9315E+02
0000072   3.6692E+02  7.5866E+01  7.7212E+01
0000073   2.5558E+02  2.5191E+02  1.8118E+02
0000074   1.5750E+02  1.4467E+02  5.0220E+01
0000075   3.0368E+02 -2.2943E+02 -2.9935E+01
0000076   3.3839E+02  5.0989E+01 -2.0798E+02
0000077   3.0265E+02  1.9335E+02  1.0600E+02
0000078   4.4988E+02 -4.6446E+01 -8.6766E+01
0000079   2.4999E+02  2.8973E+02 -1.7511E-01
0000080   3.0019E+02  9.2868E+01 -3.1249E+02
0000081   5.5786E+02 -1.1163E+02 -2.6425E+02
0000082   4.7453E+02  1.7675E+02 -8.3490E+01
0000083   1.1589E+02  1.1175E+02 -3.4761E+01
0000084   1.3154E+02 -4.6488E+00  8.6694E+00
0000085   5.0882E+02 -3.0329E+01 -1.2432E+02
0000086   6.1148E+02 -2.5899E+01  1.1199E+02
0000087   3.2734E+02 -2.5771E+02 -9.5191E+01
0000088   6.9814E+01  4.8006E+00  2.9644E+01
0000089   5.2802E+02  2.4085E+02  1.0397E+02
0000090   1.8016E+02  1.2912E+02  2.8312E+01
0000091   4.6205E+02 -1.7603E+02 -4.5075E+01
0000092   3.3359E+02  2.1430E+02  2.3634E+02
0000093   4.0172E+02 -2.3934E+02 -7.7202E+01
0000094   3.6247E+02  6.2005E+01  1.1873E+02
0000096   2.2855E+02 -6.4284E+01  1.6029E+02
0000097   3.9133E+02 -1.3059E+02 -2.8301E+02
0000098   2.5444E+02 -8.2680E+01 -4.5957E+01
0000099   3.7583E+02 -1.9940E+02  2.0888E+01
0000100   3.2349E+02 -2.1411E+02  2.9657E+00
0000101   2.7682E+02 -8.4046E+01  4.4141E+01
0000102   2.1373E+02  3.4257E+02  8.4136E+01
0000103   6.7600E+02 -1.5876E+02 -1.2098E+02
0000104   1.8816E+02  2.8892E+02  1.3724E+02
0000105   5.7565E+02  1.2050E+02 -3.1938E+02
0000106   1.8818E+02  2.8759E+02  1.8654E+02
0000107   2.1761E+02 -1.3268E+02  8.2929E+01
0000108   5.6622E+02  1.3184E+02  1.1414E+02
0000109   1.6353E+02 -9.4520E+01 -1.4407E+01
0000110   2.9993E+02 -5.3449E+02  1.7891E+01
0000111   5.6577E+02  5.7023E+01 -7.3436E+01
0000112   3.9806E+02  7.3442E+01  2.2847E+02
