============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.1950E+02  2.7900E+02 -2.5160E+02
0000002   4.2619E+02 -2.2316E+02 -6.5520E+01
0000003   2.3969E+02  1.3278E+02 -8.9871E+01
0000004   1.7715E+02 -4.5266E+01  3.4595E+01
0000005   3.0926E+02  1.8545E+02  3.2760E+01
0000006   1.8105E+02  1.9750E+02  1.0742E+02
0000007   4.5750E+02  1.7716E+02  1.7572E+02
0000008   2.9767E+02  2.9570E+02 -7.0746E+00
0000009   2.9093E+02 -2.9582E+01  1.3919E+02
0000011   3.5208E+02  2.2147E+02  1.2102E+02
0000012   4.4292E+02  9.7269E+01 -1.3679E+02
0000014   5.6404E+01  1.1617E+02 -4.4767E+01
0000015   3.0596E+02  2.9955E+01  4.2843E+01
0000016   3.4397E+02 -2.6835E+01 -7.4340E+01
0000017   2.2870E+02 -1.3531E+01  6.1680E+01
0000018   1.4742E+02 -2.1956E+01 -6.5503E+01
0000019   8.3471E+01  6.8817E+01  1.6301E+02
0000021   9.1182E+01  8.4149E+01  1.0179E+02
0000022   2.6056E+02  2.6907E+02  7.1233E+01
0000023   1.5283E+02 -5.2407E+01  1.0044E+02
0000024   3.2481E+02  7.6524E+01 -1.7163E+02
0000025   1.8618E+02  2.5745E+01 -2.6861E+01
0000026   5.6406E+02 -3.8934E+01 -7.4953E+01
0000027   2.1848E+02 -2.0007E+01  7.1088E+00
0000028   1.8141E+02 -2.4907E+02 -9.0550E+01
0000029   4.8095E+01 -3.4484E+02 -1.5095E+02
0000030   7.6919E+02  1.1561E+02 -4.4082E+00
0000031   1.1681E+02 -8.8929E+01  1.1795E+02
0000032   7.9404E+02 -2.9439E+02  1.0508E+02
0000033   3.0614E+02 -1.0473E+02  3.6430E+02
0000034   2.1129E+02 -3.1001E+01 -1.2436E+02
0000035   1.0805E+02 -1.8767E+02 -3.8383E+01
0000036   1.2065E+02 -1.7265E+01 -2.6686E+02
0000037   9.8747E+01  3.6643E+02  2.0255E+00
0000038   1.1158E+02  1.3202E+02  2.6380E+02
0000039   5.4851E+02 -4.0075E+02  1.2398E+02
0000040   2.0141E+02 -3.9954E+01  4.8918E+00
0000041   1.7113E+02 -9.6540E+01  9.8576E+00
0000042   3.8304E+02  8.4729E+01 -1.7779E+00
0000043   5.5475E+02 -3.5459E+00 -1.8980E+02
0000044   3.3340E+02 -1.2196E+02 -7.0523E+01
0000045   4.4026E+02 -7.6201E+00 -5.0536E+01
0000047   4.0470E+02  3.4169E+01  8.8144E+01
0000048   3.7080E+02  8.6551E+01 -3.4095E+01
0000049   1.1868E+02  1.3422E+02 -1.0453E+02
0000050   3.4905E+02 -2.5385E+02  1.8606E+02
0000051   5.2502E+02  3.5835E+02 -2.9979E+02
0000052   7.2936E+01 -7.4206E+01  1.6643E+02
0000053   7.9869E+01  4.4853E+02  2.0023E+02
0000054   8.4236E+01  9.2171E+01  1.8651E+01
0000055   1.6550E+02  1.1343E+02  6.4438E+01
0000056   3.3898E+02 -2.8216E+01 -9.6132E+01
0000057   1.8945E+02 -1.8313E+01 -2.9605E+02
0000058   3.0912E+02 -7.8427E+01 -9.2670E+01
0000059   2.6926E+02  3.1925E+02  1.7343E+02
0000060   3.3229E+02 -7.2919E+01  7.1309E+01
0000061   3.2746E+02 -2.7851E+02  1.3621E+02
0000062   1.6118E+02 -6.0033E+01 -4.3911E+02
0000064   2.5642E+02  4.2667E+01  6.2664E+01
0000066   4.0632E+02  1.1802E+02  1.2464E+02
0000067   1.0552E+02  7.9329E+01  5.9116E+01
0000068   3.1305E+02  5.1317E+01 -1.1408E+02
0000069   2.6564E+02 -7.3983E+01  1.7723E+02
0000071   6.3440E+01 -7.7008E+01  1.1043E+02
0000072   5.3381E+02 -1.3648E+02 -1.2262E+02
0000073   1.2211E+02  8.0341E+01 -1.9291E+01
0000074   1.8979E+02 -9.3515E+01 -9.6520E+01
0000075   5.6250E+02  5.6849E+02 -6.1525E+01
0000076   3.1517E+02  3.1702E+02 -3.2267E+02
0000077   5.3209E+02 -2.2626E+01  5.6073E+01
0000078   1.4116E+02  2.3323E+01  5.4025E+01
0000079   5.6567E+02  3.6056E+01  3.2099E+02
0000080   4.1418E+02  2.3184E+02  1.4908E+02
0000081   4.3183E+02 -2.8650E+01 -1.9319E+02
0000082   6.6577E+02 -7.9073E+01 -9.4876E+01
0000083   1.5183E+02 -2.8431E+02 -1.9502E+02
0000084   4.1822E+02  1.3297E+02 -1.3293E+02
0000085   2.5272E+02  4.0508E+02 -9.3172E+01
0000086   2.2942E+02  1.0254E+02 -4.2548E+01
0000087   7.7568E+01  8.9127E+01 -3.9075E+01
0000088   3.5175E+02  1.2673E+02 -4.1808E+01
0000089   1.7628E+02 -9.9473E+01 -3.2638E+02
0000090   4.3700E+02  3.2926E+01  3.5386E+01
0000091   7.8762E+01 -8.3831E+00  1.8855E+02
0000092   7.5820E+02 -4.3222E+01  1.5199E+02
0000093   1.5784E+02 -2.0242E+02 -1.6235E+02
0000094   5.4201E+01 -1.9867E+02 -3.2515E+02
0000095   2.6610E+02 -2.0050E+02 -6.1529E+01
0000096   9.2952E+01  1.5992E+02 -8.3672E+01
0000097   7.8200E+01  2.0800E+02 -1.3565E+02
0000098   8.7738E+01  2.8897E+02  1.0122E+02
0000099   3.0987E+01 -4.2421E+00 -1.4789E+02
0000100   7.4853E+01 -2.7279E+02 -1.8964E+02
0000101   4.0165E+02 -6.0180E+01  1.9523E+02
0000102   8.6165E+01  2.4785E+02 -1.1710E+02
0000103   4.0667E+02  1.7760E+02 -2.4354E+02
0000104   2.9111E+02 -5.4402E+01 -1.7234E+02
0000105   2.7769E+02  1.8940E+01 -2.5491E+02
0000106   2.7877E+02 -2.7560E+02  8.1932E+01
0000108   1.7426E+02 -1.9876E+02  2.8213E+02
0000109   3.4123E+02  9.9617E-01 -1.4531E+02
0000110   3.0055E+02 -3.6927E+01  8.7225E+01
0000111   1.7969E+02  7.7044E+01  1.7875E+01
0000112   4.9059E+02  1.6229E+02 -1.4151E+02
0000113   3.9328E+02  4.4112E+02 -1.3481E+02
0000114   2.9932E+02 -3.7646E+01 -3.4571E+01
