============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.4614E+02  4.9806E+01 -9.3152E+01
0000002   3.5777E+02 -7.0543E+01 -4.0173E+01
0000003   5.0994E+02  2.2582E+02 -1.0074E+01
0000004   1.0059E+02  1.6149E+02 -1.7885E+02
0000005   6.3503E+01 -5.1080E+01  1.7849E+02
0000006   1.2184E+01  1.3513E+01 -5.3435E+01
0000007   2.8523E+02  2.2215E+02 -3.0300E+02
0000008   1.7999E+02 -3.9312E+01 -2.5961E+02
0000009   5.3415E+01  6.0513E+01  1.4228E+02
0000010   3.4787E+02  1.1939E+02 -2.5486E+01
0000011   3.1587E+02  2.4128E+02 -2.8279E+02
0000012   8.6006E+01 -2.9223E+00  1.5445E+01
0000013   1.3551E+02 -1.9858E+02  3.0656E+02
0000014   3.4434E+02  1.7758E+02  2.8669E+02
0000015   1.9005E+02 -1.0651E+02 -1.7306E+01
0000016   2.6613E+02  1.2255E+01 -1.3979E+02
0000017   3.5979E+02  5.7256E+01  2.8028E+02
0000018   1.1517E+02 -3.9051E+01 -1.7343E+02
0000019   2.3601E+02 -2.0130E+01  6.8174E+01
0000020   3.5128E+02 -2.6971E+02  1.8135E+01
0000021   1.0118E+01  5.7535E+01  9.8968E+01
0000022   5.1926E+02  4.5129E+01  1.0716E+02
0000023   2.1424E+02  1.4795E+02  2.3431E+02
0000024   3.3994E+02  9.4150E+00 -1.4073E+02
0000025   1.8247E+02  7.5207E+00 -1.0456E+02
0000026   2.3779E+02  3.6059E+01  1.9085E+02
0000027   6.8415E+02 -9.7982E+01 -1.8145E+02
0000029   1.5579E+02 -8.6963E+01  1.8476E+02
0000030   1.0181E+02  3.2593E+01  1.1142E+02
0000031   3.5489E+02  1.6811E+02 -7.8488E+01
0000032   1.4960E+02  8.3436E+01 -1.6311E+02
0000033   2.7920E+02  3.7221E+02 -2.8162E+01
0000034   1.8909E+02 -1.7464E+01 -9.8679E+01
0000035   3.1702E+02  1.0409E+02 -1.8164E+02
0000036   4.1404E+02 -5.3228E+01 -1.0984E+02
0000037   5.5281E+02 -2.1819E+02 -1.1300E+02
0000038   4.4641E+01 -3.1200E+01 -1.3811E+02
0000039   2.7240E+02 -4.0095E+00  1.6138E+02
0000040   5.0436E+02 -1.0193E+02  6.3976E+01
0000041   3.4165E+02 -3.6577E+02  8.2793E+00
0000042   1.7773E+02 -3.0359E+01 -1.4687E+02
0000043   2.6361E+02 -1.9468E+02 -8.9727E+01
0000044   3.2868E+02  2.0520E+01  1.5388E+02
0000045   2.4762E+02  2.1528E+01  1.9384E+02
0000046   2.5824E+02 -8.1878E+01  5.7456E+01
0000047   1.1826E+02 -4.8332E+01  2.7922E+02
0000048   4.5137E+02 -6.4255E+01  9.5835E+01
0000049   3.7742E+01 -1.4844E+02 -1.8399E+02
0000050   1.1920E+02 -1.4849E+02  1.6066E+02
0000051   4.5873E+01  1.4787E+02  6.6559E+01
0000052   1.3364E+02 -2.8499E+02  2.5465E+02
0000053   3.1021E+02 -2.1816E+01 -2.6465E+02
0000054   2.1581E+02 -2.4934E+01  1.4877E+02
0000055   2.5861E+02 -3.4928E+02  1.2120E+01
0000056   3.9532E+02 -2.1761E+02  3.7258E+02
0000057   1.1467E+02  1.4792E+02  2.7950E+02
0000058   2.1118E+02  2.4713E+02  2.7518E+01
0000059   1.7024E+02  1.9020E+02 -5.9461E+01
0000060   5.0485E+02  1.3494E+02  7.7288E+01
0000061   1.4729E+02  1.0325E+02 -2.7150E+02
0000062   1.8601E+02 -6.0797E+01 -9.7629E+00
0000063   5.1334E+02 -1.3035E+02 -2.8837E+02
0000064   4.9692E+02 -4.0999E+01 -1.3560E+02
0000065   3.7275E+02  5.3567E+01 -2.2278E+02
0000066   3.2797E+02  1.3486E+02 -3.7190E+00
0000067   4.5379E+02  2.1825E+02 -9.7984E+01
0000068   2.7012E+02 -8.8159E+01 -1.2089E+02
0000069   8.1292E+01  3.0136E+01  1.2797E+02
0000070   4.0658E+02  2.7846E+02  2.2573E+02
0000071   1.4981E+02 -3.6079E+01 -8.6528E+01
0000072   5.9423E+02  1.0547E+02  1.5521E+02
0000073   2.5328E+02  9.6797E+00  1.4593E+01
0000074   2.8588E+02 -3.4556E+01 -1.4318E+02
0000075   4.6083E+02 -1.5664E+02 -2.7083E+02
0000076   5.5090E+02 -1.6846E+02  2.7123E+02
0000077   3.7066E+02  1.4328E+02  2.7972E+02
0000078   1.3204E+02  4.7513E+01  1.9390E+02
0000079   1.9152E+02 -1.6207E+01  3.2973E+02
0000080   2.7021E+02 -6.3033E+00 -2.6536E+02
0000081   2.5508E+02  1.0162E+00  7.9246E+01
0000082   2.0350E+02 -5.2601E+01  2.9638E+02
0000083   3.9711E+01 -1.1579E+02 -9.9427E+01
0000084   5.2127E+02  1.1822E+02 -1.6849E+02
0000085   1.4958E+02 -2.0688E+02 -1.4307E+02
0000086   1.6320E+02 -2.0523E+02 -1.1908E+02
0000087   3.7316E+02 -2.0288E+02  8.4265E+01
0000088   1.5208E+02  1.8156E+02  3.9799E+01
0000089   2.9653E+02 -8.1175E+01 -2.9060E+02
0000091   4.2016E+02  1.4154E+02  5.7769E+01
0000092   3.2637E+02  4.8942E+02 -1.8225E+02
0000093   1.0706E+02  1.6655E+02 -1.0029E+02
0000094   1.3393E+02 -5.8545E+01 -8.8787E+01
0000095   1.7345E+02  1.8744E+02 -5.8523E+01
0000096   2.2566E+02 -3.3908E+02 -2.1296E+02
0000097   5.5522E+02  2.4139E+02  5.3964E+01
0000098   2.4330E+02 -4.6447E+01 -5.1242E+01
0000099   2.9528E+02 -1.1244E+02  2.4400E+02
0000100   1.9106E+02  4.3629E+01 -7.7361E+01
0000101   3.0111E+02 -2.2376E+01  2.2576E+02
0000102   5.6092E+02  5.6178E+01 -3.8722E+02
0000103   1.6276E+02 -7.9461E+01 -6.5027E+01
0000104   2.5484E+02 -2.2469E+02 -2.8870E+02
0000105   4.2205E+02 -2.4654E+02 -9.0558E+01
0000106   4.4336E+02 -9.6942E+01 -6.6526E+01
0000107   4.3094E+02  3.6264E+01 -3.8141E+01
0000108   2.1416E+02  3.7572E+01 -3.3445E+01
