============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 3000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.2392E+02  1.9193E+02 -2.0659E+02
0000002   3.2899E+02 -9.8651E+01 -1.7936E+02
0000003   4.1161E+02  6.7635E+01  1.3045E+01
0000004   3.6906E+02  3.1044E+02  8.9195E+01
0000005   4.7230E+02 -2.9162E+02 -2.0525E+02
0000006   3.5920E+02 -2.0879E+02  4.6124E+01
0000007   2.0687E+02 -7.3638E+01 -5.5982E+01
0000008   2.8374E+02  1.2224E+01  2.9845E+02
0000009   1.4849E+01 -2.1934E+02 -5.3299E+01
0000010   4.7272E+01  4.7339E+01  1.9484E+02
0000011   3.4184E+02 -1.7769E+02  1.3441E+00
0000012   2.5375E+02  1.5713E+02 -1.9246E+02
0000013   2.4533E+02  3.6713E+02  5.7323E+01
0000014   2.3751E+02  1.4741E+02  2.2090E+02
0000015   3.9911E+02 -2.7782E+02 -1.9657E+02
0000016   2.6923E+02 -2.4650E+02  1.1854E+02
0000017   9.0834E+01  9.3017E+00  9.9177E+01
0000018   3.9940E+02 -2.1351E+02  1.4365E+02
0000019   3.1518E+02 -2.5938E+02 -2.5750E+02
0000021   3.2918E+02 -3.7640E+01 -2.3815E+02
0000022   2.8533E+02  3.4437E+01 -1.5580E+02
0000023   2.2693E+02 -2.3953E+02  2.3481E+02
0000024   3.8647E+02 -1.8336E+02  1.4801E+02
0000025   4.6955E+02 -6.5581E+00  3.5896E+02
0000026   2.1062E+02  3.5327E+01 -6.7750E+01
0000027   6.3434E+02 -1.2477E+02  2.3996E+02
0000028   4.1788E+02 -1.2680E+02  2.4928E+02
0000029   1.3592E+02 -4.1200E+01  2.8999E+02
0000030   4.5244E+02 -1.4328E+02 -2.8367E+02
0000031   3.3647E+02  1.4114E+02 -1.9229E+02
0000032   1.7468E+01 -1.3241E+02 -1.0998E+02
0000033   3.8400E+02  2.0268E+02 -1.8857E+02
0000034   1.6238E+02  1.1738E+02 -1.9313E+01
0000035   3.3265E+02  2.7357E+02  1.3542E+02
0000036   3.1920E+02  1.4978E+02 -1.8911E+02
0000037   1.2039E+02  1.4144E+02  1.1292E+02
0000038   3.3027E+02  1.5141E+02 -3.6012E+01
0000039   2.0260E+02 -1.7302E+02  7.7232E+00
0000040   1.8511E+02  1.0687E+02 -1.1515E+02
0000041   1.6420E+02  4.2202E+02  5.6927E+01
0000042   5.0356E+02  6.2664E+01 -2.0157E+01
0000043   2.5866E+02  1.2418E+02  7.6271E+01
0000044   2.8253E+02 -3.8231E+01  1.1425E+01
0000045   2.6331E+02 -3.9500E+02 -1.1775E+02
0000046   2.5205E+02 -1.8760E+02  1.3847E+02
0000047   6.2472E+02  1.0261E+02  2.8108E+01
0000050   2.4813E+02  5.6300E+01 -3.7370E+02
0000051   1.0907E+02 -2.3185E+02  5.5180E+01
0000052   3.0560E+02  2.0013E+02  2.1096E+02
0000053   3.5996E+02 -1.4375E+02 -1.6782E+02
0000055   5.7554E+02  1.8981E+02 -4.0276E+01
0000056   3.7471E+02 -7.5639E+01  1.1638E+02
0000057   5.3664E+02 -1.0784E+02 -5.9840E+01
0000058   3.7599E+02 -6.0680E+01 -1.2884E+02
0000060   4.4291E+02  5.7566E+01  4.1791E+01
0000061   3.4443E+02 -2.0742E+02  2.7839E+01
0000062   4.3887E+02 -1.1672E+01 -4.0737E+01
0000063   1.9880E+02  2.0115E+02  2.3292E+02
0000064   3.1444E+02 -3.1844E+01 -1.0854E+02
0000065   5.4028E+02  8.0478E+01  4.4257E+01
0000066   5.2239E+02  8.6207E+01 -9.4723E+00
0000067   1.6552E+02  2.1056E+02  2.2047E+02
0000068   1.3502E+02 -5.2277E+01 -3.1340E+02
0000069   2.2900E+02  4.9173E+02  2.0319E+02
0000070   1.8244E+02  3.4531E+01  4.8151E+01
0000071   5.9085E+02 -3.6133E+02 -1.3027E+02
0000072   2.9270E+02  5.3343E+01  4.1308E+01
0000074   2.8622E+02  2.5065E+02 -7.7311E+01
0000075   3.8081E+02 -1.6960E+02 -3.2420E+01
0000076   2.1257E+02  2.6906E+01  2.5402E+02
0000077   1.1685E+02 -2.0861E+01  2.3269E+01
0000078   1.3402E+01  1.2305E+02  2.5234E+01
0000079   1.6976E+02 -3.9676E+01 -1.8305E+02
0000080   2.5154E+02  1.6479E+02 -1.5135E+02
0000081   6.4145E+02 -4.8689E+01  1.7838E+02
0000082   9.0374E+01  1.2092E+02 -2.9522E+02
0000083   5.7796E+02  1.3633E+02  2.1469E+01
0000084   2.0195E+02  1.1449E+02 -4.8038E+01
0000085   2.0445E+02  1.3183E+01  6.7939E+01
0000086   4.8735E+02 -4.1255E+02  1.6580E+02
0000087   2.0424E+02  9.1438E+01  4.1512E+01
0000088   1.3695E+02  1.9148E+02 -1.4175E+02
0000089   1.9653E+02  1.7449E+02 -3.9977E+01
0000090   3.4188E+02  9.9981E+01  1.1700E+02
0000091   1.9154E+02  2.2626E+02  1.7059E+02
0000092   2.5536E+02 -1.4011E+02  1.6257E+02
0000093   6.9148E+02 -1.3274E+02  3.9951E+01
0000094   6.5983E+02  3.1848E+02  4.4828E+02
0000095   3.0157E+02  5.9636E+00 -1.1810E+02
0000096   4.1245E+02  1.0751E+02 -9.8810E+01
0000097   1.3254E+02 -1.6386E+02  9.6131E+01
0000098   2.9633E+02  1.0522E+02 -1.0854E+02
0000099   1.3546E+02 -1.1031E+02  3.4412E+01
0000100   2.5677E+02  6.4318E+00  1.6417E+02
0000101   1.8306E+02  9.7607E+01 -1.4932E+02
0000102   4.2020E+02  3.3254E+02  2.3215E+01
0000103   6.4673E+02  1.0473E+02  1.1092E+02
0000104   3.5427E+02 -4.3914E+01 -3.9374E+01
0000105   3.3889E+02  8.9100E+01 -2.0320E+02
0000106   3.4722E+02  7.5758E+01 -3.0006E+02
0000107   2.4404E+02  1.6503E+02  1.4560E+02
0000108   5.3532E+02 -4.3006E+01  6.3457E+01
0000109   9.5659E+01 -2.2974E+01  4.2447E+01
0000110   1.3589E+02  5.4066E+00  2.2664E+02
0000111   2.6680E+02  1.5170E+02  2.3953E+02
0000113   3.2019E+02 -2.0989E+02  1.4165E+02
0000114   1.8341E+02 -7.7848E+01  3.4552E+02
