### Start time: 2025-02-25 10:12:42.313184 ###
2.16964006e-01	-2.378e-02	
7.19962120e-01	-2.371e-02	
1.22135210e+00	-2.371e-02	
1.72231603e+00	-2.370e-02	
2.23468709e+00	-2.371e-02	
2.79759812e+00	-2.383e-02	
3.29885197e+00	-2.370e-02	
3.80023003e+00	-2.374e-02	
4.30144620e+00	3.788e+01	
4.80672812e+00	3.981e+01	
5.36088920e+00	4.009e+01	
5.86211920e+00	4.002e+01	
6.36418319e+00	4.010e+01	
6.86539412e+00	3.985e+01	
7.36656117e+00	3.992e+01	
7.86782002e+00	3.974e+01	
8.37911105e+00	4.005e+01	
8.93119216e+00	3.972e+01	
9.43247914e+00	3.987e+01	
9.93368220e+00	3.997e+01	
1.04348252e+01	3.999e+01	
1.09636850e+01	3.999e+01	
1.14862540e+01	3.996e+01	
1.19874611e+01	4.013e+01	
1.24887002e+01	3.989e+01	
1.29898560e+01	3.997e+01	
1.34912982e+01	3.969e+01	
1.39925671e+01	3.984e+01	
1.45039210e+01	3.979e+01	
1.50508311e+01	3.989e+01	
1.55521271e+01	3.991e+01	
1.60536890e+01	3.970e+01	
1.65549810e+01	3.987e+01	
1.70662570e+01	3.978e+01	
1.76037052e+01	3.999e+01	
1.81150482e+01	1.259e-03	
1.86568620e+01	2.248e-04	
1.91583760e+01	-2.375e-02	
1.96593120e+01	-2.371e-02	
2.01614251e+01	-2.368e-02	
2.06635001e+01	-2.370e-02	
2.11656671e+01	-2.368e-02	
2.16677511e+01	-2.374e-02	
2.21698742e+01	-2.366e-02	
2.26719980e+01	-2.379e-02	
2.31740360e+01	-2.378e-02	
2.36761801e+01	-2.380e-02	
2.41782482e+01	-2.372e-02	
2.46804152e+01	-2.371e-02	
2.51825511e+01	-2.369e-02	
2.56846142e+01	-2.377e-02	
2.61866870e+01	-2.387e-02	
