### Start time: 2026-02-21 10:52:44.751287 ###
# Time(s)	Ch0(uA)	Ch1(uA)	Ch2(uA)	Ch3(uA)
6.39610291e-02	-1.141e-02	-2.436e-02	-2.030e-04	-7.420e-03	
5.71615934e-01	-1.070e-02	-2.477e-02	-1.309e-03	-6.061e-03	
1.07980394e+00	-1.067e-02	-2.376e-02	-5.285e-05	-5.903e-03	
1.58457088e+00	-1.002e-02	-2.337e-02	-7.271e-04	-5.494e-03	
2.08965611e+00	-1.028e-02	-2.436e-02	1.616e-04	-5.997e-03	
2.59476900e+00	-1.010e-02	-2.331e-02	-4.243e-04	-5.174e-03	
3.10105610e+00	-1.105e-02	-2.267e-02	5.855e-04	-6.593e-03	
3.60651112e+00	-1.102e-02	-2.283e-02	3.250e-04	-6.276e-03	
4.11051488e+00	-1.070e-02	-2.275e-02	9.682e-05	-6.695e-03	
4.61510205e+00	-1.115e-02	-2.406e-02	-4.819e-04	-6.267e-03	
5.12050200e+00	-1.054e-02	-2.314e-02	-9.066e-04	-6.998e-03	
5.62563491e+00	-1.000e-02	2.359e+00	-7.041e-04	-6.610e-03	
6.13016701e+00	-1.016e-02	2.576e+01	-7.791e-04	-6.685e-03	
6.63526893e+00	-9.554e-03	2.560e+01	-1.053e-03	-6.381e-03	
7.14016199e+00	-1.024e-02	2.562e+01	-1.051e-03	-6.300e-03	
7.64490199e+00	-1.193e-02	2.578e+01	-1.887e-04	-7.373e-03	
8.14988208e+00	-1.179e-02	2.558e+01	-6.637e-04	-7.220e-03	
8.65465593e+00	-1.167e-02	2.582e+01	-8.103e-04	-5.891e-03	
9.16084695e+00	-1.221e-02	2.577e+01	1.976e-04	-5.599e-03	
9.66647911e+00	-1.041e-02	2.582e+01	5.911e-04	-5.606e-03	
1.01711161e+01	-1.138e-02	2.580e+01	-5.113e-04	-6.051e-03	
1.06758089e+01	-1.175e-02	2.587e+01	-2.199e-04	-5.947e-03	
1.11801569e+01	-1.142e-02	2.591e+01	-1.200e-03	-6.328e-03	
1.16842210e+01	-1.073e-02	2.579e+01	4.681e-04	-6.622e-03	
1.21890781e+01	-1.107e-02	2.580e+01	-1.735e-05	-6.237e-03	
1.26940789e+01	-1.125e-02	2.556e+01	1.044e-04	-5.748e-03	
1.32010720e+01	-1.104e-02	2.562e+01	-3.687e-04	-6.219e-03	
1.37063930e+01	-1.093e-02	2.565e+01	6.042e-04	-5.013e-03	
1.42129021e+01	-1.104e-02	2.559e+01	9.694e-04	-5.242e-03	
1.47184219e+01	-1.145e-02	2.565e+01	7.164e-04	-4.647e-03	
1.52228200e+01	-1.193e-02	2.566e+01	4.895e-04	-4.680e-03	
1.57284200e+01	-1.097e-02	2.566e+01	1.484e-04	-4.630e-03	
1.62340250e+01	-1.233e-02	2.558e+01	4.704e-04	-4.571e-03	
1.67402310e+01	-1.221e-02	2.571e+01	-1.445e-05	-4.966e-03	
1.72482240e+01	-1.140e-02	2.570e+01	-1.073e-03	-3.971e-03	
1.77535319e+01	-1.193e-02	2.567e+01	-6.150e-04	-4.357e-03	
1.82585461e+01	-1.237e-02	2.584e+01	-3.541e-04	-4.922e-03	
1.87638290e+01	-1.007e-02	2.585e+01	-1.238e-03	-4.388e-03	
1.92729199e+01	-1.114e-02	2.590e+01	-1.224e-03	-5.861e-03	
1.97775760e+01	-9.974e-03	2.587e+01	-9.518e-04	-5.248e-03	
2.02821009e+01	-1.028e-02	2.587e+01	-6.294e-06	-5.431e-03	
2.07878110e+01	-1.101e-02	2.558e+01	-9.292e-05	-5.931e-03	
2.12937391e+01	-9.778e-03	2.559e+01	8.951e-04	-5.919e-03	
2.17978041e+01	-1.120e-02	2.563e+01	1.440e-04	-6.517e-03	
2.23024089e+01	-1.039e-02	2.557e+01	-4.920e-04	-5.752e-03	
2.28073199e+01	-1.054e-02	2.561e+01	-1.419e-03	-4.165e-03	
2.33119071e+01	-1.084e-02	2.561e+01	4.725e-05	-4.822e-03	
2.38167760e+01	-1.075e-02	2.590e+01	3.372e-04	-5.189e-03	
2.43211851e+01	-1.233e-02	2.587e+01	-3.005e-04	-4.263e-03	
2.48261261e+01	-1.154e-02	2.594e+01	-1.609e-04	-4.312e-03	
2.53311570e+01	-1.187e-02	2.577e+01	-4.821e-04	-4.206e-03	
2.58372591e+01	-1.026e-02	2.572e+01	-3.549e-04	-2.755e-03	
2.63422799e+01	-1.041e-02	2.587e+01	-1.108e-03	-3.563e-03	
2.68471520e+01	-1.043e-02	2.594e+01	-6.647e-05	-4.278e-03	
2.73518829e+01	-1.135e-02	2.596e+01	2.350e-06	-4.233e-03	
2.78571820e+01	-1.185e-02	2.610e+01	7.987e-04	-4.039e-03	
2.83625240e+01	-1.126e-02	2.611e+01	-1.282e-04	-4.089e-03	
2.88675981e+01	-1.015e-02	2.615e+01	1.211e-04	-4.677e-03	
2.93721471e+01	-1.135e-02	2.614e+01	6.390e-05	-3.965e-03	
2.98772020e+01	-1.091e-02	2.609e+01	5.597e-05	-4.733e-03	
3.03816080e+01	-9.755e-03	2.612e+01	-3.749e-04	-3.793e-03	
3.08880551e+01	-1.105e-02	2.611e+01	1.201e-04	-3.846e-03	
3.13934131e+01	-1.158e-02	2.609e+01	-7.908e-04	-3.302e-03	
3.18983641e+01	-1.144e-02	2.614e+01	-6.238e-04	-4.093e-03	
3.24033520e+01	-1.176e-02	2.617e+01	-1.089e-03	-3.371e-03	
