Run Number,Scan,Dead Time,Charge,Energy,Yield,Yield Error
2978,Scan 1,0.001069264583580809,3121.9777873086996,329.9,1.019675384619208,0.01807240969457761
2979,Scan 1,0.0017319766183157004,2905.5583733416997,331.8,1.2170206309985196,0.020466056454398102
2980,Scan 1,0.0016542597187758634,2733.5117343559996,333.8,2.0249251236092993,0.027217235626495417
2981,Scan 1,0.001316857580950681,2807.968216492,335.8,3.2703692198041185,0.034127329018172205
2982,Scan 1,0.0018799348289259,2567.8873399276,337.8,5.9393852341292925,0.04809309917245712
2983,Scan 1,0.0024343592418709648,2554.9832457864,338.8,8.886662105554693,0.05897599889786263
2984,Scan 1,0.0030893332189135814,2840.6015256654,339.8,15.15417987929146,0.07304004986356984
2985,Scan 1,0.004582113864205262,2504.2936658327,340.8,28.3245627925982,0.10635036382646448
2986,Scan 1,0.007093392079470462,2773.5509199689,341.8,46.145488104984736,0.12898718066529702
2987,Scan 1,0.00962789921575169,2558.1480863542,342.8,61.8254811820929,0.15546080487943792
2988,Scan 1,0.010953038624994194,2574.3705357982,343.8,71.69032681067623,0.16687633459457782
2989,Scan 1,0.011527556417896712,2863.7375269981,344.7,80.18933290706356,0.16733689067010654
2990,Scan 1,0.011843618005048628,2568.5913907659997,345.7,81.88931474425605,0.17855257064541338
2991,Scan 1,0.012844224872954668,2375.6502881072,346.7,78.30459700485328,0.18155255888891225
2992,Scan 1,0.012275682884526407,2529.7391513367,347.7,75.26439281173134,0.17248721501484968
2993,Scan 1,0.010084124446034792,2888.6186378112006,349.7,61.47426077181018,0.14588194768700985
2994,Scan 1,0.007243318862111048,2538.6802937982,351.7,44.55436429141526,0.13247719371136651
2995,Scan 1,0.005153668851677229,2564.1058529587,353.7,29.55476777291996,0.10736081523129354
2996,Scan 1,0.003296120513147538,2788.2759223701996,356.7,15.519853960364305,0.07460637535156116
2997,Scan 1,0.0022706526700136953,2514.50887666594,359.7,8.675863388824322,0.058739435147012166
2998,Scan 1,0.001457611711048079,2819.7139396169005,363.6,4.455882461884042,0.03975249005001616
2999,Scan 1,0.001086460528888944,2573.725181063,368.6,2.459811286734321,0.030915039741923264
3015,Scan 2,0.0015057239653682997,3380.3066354392995,329.9,0.9566792789221281,0.016823065459620364
3016,Scan 2,0.0016752645854385406,2552.2921035548006,331.9,1.3061140735579415,0.02262170663965937
3018,Scan 2,0.0012997400519896285,4295.164036107,333.9,1.918135863901533,0.021132447829001266
3019,Scan 2,0.0017706869169967776,2860.267080741,335.9,3.060378440303591,0.032710280851794435
3020,Scan 2,0.0015603820571824523,2377.9743145006996,337.8,5.7613649315675755,0.04922198375538048
3021,Scan 2,0.002301166923108333,2024.5870636929,338.8,8.775064594264737,0.06583501399849645
3022,Scan 2,0.0030363550749346047,2345.7242507946903,339.8,14.88581767702904,0.07966138793709446
3023,Scan 2,0.004465353640060621,2113.9441855929,340.8,28.078816188619662,0.11525045236561046
3024,Scan 2,0.007032873540774642,2103.7531137940996,341.8,44.348911757012786,0.14519247145959094
3025,Scan 2,0.009096752136752095,2038.6742336411999,342.8,58.993264663740135,0.17010900262822773
3026,Scan 2,0.010030052292583358,2461.0595138362005,343.8,67.51300716058824,0.16562758456421864
3027,Scan 2,0.010995182275389204,2317.6976027463998,344.8,74.04325815790165,0.17873696313358817
3028,Scan 2,0.01150532626425671,2059.3543363013,345.8,75.32443545835979,0.19125042257882388
3029,Scan 2,0.010890112934504481,2181.560698194,346.8,73.4900179488072,0.18353991499513306
3030,Scan 2,0.009873044373310935,2078.7799935305,347.8,68.53423126527207,0.18157226394736958
3031,Scan 2,0.008207927498306677,2404.9040095413,349.8,54.574427612921774,0.15064187809291593
3032,Scan 2,0.005573720684616368,2321.414854892,351.8,38.29409637199826,0.12843681678766916
3033,Scan 2,0.0038194032464927696,2157.5050983497,353.7,25.364953690769802,0.1084279187203494
3034,Scan 2,0.00244015036602252,2742.2688968,356.7,13.416911798223582,0.06994734965151428
3035,Scan 2,0.0020564086399182946,2070.6189219366997,359.7,7.519983622229995,0.06026405602470202
3036,Scan 2,0.0017641277228471752,5413.7429983285,363.7,3.9119628214514908,0.02688119317387171
3037,Scan 2,0.0015021711066776078,2365.1957822392324,368.6,2.1684057741703007,0.03027866545975902
3044,Scan 3,0.0010519987977156697,2101.017908759568,329.9,0.82189523554135,0.01977850012084277
3045,Scan 3,0.0010181511778956098,2116.7204847514,331.9,1.1335662941789797,0.023141510642265058
3046,Scan 3,0.0010196946742804247,2294.8625580585904,333.9,1.651892185035321,0.02682949567609601
3047,Scan 3,0.0011887438257055516,2773.1888067785,335.9,2.707686606585014,0.031247082860669923
3048,Scan 3,0.0017425052473168945,2039.9146159744,337.9,5.123848299439108,0.050117815932531735
3049,Scan 3,0.0018098058571898168,2066.4997061312,338.9,8.122613434745492,0.06269461194716515
3050,Scan 3,0.0025996619451006397,2093.9993051593,339.9,13.672128142977474,0.0808034294563305
3051,Scan 3,0.004630222683898788,5243.6609844993,340.9,25.76473777805764,0.07009637520992004
3052,Scan 3,0.006617410674913282,2742.1886099257,341.9,41.52762053077833,0.12306083637174813
3053,Scan 3,0.0087713578594939,2091.69062572508,342.9,55.634771165462766,0.16308890919997399
3054,Scan 3,0.009800355053694587,2147.3080914479,343.8,63.321872721203775,0.1717234855369557
3055,Scan 3,0.010256067075671726,2296.2390892297,344.8,66.26468443695738,0.16987619084896133
3056,Scan 3,0.009891709040868668,2067.2364704546,345.8,66.33271353533341,0.1791301966813202
3057,Scan 3,0.00968159748770503,2130.8035670076,346.8,63.69853907041197,0.17289921774220096
3058,Scan 3,0.008880502709159188,2236.431935430438,347.8,59.05156322364077,0.16249419728630246
3059,Scan 3,0.007288849844202527,2076.4580922542004,349.8,45.59498700318197,0.1481825154784401
3060,Scan 3,0.004901865809001649,2086.796889346,351.8,31.1278078145056,0.12213332422284928
3061,Scan 3,0.003309997160881095,2143.2930005423,353.8,20.438173593641352,0.09765180358991338
3062,Scan 3,0.002599869412951872,2096.0184298472996,356.8,10.696130768628034,0.0714357820290898
3063,Scan 3,0.001713589758114753,2529.1508758740997,359.7,6.306595813743203,0.0499355836350917
3064,Scan 3,0.001446393057313311,2849.9845075392004,363.7,3.2278441471254666,0.03365387125420162
3065,Scan 3,0.0016337877051378902,2598.4827819600996,368.7,1.8429307882628825,0.026631436383296545
3070,Scan 4,0.0011086792380697874,8878.8440909899,329.9,0.8144097141677482,0.009577303663012026
3071,Scan 4,0.0010855565777369014,4062.674083085585,331.9,1.1615804709822595,0.016909028615859318
3072,Scan 4,0.001298535033012027,3648.464745247,333.9,1.6886555592242651,0.021513717424526037
3073,Scan 4,0.0012308533916849385,1974.0538616048998,335.9,2.847398764521603,0.037979098087515636
3074,Scan 4,0.0015544912192252403,1882.0678296265,337.9,5.178958860327712,0.05245701752916769
3075,Scan 4,0.0018010883171959424,2266.7412194152,338.9,8.511226503351795,0.061276662517953225
3076,Scan 4,0.002574349142063115,1813.4855217853,339.9,14.57471946407445,0.08964850586297253
3077,Scan 4,0.004013453651731558,3208.3151409653,340.9,27.16309329995485,0.09201340499466137
3078,Scan 4,0.006633689638374851,1889.6838442513,341.9,43.77864092886574,0.15220767865617754
3079,Scan 4,0.009160111729300313,1785.9700078352,342.9,57.110878415099364,0.17882257293849763
3080,Scan 4,0.010826106025664584,1858.2472798173003,343.8,63.163660400292315,0.1843664494506231
3081,Scan 4,0.011707389718005667,2350.4444864852003,344.8,66.47303403241322,0.16816970087696137
3082,Scan 4,0.010559423512554234,1727.4766534183,345.8,64.9869490021727,0.19395768003475028
3083,Scan 4,0.010732960827083415,1804.6696695188,346.8,61.61820781041878,0.18478030158328118
3084,Scan 4,0.009870452479582514,1706.1173351553,347.8,56.18793697011829,0.1814751213344399
3085,Scan 4,0.007347265989791407,1839.2603603629002,349.8,41.98117665554754,0.1510795553349196
3086,Scan 4,0.004660667131171969,1959.9862368251995,351.8,27.976503071849432,0.11947311952181261
3087,Scan 4,0.0035646158885527246,1741.65931866364,353.8,18.086365159887777,0.10190465982085468
3088,Scan 4,0.0020679733860816674,1859.5247580471,356.8,9.570619180303078,0.07174126585021151
3089,Scan 4,0.001550351178032039,1750.9246443988002,359.7,5.42326120870238,0.05565401920034502
3090,Scan 4,0.0011917767404906465,1689.5915997043999,363.7,2.99067660792184,0.0420720676462378
3091,Scan 4,0.0010100362330458523,4505.82024971694,368.7,1.7026308904986642,0.019438973288530916
3095,Scan 5,0.0009124563324469648,4708.474720388127,330.0,0.8122566026034598,0.013134287051556144
3096,Scan 5,0.0013661503206046088,5125.5205278687,332.0,1.177098459194531,0.015154353267607818
3097,Scan 5,0.0012791813239526606,3613.5112126071,333.9,1.6969211880678108,0.021670360336412675
3098,Scan 5,0.0015705053937848934,2853.0327292772204,335.9,2.68873446232584,0.030698742071164947
3099,Scan 5,0.0019901769249027756,2766.9342436503,337.9,5.041233102409629,0.04268437930831021
3100,Scan 5,0.002936093326525002,3720.1539069384,338.9,7.8385515831459305,0.045902618092099085
3101,Scan 5,0.004154774715762866,2474.4905183782475,339.9,13.55201296075373,0.0740046496839161
3102,Scan 5,0.003525988021573112,1298.4145126266,340.7,23.841501089709997,0.13550649665300551
3103,Scan 5,0.006011703518225442,1523.3060282616004,341.7,38.92353048037866,0.15984996010654534
3104,Scan 5,0.008221936738307734,1889.3687166866,342.7,50.30967392552348,0.1631801737228048
3105,Scan 5,0.010409897644459543,1848.2174700469,343.7,56.530486474355435,0.17488993884216972
3106,Scan 5,0.00995231043056477,1661.7043821844002,344.7,58.51990972650509,0.18766139534256282
3107,Scan 5,0.010343791868733354,1694.515141993,345.7,57.409494117299495,0.18406411751968998
3108,Scan 5,0.009853847834868534,1834.6620554965,346.7,54.162110329706316,0.1718184311644453
3109,Scan 5,0.008920198193807516,1784.9685392062001,347.7,48.8579646886057,0.165444526114665
3110,Scan 5,0.006670763671126068,1796.2551656657001,349.6,34.758698879760345,0.13910660149976725
3111,Scan 5,0.004523991083998147,1796.0731946594,351.6,24.40339734576905,0.1165636478012936
3112,Scan 5,0.003136606576682688,1684.2562838336003,353.6,16.015738812482986,0.09751454543832987
3113,Scan 5,0.0018491733645801256,1683.0929988139,356.6,8.66676639602261,0.07175868782863344
3114,Scan 5,0.0014965659157112343,1663.8114853181003,359.6,4.975557163835608,0.05468507362165621
3115,Scan 5,0.0006673562681437373,1819.5494694479999,363.6,2.663975293850725,0.038263365178644745
3116,Scan 5,0.0007868508480504133,1668.9244400758996,368.5,1.4667687128231788,0.02964575270117645
