Run Number,Scan,Dead Time,Charge,Energy,Yield,Yield Error
899,Scan 1,0.0015483711135885203,6886.6480765505,329.4093052,5.342361866054711,0.02785240526959405
900,Scan 1,0.002248308364139473,8845.87523239038,331.4038516,7.212564460500929,0.02855449270975573
901,Scan 1,0.002931083135348733,7912.23290468948,333.3904516,10.097677909053987,0.03572409416821143
902,Scan 1,0.0038291605301914444,2169.2893521164424,335.3899645,15.58503847355597,0.08476082927948636
903,Scan 1,0.00525941309949618,1447.7540870117841,337.3855042,27.868128766238737,0.13874153798810077
904,Scan 1,0.007950931394820504,1162.800972179565,338.3788042,39.90878215579454,0.1852599508497973
905,Scan 1,0.010092816953468309,587.4985896791741,339.3730975,65.74283556742553,0.3345190091256426
906,Scan 1,0.018786172870742246,419.73147510099994,340.3663975,121.86098722655544,0.5388235604032249
907,Scan 1,0.020220891257761386,261.14318254607997,340.8600676,167.4453171278991,0.8007503863659359
908,Scan 1,0.015248014017541611,191.25610526424,341.3666506,213.79439552953755,1.0572811865575802
909,Scan 1,0.015143001085103136,159.43867408404398,341.8603207,258.85803366223024,1.2741893972043579
910,Scan 1,0.015187502660366947,167.90302252977898,342.3669037,276.77152155490205,1.2839007233360746
911,Scan 1,0.01559725773703835,155.55095233135543,342.8605738,302.4983858192943,1.3945214332654539
912,Scan 1,0.012661458665670033,135.1381488992,343.3542439,323.3076270908535,1.5467459665380663
913,Scan 1,0.012919706687740007,133.35570350459602,343.847914,323.9770348600176,1.5586597327068774
914,Scan 1,0.012545840571318245,120.530392036166,344.8481671,343.2079070024938,1.687447841593123
915,Scan 1,0.009989297181591139,111.39421194133999,346.8357604,358.7910358011363,1.7946901500222594
916,Scan 1,0.009931072457497914,109.80651478365401,348.8293135,367.23199224578707,1.8287578385873793
917,Scan 1,0.010378154550120477,123.29919834571,350.8159135,369.4898795966932,1.7310959776775017
919,Scan 1,0.009833175098331703,129.24621115127002,351.8171599,362.3120726126221,1.6742969742747071
920,Scan 1,0.00979645930529316,119.73837406907901,351.3244831,370.52980123095494,1.7591176798067574
921,Scan 1,0.00921142461202984,108.614110388629,352.8045001,357.5941419649525,1.8144795301240737
923,Scan 1,0.009478941991145406,116.32355255188301,353.8047532,359.43123002777713,1.7578186825821205
924,Scan 1,0.009227213766617726,202.6304370919598,354.3043831,344.1858499971537,1.3032993099199497
925,Scan 1,0.00966244844658648,245.97582467850796,354.7980532,342.96925312057334,1.1808136943680418
927,Scan 1,0.008125282726234806,302.6856332007889,356.7856465,303.16805081890476,1.0007965781986996
928,Scan 1,0.006012506012506025,365.31711803619,358.7791996,230.8213558474468,0.7948825854859554
929,Scan 1,0.005057917736006057,749.39798443819,360.773746,185.0222578875866,0.49688481862170597
930,Scan 1,0.0031269789063919085,705.71141892782,362.7543862,105.0938290969523,0.3859002283716987
931,Scan 1,0.002086881195428547,579.44339882163,364.7548924,57.862370951116404,0.3160040165919902
932,Scan 1,0.0018611790665323813,1093.9429876873,366.7494388,30.634478124919458,0.16734313422495634
933,Scan 1,0.0019071245833010009,987.6938115086,368.7360388,20.539451606753282,0.14420597514271877
934,Scan 1,0.0018386723517570536,1390.7958666995003,370.716679,14.604117251479074,0.10247217631086654
936,Scan 2,0.0014380530973451267,3567.9758315042995,329.4073186,2.809271888372894,0.028059888095987338
937,Scan 2,0.001743620695436432,2348.2993016543996,331.421731,3.8068346922551894,0.04026292153731233
938,Scan 2,0.001940008953887462,1977.2393832867,333.408331,5.4433874697768125,0.052469267165515365
939,Scan 2,0.00264236204189483,2139.3487819287,335.3899645,10.687558876915555,0.07068031283267406
940,Scan 2,0.0036149905073989963,956.4895020612998,337.3904707,14.524174300262786,0.12322692809527215
941,Scan 2,0.006614260484122281,715.3151415801001,339.3840238,31.27287463535113,0.2090909293124814
942,Scan 2,0.019646302479727207,1117.3739745057342,341.3716171,101.17108256057833,0.30090466633728097
943,Scan 2,0.028989740484576587,895.0800469774998,343.3592104,207.2102038789646,0.4811435088041746
944,Scan 2,0.021057971283459875,282.10957891450005,345.3398506,230.43867207356126,0.9037925676836747
945,Scan 2,0.014669001504738599,168.1983181375,347.3334037,269.4486576754713,1.265689530620928
946,Scan 2,0.01555605373810054,258.5455694926,349.3339099,282.64174380573144,1.0455615452988523
947,Scan 2,0.014619625526218427,244.2224300146,351.3215032,281.8218961284377,1.0742233597856834
948,Scan 2,0.012908280859484478,272.15845505002994,353.3090965,257.313212859682,0.9723444245541187
949,Scan 2,0.011180336734524898,330.3916369947,355.3096027,218.4006489271558,0.8130409861704256
950,Scan 2,0.0074911229910298305,433.4578377491,357.297196,160.42369865288725,0.6083602537747329
951,Scan 2,0.013764472394722671,897.257328864,359.2510171,89.90322716810363,0.31654039031966363
952,Scan 2,0.008104228773324507,699.8637833527999,361.2783424,51.14147631497923,0.2703210528725411
953,Scan 2,0.003636533171709644,1137.5872268093,366.246829,14.003260007166336,0.11094870125882907
954,Scan 2,0.0037464238681258477,2341.8876771536993,371.2153156,6.8860759414710495,0.05422541360270631
