Run Number,Scan,Charge,Energy,Yield,Yield Error
1126,Scan 1,22118.5681707166,329.4093052,1.4892464894545119,0.008205495045892476
1127,Scan 1,18667.749338413,331.4098114,2.0074728517426013,0.010370002474144888
1128,Scan 1,11999.8562537208,333.4172707,2.8567008866769372,0.015429233905957898
1129,Scan 1,7850.62206890436,335.3979109,4.4079309507290425,0.023695471561668444
1130,Scan 1,4513.7037457861,337.3924573,7.884434159690746,0.04179446207576825
1131,Scan 1,3134.1483622202,339.3730975,19.40399527127658,0.07868388674004564
1132,Scan 1,1332.0744172000998,340.3803037,37.74488823656108,0.168331280858802
1133,Scan 1,1641.4389162716,341.3666506,64.78584060962045,0.19866789318200503
1134,Scan 1,1330.1553451798998,342.3669037,80.19739978985125,0.24554379386178302
1135,Scan 1,1098.1364724257,343.3671568,85.63689701724465,0.27925586516202655
1136,Scan 1,1165.8202677165,344.354497,87.64129671559829,0.2741817832446086
1137,Scan 1,936.9118479998999,346.3490434,88.51419712221299,0.30736690333620753
1138,Scan 1,1242.5737517308,349.3358965,87.27369288860858,0.2650211833836239
1139,Scan 1,981.91635021895,352.3177831,85.64477002674218,0.2953338166755309
1140,Scan 1,1280.3938102152003,355.3115893,83.23532896655266,0.2549658805444487
1141,Scan 1,842.6203997519001,358.2924826,81.04479789488506,0.31013200524903684
1142,Scan 1,1351.4532324145002,363.2609692,77.95164307076001,0.24016633251264508
1143,Scan 1,937.1781001855,368.2493218,72.59132494296901,0.27831159218324786
1144,Scan 1,1519.1049213931,373.2108553,67.56083701307543,0.21088885329672152
1145,Scan 1,1102.4879247949,378.1992079,62.971211238359274,0.2389924067187632
1146,Scan 1,1782.7430782411002,383.1676945,56.528055685638776,0.17806872311640362
1147,Scan 1,769.02406269616,388.1431342,50.09206066315245,0.2552198707540778
1148,Scan 1,1585.5743431776998,393.1116208,43.68070175832679,0.1659783712899414
1149,Scan 1,1996.3847374409002,398.0870605,38.271180182403,0.13845664600069832
1151,Scan 2,16245.740555403703,220.529719,0.426634906322851,0.005124581874383633
1152,Scan 2,9013.9667677553,222.5371783,0.80064639530474,0.009424588566987252
1153,Scan 2,1475.9426143593,224.5307314,5.561191824224856,0.06138315429192834
1154,Scan 2,1249.8592791204,226.5252778,11.435687391990905,0.09565343665097861
1155,Scan 2,3036.8052516424,227.5185778,11.845013762586767,0.06245386410627499
1156,Scan 2,3112.9679150319002,228.5188309,11.570308780272445,0.06096564212267884
1157,Scan 2,3245.8178607457,229.5061711,11.43625477230937,0.05935807908100346
1158,Scan 2,3202.6892274578995,231.5066773,11.19278127039918,0.059116894103446
1159,Scan 2,3366.0397762188004,234.4875706,10.946394709984832,0.057026396607881114
1160,Scan 2,3456.5222975320994,237.4883299,10.822727811334941,0.05595626093388146
1161,Scan 2,3518.3136214732003,240.4761763,11.536492867570013,0.05726241051272039
1162,Scan 2,3208.7448737039995,243.4640227,11.581163807860914,0.06007703744127305
1163,Scan 2,3565.5354231489,241.9641397,11.69754189769502,0.05727761513336713
1164,Scan 2,3394.9847833827002,239.9765464,11.724942095421717,0.05876739462387767
1165,Scan 2,3396.4984917227002,239.4759232,11.684680589942143,0.05865333480974415
1166,Scan 2,2998.6087690758,238.4826232,11.87484021497567,0.06292945693813086
1167,Scan 2,3176.5685854538006,246.4439227,11.33739097116176,0.05974168167888468
1168,Scan 2,3517.2449714909,249.4397155,11.090214163691192,0.05615244326906595
1169,Scan 2,6507.1844037642995,252.4206088,10.931917029867632,0.04098751667409719
1170,Scan 2,3244.0629751177003,257.4020083,10.6828998899883,0.057385205490583076
1171,Scan 2,3233.5223838330003,262.3704949,10.50124167062321,0.05698786552074671
1172,Scan 2,3444.4458232605516,267.3459346,10.367415204747365,0.0548624965891764
1173,Scan 2,3446.4916867669,272.320381,10.320930161119467,0.05472311390217755
1174,Scan 2,3349.1033608346993,277.2888676,10.694504212337389,0.056508795775451495
1175,Scan 2,3249.1975387614,282.2712604,11.268628503872781,0.05889080257577728
1176,Scan 2,2932.4113648492,287.2457068,12.383665005290776,0.06498485446030358
1177,Scan 2,2512.5549276494,292.2211465,14.371427108971297,0.07562966311439913
1178,Scan 2,3247.7975941748005,237.902536,11.024393904416733,0.05826166386503978
1180,Scan 3,16146.76319011,329.4093052,1.2903514936517788,0.008939459815267753
1181,Scan 3,20254.454464568204,331.4098114,1.7132527593228257,0.009197090178317987
1182,Scan 3,10401.7824242481,333.4172707,2.392186164362949,0.015165041546566605
1183,Scan 3,5911.7017495851,335.3979109,3.6632429911606894,0.02489296370939304
1184,Scan 3,3846.6183026407,337.3924573,6.322176542264416,0.040540935188338734
1185,Scan 3,3807.7470130770002,339.3730975,14.289814899238864,0.06126031964886119
1186,Scan 3,3590.5246990318997,340.3803037,26.25382302074578,0.08551008091069522
1187,Scan 3,1359.24301598864,341.3666506,46.91802661469992,0.1857895631377949
1188,Scan 3,845.5137166699998,342.3669037,62.627014743826955,0.2721576376290267
1189,Scan 3,734.7776237759999,343.3671568,73.32558621358471,0.3159001344409132
1190,Scan 3,462.51052040419995,344.354497,78.94306916108896,0.413139001536545
1191,Scan 3,639.0105527646,346.3490434,80.31948733545752,0.35453282297771516
1192,Scan 3,2049.5630421686,349.3358965,80.8006373030496,0.1985531367641985
1193,Scan 3,1823.4979345973,352.3376491,79.73302148659054,0.20910598973279082
1194,Scan 3,910.0508367476999,355.3115893,77.48248466206162,0.29178901827490455
1195,Scan 3,2232.9707305139004,358.2924826,77.1178939548254,0.1858386599343792
1196,Scan 3,782.6782224491,363.2609692,74.48271630400599,0.3084864751975977
1197,Scan 3,1361.0281374395,368.2493218,68.98167452777838,0.2251299705009373
1198,Scan 3,997.141267985,373.2108553,63.20669099109846,0.25176953749455333
1199,Scan 3,2056.3849723156,378.1992079,58.144754805011054,0.16815239640503926
1200,Scan 3,1478.7583277635001,383.1676945,52.11466847091536,0.18772900917040838
1201,Scan 3,1425.3205309270998,388.1431342,45.402419031954466,0.17847739801195694
1202,Scan 3,903.2772061587,393.1116208,39.98440318625119,0.21039469420991083
1203,Scan 3,1094.7424264893,398.0870605,35.43025195833963,0.17989999268832252
1207,Scan 4,4864.4123628234,329.4093052,1.2531832306383175,0.0160506304482902
1208,Scan 4,3069.9411484557004,331.4098114,1.694820763133297,0.023496158486167436
1209,Scan 4,2754.1091656883,333.4172707,2.3916989500863863,0.029468815597760788
1210,Scan 4,3170.1829934361003,335.3979109,3.5332345240611653,0.03338443777919893
1211,Scan 4,3099.0503114814,337.3924573,6.102514673587127,0.044375177450936984
1212,Scan 4,4394.875303475699,339.3730975,13.693221273515197,0.05581867644588421
1213,Scan 4,2752.3220166245,340.3803037,24.827036802838812,0.09497576971653429
1214,Scan 4,3005.4138337330996,341.3666506,44.631124836937204,0.12186157186479737
1215,Scan 4,2702.3002249837,342.3669037,60.92957343442221,0.15015758336323168
1216,Scan 4,2747.542541933,343.3671568,70.0906344709461,0.15971944148006986
1217,Scan 4,2245.7858957754997,344.354497,75.39988576761785,0.18323193542503052
1218,Scan 4,1608.337968946,346.3490434,78.87459131685725,0.2214521513223509
1219,Scan 4,1753.2906475613001,349.3358965,79.71924118480374,0.21323309962044712
1220,Scan 4,1508.3918290366,352.3376491,78.82368341648916,0.22859739506358553
1221,Scan 4,2097.8957084639796,355.3115893,77.05101800239247,0.19164488976680963
1222,Scan 4,1769.4285575431002,358.2924826,75.63967441886385,0.20675608939312376
1223,Scan 4,1528.9462040137,363.2609692,70.60680076029195,0.2148954223604824
1224,Scan 4,1537.5357489468,368.2493218,66.59682551780652,0.20812016086378635
1225,Scan 4,1573.9073092043002,373.2108553,60.76469652355224,0.1964880264248163
1226,Scan 4,1541.5053247167,378.1992079,55.28621836947763,0.18938079170632371
1227,Scan 4,1527.6621490531,383.1676945,49.46708933440577,0.17994696218179254
1228,Scan 4,1709.7462214845,388.1431342,44.153336355646026,0.16070002212212162
1229,Scan 4,1649.4927998710996,393.1116208,38.00925957657979,0.15179920347182774
1230,Scan 4,1362.8314994181,398.0870605,33.452411409235815,0.15667244938399644
