Run Number,Scan,Charge,Energy,Yield,Yield Error
624,Scan 1,4708.41088609434,338.0778343,13.156243475467754,0.05286019653316688
625,Scan 1,4829.646507358901,341.0408482,69.07441351902013,0.1195916700378529
626,Scan 1,6925.436079487201,344.0157817,100.24220742665553,0.12031000594294758
627,Scan 1,4806.77935692902,346.9877353,106.26574720216408,0.14868582141309838
628,Scan 1,4033.2867361075,349.9577023,104.7493093455926,0.16115583510892822
630,Scan 1,6658.156470506501,355.8996229,102.16731958962991,0.12387366904017418
631,Scan 1,4631.208228900185,358.8586636,103.96466239531232,0.1498289443758726
632,Scan 1,4629.019037978358,361.8326038,102.74898333702288,0.14898559620208962
633,Scan 1,4080.5605508194803,364.8075373,102.54841088339288,0.15852747929529803
634,Scan 1,4164.15141006639,367.7775043,102.28014259289617,0.15672288089230887
635,Scan 1,4707.613218860077,372.7320847,102.35972617068192,0.14745658471756473
636,Scan 1,3658.892243457478,377.6608393,100.85074264207103,0.1660216556635309
637,Scan 1,3494.444546291091,382.6293259,100.66778720909097,0.16972905168215793
638,Scan 1,5097.42127843021,387.5690068,99.44989285957458,0.13967764240267994
639,Scan 1,3436.871787966101,392.5166341,98.54571857637787,0.1693312891485829
640,Scan 1,6558.858168889934,396.4868542,97.8048287494178,0.12211416064216357
642,Scan 2,9538.937289967416,349.9298899,89.88967784721949,0.09707444475182217
643,Scan 2,8533.764050886555,359.8648765,93.50352262400598,0.1046751690305231
644,Scan 2,4070.2005979089954,369.7680775,95.02529192263849,0.15279589945721725
645,Scan 2,4240.039767043868,379.6583656,91.1090511467845,0.1465871148044723
646,Scan 2,7640.322402278651,341.0646874,48.63106298880618,0.07978128715576636
647,Scan 2,4896.695476935867,396.4779145,89.84263000877681,0.13545332812425867
648,Scan 2,5853.438518329343,338.096707,9.959786853051185,0.04124957626181922
649,Scan 2,4730.902271615931,344.0257147,84.1761205656817,0.13338975193201086
650,Scan 2,4786.25545094912,347.0006482,88.88702334423783,0.13627658578212645
651,Scan 2,4825.573099381696,339.5707642,19.90229927556287,0.06422101671948753
654,Scan 3,10479.891500773605,359.8589167,83.97348387958384,0.08951435621157358
655,Scan 3,7172.495483254532,369.7621177,83.9554380209612,0.10819053644895137
656,Scan 3,5196.1284657086835,379.6524058,83.29951864286076,0.12661387660506562
657,Scan 3,4510.98345947663,389.5556068,82.62477647019423,0.1353379305642452
658,Scan 3,4618.534082262337,396.4789078,82.95684153798075,0.134021362216292
659,Scan 3,5245.081284875307,349.9755817,81.81379404689277,0.12489272891897041
660,Scan 3,4876.716045947231,347.0076013,80.92638494463421,0.1288194189203474
661,Scan 3,3901.1092140265855,344.0336611,70.53276001878292,0.13446256292309602
662,Scan 3,5742.686837237487,341.0656807,37.28725003974037,0.08057913678160905
663,Scan 3,4221.356875008062,339.0919936,12.089240855738485,0.053514747488654486
664,Scan 3,5452.895599603131,338.1046534,7.774218160913506,0.03775850324386995
665,Scan 3,4233.085837754523,335.1237601,3.4041360256573276,0.028357955410386423
666,Scan 3,5846.757621441089,332.1627328,1.99170219700843,0.018456725620097432
667,Scan 3,5838.107275852062,329.2017055,1.2819223159800062,0.014818178380064566
669,Scan 4,5088.031557088949,359.8638832,85.20977024915506,0.12941058458413496
670,Scan 4,17831.810279673642,369.7650976,85.01279321752321,0.0690469382586345
