Run Number,Scan,Charge,Energy,Yield,Yield Error
2167,Scan 1,3191.5631419323,363.3056677,29.326068712315447,0.09585730249911145
2168,Scan 1,2182.2700407106004,361.3121146,37.93481029187548,0.13184531829982954
2169,Scan 1,2117.279934083,359.3245213,49.04169653172065,0.15219262297648112
2170,Scan 1,1330.3802274382,357.336928,69.449318393671,0.22847890202118037
2171,Scan 1,1085.0369339544002,355.3364218,100.00581234090991,0.3035920258569131
2172,Scan 1,824.472147665,353.3488285,132.68974617254273,0.40117206799401167
2173,Scan 1,915.6795840053,351.3612352,188.04721980019963,0.4531705646505329
2174,Scan 1,792.5934910916001,350.3748883,220.31470351782028,0.527225600847829
2175,Scan 1,729.2239992696001,349.380595,248.83849157700735,0.5841552758928942
2176,Scan 1,881.6480242780999,348.3803419,286.117581000137,0.5696717101943627
2177,Scan 1,990.0763974516,347.3870419,324.657774720575,0.572635871655453
2179,Scan 1,689.0148045004998,346.3927486,346.7632312678801,0.7094180658023947
2181,Scan 1,1320.1809670361,344.3991955,363.5463712808367,0.5247629603929675
2182,Scan 1,893.4463092504001,343.4188084,346.11033343396343,0.6224049719996931
2183,Scan 1,782.6170192265,342.4056424,314.1971027451351,0.633616450091213
2184,Scan 1,1074.1966327103999,341.4183022,246.5274903457963,0.4790609638948626
2185,Scan 1,945.4705141623,340.4250022,162.32975825373427,0.4143573780440872
2186,Scan 1,892.0895535609998,339.417796,86.79958160131649,0.3119281640045131
2187,Scan 1,932.2267195597999,338.4304558,44.28643712282233,0.21795889522031567
2188,Scan 1,2218.7289537540996,336.4498156,23.792901747047143,0.10355512093326394
2189,Scan 1,1251.5411774902,334.4562625,14.034696033912589,0.1058958483656066
2190,Scan 1,1906.0413119811,332.4617161,9.312494901566962,0.06989834118876818
2191,Scan 1,2657.0897936357997,330.4741228,6.40061169206053,0.04908034701283292
2192,Scan 1,1753.3889900825,345.3924955,357.3781993295831,0.45146583520488087
2196,Scan 2,1521.930342653,363.306661,44.71295307863863,0.1714033434409216
2197,Scan 2,1427.9286219872001,361.3131079,54.013204030230135,0.19448975114626402
2198,Scan 2,1292.4096760748998,359.3255146,68.64773735635379,0.23046926312440164
2199,Scan 2,907.9539794903997,357.3379213,92.75580249922842,0.3196234429465512
2200,Scan 2,909.5642281689,355.3483414,124.89277445386256,0.3705543968438294
2201,Scan 2,1366.0703248889997,353.3498218,177.10947642439945,0.36006787110523414
2202,Scan 2,1138.1788579072997,351.3622285,240.60541811812865,0.4597772139836259
2203,Scan 2,1051.3615461784,350.3758816,277.516332093899,0.5137693940165129
2204,Scan 2,1469.2781248487,349.3815883,317.15506555165354,0.4646049363357791
2205,Scan 2,1015.5566394695999,348.3813352,350.32807248034345,0.5873343415725026
2206,Scan 2,930.6309760372999,347.3880352,379.7853382282367,0.6388227078397049
2207,Scan 2,916.3037968665998,346.3937419,410.2678623460182,0.6691353996389369
2208,Scan 2,983.8133390941001,345.3934888,430.2289704566766,0.6612923097828777
2209,Scan 2,1173.7201818050003,344.4001888,419.77552029675854,0.5980345405765474
